Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Aaron Ekblad,FLA,78,1690.82,15,8,13,36,10.2,41,24,1.5,1.27748668
Aaron Ness,WSH,8,99.1,0,0,2,2,0.36,2,0,0.2,1.21089816
Adam Clendening,EDM,20,310.9,1,1,4,6,1.51,17,2,0.3,1.15792859
Adam Clendening,PIT,9,118.18,0,0,1,1,0.2,2,3,0.3,0.507700145
Adam Cracknell,EDM,8,90.42,0,0,0,0,1.57,3,3,-0.1,0
Adam Cracknell,VAN,44,545.6,5,4,1,10,4.04,11,20,-0.1,1.09970677
Adam Henrique,N.J,80,1586.12,30,7,13,50,20.35,27,38,2.6,1.891408
Adam Larsson,N.J,82,1846.1,3,6,9,18,4.07,27,22,1.6,0.5850171
Adam Lowry,WPG,74,1037.37,7,6,4,17,8.4,18,33,-0.6,0.983255744
Adam McQuaid,BOS,64,1154.57,1,3,5,9,1.08,27,7,-0.6,0.467706621
Adam Pardy,EDM,9,182.02,0,3,0,3,0.71,9,4,0.3,0.9889023
Adam Pardy,WPG,14,183.32,0,0,1,1,0.57,5,2,0.3,0.327296525
Adam Pelech,NYI,9,158.22,0,2,0,2,0.21,7,1,0.1,0.758437634
Alan Quine,NYI,2,35.52,1,0,0,1,1.02,2,1,0,1.6891892
Alec Martinez,L.A,78,1649.75,10,13,8,31,7.33,60,8,2.2,1.12744355
Aleksander Barkov,FLA,66,1282.38,28,19,12,59,19.86,29,45,2.6,2.760492
Ales Hemsky,DAL,75,982.58,13,16,10,39,14.13,36,22,0.8,2.38148546
Alex Biega,VAN,51,854.93,0,3,4,7,1.81,18,8,0.3,0.4912683
Alex Burmistrov,WPG,81,1309.98,7,6,8,21,10.81,48,36,-0.5,0.961846769
Alex Burrows,VAN,79,1198.42,9,7,6,22,15,14,27,-0.9,1.1014502
Alex Chiasson,OTT,77,1050.08,8,5,1,14,9.48,16,26,0.4,0.7999391
Alex Edler,VAN,52,1271.53,6,3,11,20,5.02,40,15,0.3,0.9437449
Alex Friesen,VAN,1,11.72,0,0,0,0,0.13,0,1,0,0
Alex Galchenyuk,MTL,82,1333.27,30,16,10,56,23,36,31,2.8,2.52011967
Alex Goligoski,DAL,82,1954.13,5,14,18,37,5.56,73,18,1.1,1.13605547
Alex Grant,ARI,5,66.17,0,0,0,0,0.3,0,1,-0.1,0
Alex Grenier,VAN,6,68.85,0,0,0,0,1.1,3,3,-0.3,0
Alex Khokhlachev,BOS,5,51.27,0,0,0,0,0.21,1,0,-0.1,0
Alex Killorn,T.B,81,1360.42,14,18,8,40,16.46,46,31,2.4,1.764161
Alex Ovechkin,WSH,79,1604.37,50,6,15,71,41.29,50,24,3.7,2.655248
Alex Petrovic,FLA,66,1119.07,2,9,6,17,1.72,24,9,1.4,0.9114712
Alex Pietrangelo,STL,73,1920.25,7,19,11,37,9.41,39,41,1.9,1.15609944
Alex Semin,MTL,15,185.03,1,1,2,4,1.54,8,6,0.1,1.297087
Alex Steen,STL,67,1364.87,17,20,15,52,15.78,20,36,0.1,2.285932
Alex Tanguay,ARI,18,272.83,4,4,5,13,2.19,4,11,1.1,2.8589232
Alex Tanguay,COL,52,832.5,4,12,6,22,5.86,13,16,1.1,1.58558559
Alex Wennberg,CBJ,69,1094.38,8,23,9,40,12.72,21,42,2,2.19302249
Alexei Emelin,MTL,72,1475.85,0,3,9,12,2.31,75,15,-0.9,0.487854451
Alexey Marchenko,DET,66,1110.85,2,5,4,11,2.05,33,7,0.3,0.594139636
Anders Lee,NYI,80,1166.17,15,13,8,36,21.35,21,32,0.5,1.852217
Andre Benoit,STL,2,27.17,0,0,0,0,0.02,0,0,0,0
Andre Burakovsky,WSH,79,1028.93,17,8,13,38,12.71,30,34,0.6,2.215894
Andreas Athanasiou,DET,37,333.65,9,2,3,14,5.32,7,11,0.4,2.5176084
Andreas Martinsen,COL,55,610.35,4,4,3,11,4.53,5,11,0.6,1.08134687
Andrei Markov,MTL,82,1954.53,5,23,16,44,6.98,93,38,1.9,1.35070837
Andrej Nestrasil,CAR,55,789.3,9,9,5,23,12.41,16,29,1.3,1.74838471
Andrej Sekera,EDM,81,1767.45,6,13,11,30,7.4,82,37,1.4,1.0184164
Andrej Sustr,T.B,77,1296.4,4,5,12,21,2.75,34,16,0.6,0.9719222
Andrew Agozzino,COL,9,77.05,0,0,2,2,0.34,1,0,-0.1,1.55743015
Andrew Bodnarchuk,CBJ,16,232.65,0,1,1,2,0.11,2,1,-0.3,0.5157963
Andrew Bodnarchuk,COL,21,223.92,0,2,0,2,0.2,4,1,-0.3,0.535905659
Andrew Campbell,TOR,6,69.5,0,0,1,1,0.11,1,1,0.1,0.8633093
Andrew Cogliano,ANA,82,1183.4,9,12,11,32,14.39,34,26,0.7,1.6224438
Andrew Copp,WPG,77,616.25,7,4,2,13,6.08,18,10,1.2,1.26572013
Andrew Desjardins,CHI,77,1030.42,8,4,1,13,11.13,15,26,-0.1,0.756972849
Andrew Ference,EDM,6,78.35,0,0,0,0,0.1,2,0,-0.3,0
Andrew Ladd,CHI,19,327.43,8,1,3,12,6.13,5,3,-0.2,2.19894338
Andrew Ladd,WPG,59,1147.13,17,8,9,34,16.75,29,26,-0.2,1.77835119
Andrew MacDonald,PHI,28,563.33,1,5,2,8,1.03,20,4,1.5,0.852076
Andrew Miller,EDM,6,54.73,0,0,0,0,0.53,0,1,-0.1,0
Andrew Shaw,CHI,78,1142.78,14,8,12,34,18.57,23,21,1,1.78512049
Andrey Pedan,VAN,13,142.38,0,0,0,0,0.31,5,0,-0.8,0
Andy Andreoff,L.A,60,527.58,8,2,0,10,5.54,12,12,-0.2,1.13726819
Andy Greene,N.J,82,1881.83,4,5,4,13,4.49,38,26,0.9,0.414490163
Anthony Bitetto,NSH,28,339.75,1,1,4,6,0.96,8,2,-0.2,1.05960262
Anthony Duclair,ARI,81,1164.73,20,13,11,44,15.81,18,26,2.5,2.26661968
Anthony Mantha,DET,10,117,2,0,1,3,2.01,2,4,0.3,1.53846157
Anthony Peluso,WPG,35,223.45,1,1,3,5,1.47,6,3,0,1.34258223
Antoine Roussel,DAL,80,1108.57,13,10,6,29,13.61,24,30,0,1.56958973
Antoine Vermette,ARI,76,1264.72,17,11,10,38,15.26,33,27,-0.2,1.80277061
Anton Lander,EDM,61,736.72,1,1,1,3,4.35,18,23,-1.2,0.244326219
Anton Slepyshev,EDM,11,95.6,0,1,0,1,0.67,2,2,-0.2,0.6276151
Anton Stralman,T.B,73,1611.67,9,10,15,34,7.41,35,26,1.4,1.26576781
Anze Kopitar,L.A,81,1690.2,25,24,25,74,21.12,45,43,4.4,2.626908
Artem Anisimov,CHI,77,1392.85,20,9,13,42,16.02,14,28,1.3,1.8092401
Artemi Panarin,CHI,80,1480.87,30,29,18,77,20.6,35,29,2.9,3.11978769
Austin Watson,NSH,57,570.15,3,4,3,10,5.09,10,11,0.7,1.05235457
Barclay Goodrow,S.J,14,143.78,0,2,1,3,0.58,4,3,0,1.25191271
Barret Jackman,NSH,73,1011.58,1,1,3,5,2.17,35,8,0.2,0.296565771
Beau Bennett,PIT,33,392.55,6,1,5,12,4.52,10,5,0,1.83416128
Ben Chiarot,WPG,70,1012.05,1,2,7,10,3.1,34,15,-0.2,0.5928561
Ben Harpur,OTT,5,68.3,0,1,0,1,0.07,2,0,0.1,0.8784773
Ben Hutton,VAN,75,1490.5,1,12,12,25,5.13,53,30,-0.5,1.00637364
Ben Lovejoy,PIT,66,1245.22,4,1,5,10,2.99,18,20,1.3,0.481842577
Ben Smith,S.J,6,35.93,0,0,0,0,0.08,2,1,-0.1,0
Ben Smith,TOR,16,230.1,2,2,2,6,2.05,1,7,-0.1,1.56453717
Ben Street,COL,7,51.42,0,0,0,0,0.34,2,0,0,0
Benoit Pouliot,EDM,55,882.72,14,12,10,36,12.67,29,32,1.2,2.44698215
Blake Comeau,COL,81,1427.8,12,11,13,36,12.44,25,31,0.6,1.51281691
Blake Pietila,N.J,7,84.23,1,1,0,2,0.62,0,0,-0.1,1.42467046
Blake Wheeler,WPG,82,1621.82,26,37,15,78,25.92,46,38,2.2,2.885647
Bo Horvat,VAN,82,1404.85,16,13,11,40,16.87,17,27,-0.1,1.70836747
Bobby Farnham,N.J,50,473.53,8,1,1,10,4.91,7,11,0.8,1.26707923
Bobby Farnham,PIT,3,20.07,0,0,0,0,0.01,0,0,0.8,0
Bobby Ryan,OTT,81,1391.17,22,23,11,56,19.55,52,52,1.6,2.41523314
Boone Jenner,CBJ,82,1345.55,30,12,7,49,28.36,25,39,-0.5,2.18498015
Borna Rendulic,COL,3,22.58,0,0,0,0,0.08,0,1,-0.1,0
Boyd Gordon,ARI,65,793.12,2,1,1,4,4.07,12,10,0,0.302602381
Bracken Kearns,NYI,2,31.78,0,1,0,1,0,1,0,-0.1,1.88797987
Brad Boyes,TOR,60,718.22,8,9,7,24,11.36,19,25,0.9,2.00495672
Brad Hunt,EDM,7,99.25,0,0,0,0,0.41,6,2,-0.4,0
Brad Malone,CAR,57,544.08,2,3,1,6,3.39,16,4,-0.1,0.6616674
Brad Marchand,BOS,77,1432.22,37,15,9,61,22.48,69,43,3.1,2.55547333
Brad Richards,DET,68,1006.02,10,14,4,28,12.28,22,15,0.5,1.66994691
Brad Richardson,ARI,82,1280.97,11,12,8,31,11.33,15,26,0.7,1.4520247
Brad Stuart,COL,6,84,0,0,0,0,0.06,3,0,0.1,0
Brady Skjei,NYR,7,124.13,0,0,0,0,0.32,3,4,-0.6,0
Brandon Bollig,CGY,54,501.65,2,0,2,4,2.72,8,11,-0.7,0.4784212
Brandon Davidson,EDM,51,979.02,4,2,5,11,2.87,45,19,0.8,0.6741435
Brandon Dubinsky,CBJ,75,1407.23,17,22,9,48,22.19,31,45,0.7,2.04657388
Brandon Gormley,COL,26,316.57,0,0,1,1,0.42,12,5,0.4,0.189531535
Brandon Manning,PHI,56,925.55,1,2,4,7,2.38,19,7,-0.8,0.453784257
Brandon Mashinter,CHI,41,307.18,4,0,1,5,2.63,7,6,-0.8,0.9766261
Brandon Pirri,ANA,9,114.58,3,2,0,5,1.66,5,2,0.2,2.618258
Brandon Pirri,FLA,52,770.92,11,8,5,24,9.87,21,18,0.2,1.86789811
Brandon Prust,VAN,35,447.45,1,4,2,7,2.68,15,5,-0.5,0.938652337
Brandon Saad,CBJ,78,1343.03,31,11,11,53,28.52,31,33,2.2,2.36778021
Brandon Sutter,VAN,20,359.53,5,0,4,9,4.69,5,4,1,1.50196087
Brandon Tanev,WPG,3,36.13,0,0,0,0,0.22,0,0,-0.1,0
Brayden McNabb,L.A,81,1524.02,2,6,6,14,3.56,56,19,-0.3,0.551173866
Brayden Schenn,PHI,80,1351.52,26,19,14,59,25.88,35,30,1.8,2.61927319
Braydon Coburn,T.B,80,1340.18,1,4,5,10,3.23,31,17,1.6,0.447701037
Brendan Gallagher,MTL,53,878.53,19,12,9,40,22.17,14,30,2.8,2.731836
Brendan Gaunce,VAN,20,255.17,1,0,0,1,3.92,7,11,-0.3,0.235137358
Brendan Leipsic,TOR,6,85.43,1,2,0,3,0.79,1,3,0.1,2.10698819
Brendan Smith,DET,63,1109,3,6,6,15,4.38,35,10,0.8,0.8115419
Brendan Woods,CAR,5,43.53,0,0,0,0,0.29,1,1,-0.1,0
Brenden Dillon,S.J,76,1268.28,2,5,4,11,3.57,42,12,-0.7,0.5203898
Brent Burns,S.J,82,2120.85,27,25,23,75,20.14,102,53,1.7,2.12179065
Brent Regner,FLA,7,81.08,0,0,0,0,0.2,1,0,-0.6,0
Brent Seabrook,CHI,81,1847.87,14,15,20,49,8.4,89,19,-0.4,1.59102106
Brett Bulmer,MIN,3,20.15,0,0,0,0,0.02,0,0,0,0
Brett Connolly,BOS,71,920.23,9,10,6,25,11.91,20,11,1.3,1.63002729
Brett Kulak,CGY,8,98.77,0,0,0,0,0.25,4,3,-0.2,0
Brett Lernout,MTL,1,6.5,0,0,0,0,0,0,0,0,0
Brett Pesce,CAR,69,1294.77,4,4,8,16,4.01,22,43,0.4,0.7414444
Brett Ritchie,DAL,8,92.82,0,0,1,1,1.15,3,2,0,0.646412432
Brian Boyle,T.B,76,981.18,13,4,3,20,10.31,16,15,0.6,1.22301722
Brian Campbell,FLA,82,1826.78,6,12,13,31,5.38,54,23,4.1,1.018185
Brian Dumoulin,PIT,79,1491.97,0,8,8,16,4.65,36,32,1.9,0.6434446
Brian Flynn,MTL,56,657.05,4,3,3,10,5.27,11,20,0.2,0.913172543
Brian Gionta,BUF,79,1400.87,12,15,6,33,14.66,21,31,0.5,1.41340744
Brian O'Neill,N.J,22,227.95,0,1,1,2,1.28,3,4,-0.1,0.526431262
Brian Strait,NYI,52,802.58,1,1,4,6,1.87,26,9,-0.9,0.4485534
Brock McGinn,CAR,21,234.87,3,0,1,4,2.23,4,4,-0.2,1.02184188
Brock Nelson,NYI,81,1280.07,26,7,7,40,19.69,24,48,0.6,1.8748976
Brody Sutter,CAR,8,71.73,0,0,0,0,0.55,1,1,-0.4,0
Brooks Laich,TOR,21,293.5,1,3,3,7,3.57,7,17,-0.1,1.43100512
Brooks Laich,WSH,60,632.73,1,3,3,7,5.35,9,12,-0.1,0.6637903
Brooks Orpik,WSH,41,812.23,3,2,5,10,0.92,24,7,1.5,0.738707
Bryan Bickell,CHI,25,244.7,0,1,1,2,2.1,7,4,-0.2,0.4903964
Bryan Lerg,S.J,6,53.25,0,0,0,0,0.16,0,0,0,0
Bryan Little,WPG,57,1116.55,17,14,11,42,17.32,26,20,0.1,2.256952
Bryan Rust,PIT,41,512.4,4,4,3,11,7.12,8,10,0.7,1.28805614
Bud Holloway,MTL,1,7.32,0,0,0,0,0.01,1,2,0,0
Buddy Robinson,OTT,3,25.8,1,0,1,2,0.31,1,0,0.1,4.651163
Byron Froese,TOR,56,707.07,2,3,0,5,6.34,10,20,0.5,0.424286127
Cal Clutterbuck,NYI,77,917.38,15,4,4,23,7.25,20,21,1.7,1.50428391
Cal O'Reilly,BUF,20,223.6,3,2,2,7,0.93,6,2,0,1.87835419
Calle Jarnkrok,NSH,81,1306.97,16,6,8,30,13.91,19,32,1.4,1.37723136
Calvin De Haan,NYI,72,1485.57,2,7,7,16,3.15,57,19,0.7,0.646216631
Cam Atkinson,CBJ,81,1441.65,27,19,7,53,31.06,18,43,2.1,2.20580578
Cam Fowler,ANA,69,1571.87,5,11,12,28,6.62,32,17,-0.2,1.06879067
