Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Carl Gunnarsson,STL,72,1251.33,3,2,4,9,2.13,23,14,1.3,0.431540847
Carl Hagelin,ANA,43,645.1,4,2,6,12,7.96,17,15,-0.2,1.116106
Carl Hagelin,PIT,37,611.45,10,13,4,27,9.45,18,15,-0.2,2.64943981
Carl Soderberg,COL,82,1477.23,12,27,12,51,17.45,26,32,1.8,2.07144451
Carlo Colaiacovo,BUF,36,521.02,1,2,2,5,1.4,11,3,0,0.5757936
Casey Cizikas,NYI,80,1014.4,8,12,9,29,9.86,23,58,0.5,1.71529961
Casey Nelson,BUF,7,103.75,0,1,3,4,0.11,2,1,0.3,2.313253
Cedric Paquette,T.B,56,713.4,6,2,3,11,5.06,13,16,-0.4,0.9251472
Chad Ruhwedel,BUF,1,15.5,0,0,0,0,0.04,1,0,0,0
Chandler Stephenson,WSH,9,70.72,0,0,0,0,0.44,1,3,-0.2,0
Charles Hudon,MTL,3,32.08,0,1,1,2,0.36,0,2,0.1,3.74064827
Charlie Coyle,MIN,82,1419.2,21,11,10,42,16.7,30,36,1.6,1.77564836
Chase De Leo,WPG,2,18.83,0,0,0,0,0.08,0,0,0,0
Chris Bigras,COL,31,413.6,1,0,2,3,1.59,8,4,-1.3,0.435203075
Chris Brown,WSH,1,7.68,0,0,0,0,0.11,0,0,0,0
Chris Butler,STL,5,57.5,0,0,0,0,0.11,2,0,-0.3,0
Chris Higgins,VAN,33,454.68,3,1,0,4,4.25,8,7,-0.6,0.5278438
Chris Kelly,BOS,11,143.95,2,0,0,2,0.92,2,2,0.5,0.8336228
Chris Kreider,NYR,79,1260.6,21,13,9,43,19.32,37,23,2.4,2.04664445
Chris Kunitz,PIT,80,1345.97,17,15,8,40,17.3,43,33,2,1.78310072
Chris Neil,OTT,80,743.85,5,4,4,13,7.72,12,11,0.1,1.04859853
Chris Porter,MIN,61,587.82,4,1,2,7,3.75,8,15,-0.6,0.7145044
Chris Stewart,ANA,56,604.52,8,9,3,20,7.63,20,12,0.6,1.98504591
Chris Summers,NYR,3,46.17,0,0,0,0,0.4,0,0,-0.1,0
Chris Tanev,VAN,69,1501,4,6,8,18,2.24,39,14,1.5,0.71952033
Chris Terry,CAR,68,766.68,8,2,1,11,7.49,20,21,-0.6,0.8608546
Chris Thorburn,WPG,82,829.95,6,4,2,12,7.03,18,11,-0.5,0.8675221
Chris Tierney,S.J,79,1042.18,7,10,3,20,11.2,40,31,-0.6,1.15143251
Chris Vandevelde,PHI,79,1070.6,2,5,7,14,8.91,18,21,-0.6,0.784606755
Chris Wagner,ANA,17,179.58,0,1,1,2,1.83,5,2,0,0.6682258
Chris Wagner,COL,26,214.08,4,0,0,4,2.24,6,1,0,1.12107623
Chris Wideman,OTT,64,892.82,6,4,3,13,3.91,29,5,0.3,0.873636365
Christian Ehrhoff,CHI,8,136.33,0,0,2,2,0.74,2,0,0.1,0.880217135
Christian Ehrhoff,L.A,40,606.88,2,5,3,10,2.82,20,5,0.1,0.9886633
Christian Folin,MIN,26,379.08,0,2,2,4,0.33,10,4,-0.2,0.6331118
Christian Thomas,ARI,1,10.58,0,0,0,0,0.03,0,0,0,0
Christian Thomas,MTL,5,43.05,0,2,0,2,0.28,1,1,0,2.78745651
Christoph Bertschy,MIN,3,20.83,0,0,0,0,0.08,0,0,0,0
Clarke MacArthur,OTT,4,43.43,0,0,0,0,0.55,0,0,0,0
Claude Giroux,PHI,78,1602.62,22,25,20,67,20.12,45,41,0.7,2.50839257
Clayton Stoner,ANA,50,768.02,1,1,4,6,1.47,31,2,0.9,0.468737781
Cody Bass,NSH,17,130.27,0,0,0,0,0.65,0,2,0.1,0
Cody Ceci,OTT,75,1447.52,10,8,8,26,5.07,41,15,0.8,1.07770526
Cody Eakin,DAL,82,1342.18,16,13,6,35,17.29,46,42,-1.2,1.56461871
Cody Franson,BUF,59,993.4,4,6,7,17,4.25,31,14,-1.1,1.02677667
Cody Goloubef,CBJ,43,650.45,1,1,6,8,1.22,11,3,0.2,0.7379506
Cody Hodgson,NSH,39,418.58,3,4,1,8,6.1,7,7,0.3,1.14673424
Cody McLeod,COL,82,864.23,8,2,3,13,7.12,2,6,0.4,0.9025375
Cole Schneider,BUF,2,25.25,0,0,0,0,0.67,0,0,0,0
Colin Greening,OTT,1,4,0,0,0,0,0.03,1,0,0,0
Colin Greening,TOR,30,432.98,7,5,3,15,7.48,9,10,0,2.07861781
Colin McDonald,PHI,5,40.72,1,0,0,1,0.41,0,0,0,1.47347736
Colin Miller,BOS,42,663.38,3,6,7,16,2.62,20,6,1,1.44713438
Colin Wilson,NSH,64,925.22,6,10,8,24,12.99,26,24,0.9,1.55638659
Colton Parayko,STL,79,1531.57,9,14,10,33,7.18,21,33,4.4,1.29279113
Colton Sceviour,DAL,71,900.12,11,8,4,23,11.84,27,30,1.8,1.533129
Colton Sissons,NSH,34,338.62,4,0,2,6,2.51,5,7,1.1,1.0631386
Connor Brickley,FLA,23,200.68,1,4,0,5,1.05,3,4,0,1.49491739
Connor Brown,TOR,7,104.8,1,3,2,6,0.92,0,4,0.5,3.43511438
Connor Carrick,TOR,16,264.78,2,1,1,4,1.15,17,6,-0.2,0.9064129
Connor Carrick,WSH,3,30.35,0,0,0,0,0.08,0,0,-0.2,0
Connor McDavid,EDM,45,849.82,16,16,16,48,15.21,17,33,2.6,3.388953
Connor Murphy,ARI,78,1599.75,6,4,7,17,3.91,29,21,1.3,0.637599647
Conor Sheary,PIT,44,429.13,7,2,1,10,5.33,9,7,0.4,1.39817774
Corban Knight,FLA,20,192.63,2,3,2,7,1.21,1,6,0.5,2.18034577
Corey Perry,ANA,82,1452.03,34,22,6,62,27.07,53,25,1.3,2.56193042
Corey Potter,NSH,1,14.73,0,0,0,0,0.01,0,0,0,0
Craig Cunningham,ARI,10,100.83,0,0,1,1,0.91,1,2,-0.1,0.595061
Craig Smith,NSH,82,1245.15,21,14,2,37,20.84,44,42,1.4,1.78291774
Curtis Lazar,OTT,76,1053.27,6,10,4,20,10.87,15,24,-0.7,1.13930893
Curtis McKenzie,DAL,3,26.4,0,0,0,0,0.29,0,1,0.1,0
Dainius Zubrus,S.J,50,579.48,3,1,3,7,4.1,15,15,0.5,0.7247878
Dale Weise,CHI,15,149.18,0,1,0,1,1.89,3,1,0.6,0.4021987
Dale Weise,MTL,56,803.27,14,7,5,26,11.24,13,17,0.6,1.94206178
Dalton Prout,CBJ,64,1035.05,3,4,2,9,2.22,25,7,-0.5,0.5217139
Damon Severson,N.J,72,1307.87,1,11,9,21,5.32,36,16,-0.3,0.9633985
Dan Boyle,NYR,74,1392.27,10,7,7,24,8.23,47,19,0.8,1.03428209
Dan Girardi,NYR,74,1503.73,2,6,9,17,3.91,56,23,-0.5,0.678313255
Dan Hamhuis,VAN,58,1242.08,3,6,4,13,3.38,47,24,0.9,0.6279789
Daniel Carr,MTL,23,277.68,6,0,3,9,5.21,4,7,0.4,1.94468462
Daniel Catenacci,BUF,11,96.13,0,0,0,0,0.58,0,2,0,0
Daniel Paille,NYR,12,136.9,0,0,0,0,1.43,2,5,-0.2,0
Daniel Sedin,VAN,82,1503.37,28,20,13,61,25.16,31,24,1.3,2.4345305
Daniel Sprong,PIT,18,157.05,2,0,0,2,1.41,5,4,-0.5,0.764087856
Daniel Winnik,TOR,56,798.8,4,6,4,14,7.13,7,30,0.1,1.05157733
Daniel Winnik,WSH,20,243.6,2,1,2,5,1.03,2,5,0.1,1.23152709
Danny Dekeyser,DET,78,1700.75,8,7,5,20,2.97,38,17,-0.1,0.705571055
Darnell Nurse,EDM,69,1395.92,3,3,4,10,4.68,43,13,-1.2,0.429824054
Darren Dietz,MTL,13,188.98,1,2,2,5,0.35,12,3,0.3,1.58746958
Darren Helm,DET,77,1160.25,13,7,6,26,17.24,16,22,0.4,1.34453785
Dave Bolland,FLA,25,352.3,1,2,2,5,2.83,12,5,-0.7,0.851547
Dave Dziurzynski,OTT,14,141.08,1,1,2,4,0.99,2,2,-0.1,1.70116246
David Backes,STL,79,1519.18,21,17,7,45,20.12,24,39,0.4,1.77727449
David Clarkson,CBJ,23,212,2,1,1,4,3.09,2,5,-0.5,1.13207543
David Desharnais,MTL,65,1040.18,11,10,8,29,10.79,22,27,0.7,1.67278731
David Jones,CGY,59,754.62,9,5,1,15,9,7,10,0.5,1.1926533
David Jones,MIN,16,178.32,2,1,0,3,1.35,2,4,0.5,1.00942123
David Krejci,BOS,72,1461.67,17,28,18,63,14.71,49,36,2.4,2.586083
David Legwand,BUF,79,766.72,5,5,4,14,4.44,12,19,0.5,1.095576
David Pastrnak,BOS,51,711.2,15,6,5,26,8.31,51,35,0.6,2.19347572
David Perron,ANA,28,414.7,8,8,4,20,6.61,4,7,2.1,2.893658
David Perron,PIT,43,665.4,4,7,5,16,9.97,16,15,2.1,1.44274116
David Rundblad,CHI,9,129.35,0,0,2,2,0.54,12,4,-0.4,0.9277155
David Savard,CBJ,65,1506.22,4,10,11,25,5.47,14,14,1.7,0.9958705
David Schlemko,N.J,67,1249.48,6,10,3,19,5.25,29,16,1.1,0.912379563
David Warsofsky,N.J,10,163.65,0,0,1,1,0.75,7,1,-0.1,0.366636127
David Warsofsky,PIT,12,213.07,1,0,0,1,0.92,10,3,-0.1,0.281597584
Dean Kukan,CBJ,8,138.83,0,0,0,0,0.14,3,4,1.1,0
Dennis Everberg,COL,15,134.15,0,0,0,0,0.84,3,0,-0.4,0
Dennis Rasmussen,CHI,44,403.2,4,1,4,9,3.91,5,7,1.8,1.33928573
Dennis Seidenberg,BOS,61,1183.25,1,6,5,12,2.11,24,16,0.8,0.608493567
Dennis Wideman,CGY,51,1051.37,2,8,9,19,4.18,37,14,-0.8,1.08429956
Derek Dorsett,VAN,71,893.92,5,5,6,16,8.55,14,11,0.5,1.07392168
Derek Forbort,L.A,14,154.63,1,0,1,2,0.71,3,0,-0.2,0.776046038
Derek Grant,CGY,15,163.18,0,0,1,1,2.57,1,3,-0.8,0.367692143
Derek MacKenzie,FLA,64,841.7,6,1,6,13,9.31,13,27,1,0.926695943
Derek Ryan,CAR,6,73.22,2,0,0,2,0.39,2,4,0.3,1.63889647
Derek Stepan,NYR,72,1278.38,22,16,15,53,20.37,30,62,1.6,2.48752332
Derick Brassard,NYR,80,1430.82,27,18,13,58,19.76,56,47,1.6,2.43217182
Derrick Pouliot,PIT,22,339.97,0,2,5,7,1.4,3,6,0.6,1.23540306
Deryk Engelland,CGY,69,1050.97,3,2,7,12,2.72,22,8,0.1,0.6850814
Devante Smith-Pelly,MTL,46,506.32,6,1,5,12,4.6,15,6,0.4,1.42202556
Devante Smith-Pelly,N.J,18,280.4,8,4,1,13,4.45,3,1,0.4,2.78174043
Devin Shore,DAL,3,36.35,0,0,0,0,0.33,1,0,0,0
Dion Phaneuf,OTT,20,463.33,1,5,2,8,1.28,9,2,-0.2,1.03597867
Dion Phaneuf,TOR,51,1123.28,3,11,10,24,6.11,26,17,-0.2,1.28195989
Dmitrij Jaskin,STL,65,770.85,4,5,4,13,9.1,8,21,0.8,1.01187
Dmitry Kulikov,FLA,74,1556.55,1,9,7,17,4.44,54,31,0.4,0.6552954
Dmitry Orlov,WSH,82,1314.17,8,10,11,29,3.94,41,37,1.9,1.32402956
Dominic Moore,NYR,80,1063.6,6,5,4,15,8.43,36,24,-0.5,0.8461828
Dominik Simon,PIT,3,18.22,0,1,0,1,0.26,1,0,0,3.29308462
Dougie Hamilton,CGY,82,1620.92,12,11,20,43,10.94,63,15,0.2,1.59168863
Drew Doughty,L.A,82,2297.47,14,18,19,51,11.08,97,10,1.3,1.33189988
Drew Miller,DET,28,363.23,1,1,0,2,2.23,6,8,-0.6,0.330369174
Drew Shore,CGY,2,27.98,0,1,0,1,0.17,0,1,0,2.144389
Drew Stafford,WPG,78,1393.35,21,10,7,38,18.15,34,30,-0.9,1.63634408
Duncan Keith,CHI,67,1690.77,9,15,19,43,5.88,46,22,1.6,1.525932
Dustin Brown,L.A,82,1326.22,11,10,7,28,17.23,31,40,-0.3,1.2667582
Dustin Byfuglien,WPG,81,2041,19,20,14,53,16.87,92,73,2,1.55805981
Dustin Jeffrey,ARI,7,79.85,1,1,0,2,0.43,0,0,0.2,1.50281787
Dwight King,L.A,47,678.55,7,3,3,13,5.9,6,5,-1.2,1.14951
Dylan Demelo,S.J,45,612.82,2,1,1,4,2.06,22,8,0.1,0.3916321
Dylan Larkin,DET,80,1323.53,23,16,6,45,20.11,39,43,2.3,2.039999
Dylan McIlrath,NYR,34,480.22,2,1,1,4,1.06,12,9,0.1,0.499770939
Dylan Olsen,FLA,8,110.02,0,1,0,1,0.16,1,0,0,0.5453554
Elias Lindholm,CAR,82,1485.13,11,15,13,39,17.2,34,33,-0.2,1.57561958
Emerson Etem,NYR,19,210.47,0,3,0,3,2.06,3,13,0,0.8552288
Emerson Etem,VAN,39,552.23,7,3,2,12,8.53,17,7,0,1.30380464
Emile Poirier,CGY,2,27.78,0,0,0,0,0.43,0,1,0,0
Eric Boulton,NYI,6,56.92,0,0,0,0,0.28,2,1,-0.2,0
Eric Fehr,PIT,55,718.07,8,1,5,14,9.1,11,30,0.9,1.16980243
Eric Gelinas,COL,6,76.15,0,0,0,0,0.5,3,1,0.2,0
