Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Brock Nelson,NYI,81,1267.5,20,14,11,45,17.65,43,43,1.2,2.1301775
Brooks Orpik,WSH,79,1405.1,0,6,8,14,2.79,36,12,1.7,0.597822249
Bryan Bickell,CAR,11,114.85,1,0,0,1,0.99,2,3,0.1,0.5224206
Bryan Little,WPG,59,1035.87,21,16,10,47,14.08,19,31,1.6,2.72234941
Bryan Rust,PIT,57,777.27,15,9,4,28,12.92,16,18,0.7,2.161411
Buddy Robinson,OTT,4,27.78,0,0,0,0,0.43,1,1,-0.1,0
Byron Froese,T.B,4,47.28,0,0,0,0,0.25,1,2,-0.1,0
Byron Froese,TOR,2,16.02,0,0,0,0,0.13,1,1,-0.1,0
C.J. Smith,BUF,2,23.07,0,1,0,1,0.12,2,2,0,2.60078025
Cal Clutterbuck,NYI,66,923.82,5,10,5,20,12.41,16,30,1.1,1.29895437
Cal O'Reilly,BUF,11,87.25,0,1,0,1,0.18,2,3,-0.2,0.6876791
Calle Jarnkrok,NSH,81,1273.8,15,7,9,31,12.9,22,23,1.9,1.46019781
Calvin De Haan,NYI,82,1627.55,5,11,9,25,5.04,53,24,2.6,0.9216306
Cam Atkinson,CBJ,82,1482.87,35,18,9,62,27.06,21,36,0.4,2.50864887
Cam Fowler,ANA,80,1987.85,11,12,16,39,10.5,68,30,1.7,1.1771512
Cameron Gaunce,PIT,12,150.22,1,3,0,4,0.39,5,2,0.2,1.59765673
Carl Gunnarsson,STL,56,761.35,0,3,3,6,1.13,8,2,-0.2,0.4728443
Carl Hagelin,PIT,61,944.88,6,8,8,22,10.81,21,19,1.4,1.39700282
Carl Soderberg,COL,80,1075.62,6,4,4,14,10.02,19,30,0.6,0.780944943
Carter Rowney,PIT,27,296.22,3,3,1,7,2.81,5,11,0.3,1.417865
Casey Bailey,OTT,7,55.97,0,0,0,0,0.52,0,1,0.1,0
Casey Cizikas,NYI,59,820.5,8,13,4,25,10.48,24,36,0.2,1.82815361
Casey Nelson,BUF,11,138.65,0,0,0,0,0.17,1,0,-0.3,0
Cedric Paquette,T.B,58,668.37,4,3,3,10,6.9,8,17,-0.2,0.8977064
Chad Ruhwedel,PIT,34,589.43,2,6,2,10,1.59,12,9,0.4,1.01793253
Chandler Stephenson,WSH,4,35.52,0,0,0,0,0.24,0,1,-0.1,0
Charles Hudon,MTL,3,35.78,0,1,1,2,0.15,2,3,0,3.35382915
Charlie Coyle,MIN,82,1369.57,18,26,12,56,18.32,34,30,1.7,2.45332479
Chris Butler,STL,1,21.47,0,0,0,0,0.02,1,0,0,0
Chris Didomenico,OTT,3,33.05,0,0,0,0,0.67,0,0,0,0
Chris Kelly,OTT,82,979,5,6,1,12,7.12,24,18,-1.6,0.7354443
Chris Kreider,NYR,75,1275.37,28,18,7,53,26.66,33,17,2,2.49339414
Chris Kunitz,PIT,71,1101.47,9,11,9,29,14.27,28,25,-1.1,1.57970715
Chris Neil,OTT,53,401.28,1,1,2,4,3.55,9,11,-0.6,0.5980861
Chris Stewart,MIN,79,820.73,13,4,4,21,8.21,15,15,-0.4,1.53521872
Chris Tanev,VAN,53,1078.28,2,3,5,10,1.58,25,15,1.8,0.5564417
Chris Terry,MTL,14,138.43,2,1,1,4,1.55,8,5,0.1,1.73372829
Chris Thorburn,WPG,64,446.47,3,1,0,4,2.98,4,4,-0.5,0.5375501
Chris Tierney,S.J,80,1168.3,11,8,4,23,10.31,59,41,0.8,1.18120337
Chris Vandevelde,PHI,81,936.45,6,3,6,15,6.74,12,14,0.3,0.9610764
Chris Wagner,ANA,43,402.37,6,1,0,7,4.52,13,4,0.3,1.04381537
Chris Wideman,OTT,76,1060.95,5,8,4,17,4.63,35,14,0.4,0.961402535
Christian Dvorak,ARI,78,1218.1,15,10,8,33,11,15,14,0.6,1.62548232
Christian Fischer,ARI,7,86.28,3,0,0,3,0.51,3,0,0.1,2.086231
Christian Folin,MIN,51,761.67,2,2,4,8,0.98,15,9,-0.5,0.6301942
Christoph Bertschy,MIN,5,40.67,0,0,1,1,0.37,0,0,0,1.475289
Clarke MacArthur,OTT,4,53.95,0,0,0,0,0.39,1,1,-0.1,0
Claude Giroux,PHI,82,1566.98,14,23,21,58,16.88,35,38,1.1,2.22083235
