Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Phillip Danault,MTL,81,10,29,39,61.9,10.94,28,41,35,1438.8,1.9,1.62635529
Chris Kreider,NYR,79,19,18,37,62.71,13.62,33,40,28,1375.1,3,1.614428
Ryan McDonagh,T.B,82,7,27,34,41.98,5.2,28,56,34,1811.2,2.2,1.12632513
Josh Anderson,CBJ,82,20,14,34,54.84,15.93,28,17,31,1395.9,2.6,1.46142268
Ryan Getzlaf,ANA,67,11,21,32,78.05,7.3,38,58,55,1304,-0.7,1.47239268
Lars Eller,WSH,81,10,17,27,58.7,12.15,35,46,38,1339.3,0.8,1.2095871
Dougie Hamilton,CAR,82,14,12,26,43.33,8.17,38,51,30,1613.2,0.8,0.9670221
Scott Laughton,PHI,82,9,16,25,62.5,10.79,28,38,31,1217.8,0.3,1.23172927
Damon Severson,N.J,82,8,17,25,42.37,4.62,38,47,19,1807.5,0.1,0.8298755
Braydon Coburn,T.B,74,3,18,21,42,4.22,28,21,15,1192.2,0.5,1.05686975
Ryan Strome,"EDM, NYR",81,9,10,19,57.58,8.22,38,38,29,259.4,0.2,4.39475727
Keith Yandle,FLA,82,2,16,18,27.69,4.24,28,94,18,1840.4,0.7,0.586828947
Dylan DeMelo,OTT,77,4,13,17,23.61,2.85,28,50,15,N/A,N/A,N/A
Danny DeKeyser,DET,52,4,13,17,39.53,2.69,33,28,10,N/A,N/A,N/A
Marcus Pettersson,"ANA, PIT",84,1,15,16,32.65,2.96,33,42,23,378.5,0.1,2.5363276
Derek Forbort,L.A,81,2,12,14,36.84,2.3,38,66,10,1680.1,-0.8,0.499970257
Colin Miller,VGK,65,1,12,13,30.95,3.03,28,33,17,1277,1.3,0.6108066
Marcus Kruger,CHI,74,4,7,11,52.38,5.78,28,6,14,770.7,0.6,0.8563643
Patrik Nemeth,COL,74,1,7,8,23.53,2.05,38,14,3,1220,0.9,0.393442631
Gustav Forsling,CHI,43,2,6,8,50,2.18,28,21,14,734.6,-1.8,0.6534169
