Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Kyle Capobianco,ARI,2,0,0,0,-,0.02,0,0,0,32.1,-0.1,0
Zach Senyshyn,BOS,2,0,0,0,-,0.49,0,1,0,23.2,0,0
William Borgen,BUF,4,0,0,0,-,0.04,0,0,0,66.2,-0.4,0
Kole Sherwood,CBJ,2,0,0,0,-,0.09,0,0,1,18.4,0,0
Ryan Lomberg,CGY,4,0,0,0,-,0.11,0,0,1,27.9,0,0
Nick Lappin,N.J,11,0,0,0,0,0.57,0,2,3,150.6,-0.4,0
Brandon Gignac,N.J,1,0,0,0,-,0.02,0,2,0,9.1,0,0
Timothy Gettinger,NYR,4,0,0,0,0,0.18,0,3,0,30.1,0,0
Trent Frederic,BOS,15,0,0,0,-,1.56,5,2,5,141,-0.6,0
Logan Brown,OTT,2,0,0,0,-,0.27,0,0,1,21,0,0
Vitaly Abramov,OTT,1,0,0,0,-,0.21,0,2,3,13.9,0,0
Anthony Greco,FLA,1,0,0,0,-,0.1,0,0,0,9.5,0,0
Rem Pitlick,NSH,1,0,0,0,-,0,0,0,0,9.7,0,0
Maxim Mamin,FLA,7,0,0,0,-,0.5,5,0,1,51.4,0,0
Dylan Gambrell,S.J,8,0,0,0,0,0.39,0,0,5,69,-0.3,0
Urho Vaakanainen,BOS,2,0,0,0,-,0.02,0,1,0,18.2,0,0
Erik Brannstrom,OTT,2,0,0,0,-,0.07,0,4,1,36.1,0,0
Justin Kloos,ANA,1,0,0,0,-,0.17,0,0,1,7.1,0,0
Eric Robinson,CBJ,13,0,0,0,0,1.82,0,5,1,153.8,-0.4,0
Sheldon Rempal,L.A,7,0,0,0,0,0.24,0,4,0,61.2,0,0
Filip Zadina,DET,9,0,0,0,0,0.6,0,5,3,138.5,-0.5,0
Jacob Nilsson,CHI,2,0,0,0,-,0,0,1,1,15.7,0,0
Logan O'Connor,COL,5,0,0,0,-,0.06,0,0,1,34.1,0,0
Josh Teves,VAN,1,0,0,0,-,0,0,0,1,13.7,0,0
Ryan Kuffner,DET,10,0,0,0,-,0.76,0,1,2,109.3,-0.5,0
Brady Keeper,FLA,1,0,0,0,0,0.06,0,0,0,12.7,0,0
Nico Sturm,MIN,2,0,0,0,-,0.51,0,0,0,25.6,0,0
Brogan Rafferty,VAN,2,0,0,0,-,0.05,0,1,1,26.7,0,0
Blake Lizotte,L.A,1,0,0,0,-,0.12,0,0,1,11.2,0,0
Paul Byron,MTL,56,11,11,22,66.67,7.89,7,24,9,815.7,1.9,1.618242
Andrew Copp,WPG,69,9,13,22,62.86,8.94,2,25,18,839.1,1.6,1.573114
Ondrej Kase,ANA,30,10,5,15,71.43,7.09,2,13,13,469.6,1.4,1.91652465
Trevor van Riemsdyk,CAR,78,3,11,14,38.89,3.99,2,32,22,N/A,N/A,N/A
Tyler Ennis,TOR,51,10,3,13,86.67,5.4,2,15,18,506.9,0.2,1.53876507
Devon Toews,NYI,48,3,10,13,46.43,3.17,2,23,12,859,0.7,0.9080326
Henrik Borgstrom,FLA,50,5,6,11,55,3.22,2,24,21,600.1,0.5,1.0998168
Tim Schaller,VAN,47,3,7,10,58.82,4.42,2,7,12,501.1,0.7,1.19736576
Mason Appleton,WPG,36,3,7,10,58.82,2.34,2,5,4,295.4,0.7,2.03114414
Tyler Pitlick,DAL,47,6,2,8,57.14,5.63,2,16,11,629,0.1,0.763116062
Matthew Peca,MTL,39,3,5,8,133.33,2.42,2,12,7,410.4,-0.5,1.16959071
Sven Baertschi,VAN,26,6,1,7,63.64,3.65,2,6,8,392.6,-0.1,1.06979108
Michael Dal Colle,NYI,28,3,4,7,53.85,3.18,2,11,7,339,0.7,1.23893809
Jakob Forsbacka Karlsson,BOS,28,2,5,7,77.78,2.21,2,4,9,330.2,-0.2,1.27195632
Markus Hannikainen,CBJ,44,4,3,7,77.78,4.72,2,1,12,417,-0.3,1.00719428
Troy Terry,ANA,32,2,5,7,46.67,2.46,2,7,11,446.2,1.4,0.9412819
Robby Fabbri,STL,32,2,4,6,40,3.48,2,4,4,404.9,0,0.8891084
Christian Dvorak,ARI,20,1,5,6,66.67,3,2,12,11,287.7,0.1,1.25130343
Josh Currie,EDM,21,2,3,5,71.43,1.51,2,2,2,182.9,0.4,1.64024067
Noah Juulsen,MTL,21,1,4,5,27.78,0.57,2,15,5,359.4,0.3,0.834724545
Dillon Dube,CGY,25,1,4,5,55.56,2.41,2,6,6,251.7,0,1.19189513
Alexandre Fortin,CHI,24,2,3,5,71.43,2.7,2,3,8,N/A,N/A,N/A
Karson Kuhlman,BOS,11,3,2,5,55.56,0.88,2,2,3,133.6,0.7,2.245509
Taro Hirose,DET,10,1,4,5,83.33,0.82,2,6,4,153.1,0.4,1.95950353
Brandon Sutter,VAN,26,2,2,4,50,2.1,2,4,6,454.1,-0.6,0.528517962
Connor Brickley,NYR,14,1,3,4,80,1.75,2,5,3,125.7,-0.1,1.909308
Fredrik Claesson,NYR,37,2,2,4,23.53,1.64,7,27,6,638.2,0.7,0.376057655
Frederick Gaudreau,NSH,55,3,1,4,30.77,4.3,2,9,13,495.8,0.6,0.484066159
Sammy Blais,STL,32,2,2,4,40,2.66,4,11,11,315.3,0.2,0.761179864
Sami Niku,WPG,30,1,3,4,28.57,1,2,11,3,417.5,-0.3,0.5748503
Ilya Lyubushkin,ARI,41,0,4,4,26.67,1.27,7,22,6,563.1,-0.1,0.426212072
Ben Street,ANA,21,3,0,3,100,1.29,2,4,2,253.4,-0.8,0.7103394
Scott Wilson,BUF,15,0,3,3,100,1.68,4,4,3,171.8,-0.2,1.04772985
Xavier Ouellet,MTL,19,0,3,3,37.5,1.35,7,9,5,323.2,-0.1,0.556930661
Jonny Brodzinski,L.A,13,2,1,3,60,1.55,2,0,3,129,0,1.39534879
Valentin Zykov,"CAR, EDM, VGK",28,2,1,3,75,2.88,2,15,8,126.8,-0.1,1.41955829
Anders Bjork,BOS,20,1,2,3,75,1.36,2,9,11,236,0.1,0.7627119
Joseph Gambardella,EDM,15,0,3,3,50,0.68,2,2,5,121.6,0.2,1.48026323
Matt Hunwick,BUF,14,0,2,2,66.67,0.39,2,3,2,219.6,-0.5,0.546448052
Darren Archibald,"OTT, VAN",12,1,1,2,66.67,0.6,7,3,1,19.8,0,6.06060648
Tomas Hyka,VGK,17,1,1,2,28.57,1.61,2,4,9,200,0.5,0.6
Tyler Lewington,WSH,2,1,1,2,66.67,0.09,2,3,0,27.6,0.1,4.347826
Nick Paul,OTT,20,1,1,2,50,2.68,2,3,5,169.5,-0.2,0.7079646
Mikhail Vorobyev,PHI,15,1,1,2,33.33,0.94,2,4,4,140,-0.1,0.857142866
Philippe Myers,PHI,21,1,1,2,22.22,0.82,2,12,6,322.7,-0.4,0.3718624
Martin Necas,CAR,7,1,1,2,100,0.2,2,6,2,70.2,-0.2,1.70940173
Isac Lundestrom,ANA,15,0,2,2,33.33,0.9,2,5,1,195.4,-0.3,0.6141249
Erik Condra,DAL,6,1,0,1,100,0.48,2,5,0,76.1,-0.2,0.7884363
Karl Alzner,MTL,9,0,1,1,25,0.15,2,6,1,155.7,0.1,0.385356456
Luca Sbisa,NYI,9,0,1,1,33.33,0.16,2,3,0,139.2,-0.5,0.4310345
Brian Lashoff,DET,4,0,1,1,50,0.03,2,0,0,54.6,-0.2,1.09890115
Wade Megan,DET,11,0,1,1,50,1.14,2,3,2,86.7,-0.1,0.6920416
Justin Holl,TOR,11,0,1,1,16.67,0.15,2,6,2,137.3,-0.2,0.436999261
Sam Carrick,ANA,6,0,1,1,100,0.41,2,1,1,61.3,-0.3,0.978792846
Matt Read,MIN,12,1,0,1,20,0.8,2,4,3,141.1,0.1,0.425230324
Ashton Sautner,VAN,17,0,1,1,14.29,0.64,2,10,3,247.2,0.2,0.242718443
Remi Elie,BUF,16,0,1,1,100,0.9,2,3,2,165.6,-0.6,0.3623188
Justin Bailey,PHI,11,0,1,1,50,0.38,2,2,3,63.1,0,0.950871646
Nathan Walker,WSH,3,0,1,1,100,0.17,2,1,0,24.4,0,2.45901632
Haydn Fleury,CAR,20,0,1,1,7.69,0.67,2,6,3,250.7,0.7,0.239329875
Nikita Scherbak,L.A,8,1,0,1,50,1.08,2,1,0,81.4,-0.2,0.7371007
Michael Bunting,ARI,5,1,0,1,100,0.63,2,0,0,47.8,0,1.25523019
Rourke Chartier,S.J,13,1,0,1,50,1.42,2,1,0,122.2,-0.3,0.4909984
Jacob Middleton,S.J,3,0,1,1,50,0.02,2,1,1,29.8,-0.1,2.013423
Jeremy Lauzon,BOS,16,1,0,1,33.33,0.33,2,4,4,248.6,-0.4,0.24135156
Filip Chlapik,OTT,5,1,0,1,50,0.85,2,2,2,69.3,-0.2,0.8658008
Tanner Fritz,NYI,8,0,1,1,100,0.77,2,1,1,86.6,-0.2,0.692840636
Kalle Kossila,ANA,8,1,0,1,100,0.53,2,2,0,82.4,-0.2,0.7281553
Libor Hajek,NYR,5,1,0,1,33.33,0.27,2,4,4,82.7,0.2,0.725513935
Quinn Hughes,VAN,5,0,1,1,50,0.12,2,2,2,90.4,0,0.6637168
Brad Malone,EDM,16,0,0,0,0,0.95,2,1,0,143.2,-0.2,0
Cody Goloubef,OTT,5,0,0,0,0,0.1,2,2,0,54.1,-0.1,0
Nate Prosser,MIN,15,0,0,0,0,0.18,2,1,1,153.3,-0.1,0
Dylan McIlrath,DET,7,0,0,0,0,0.06,2,2,1,106.3,0.2,0
Zach Trotman,PIT,13,0,0,0,0,0.35,2,5,2,198.4,0.2,0
Erik Burgdoerfer,OTT,4,0,0,0,-,0.04,2,2,0,42.7,-0.1,0
Cory Conacher,T.B,1,0,0,0,-,0.02,2,1,0,8.6,0,0
Colin Blackwell,NSH,6,0,0,0,-,0.63,2,3,2,58.4,-0.2,0
Matt Puempel,DET,8,0,0,0,-,0.81,2,2,0,83.2,-0.3,0
John Gilmour,NYR,5,0,0,0,0,0.27,2,3,1,80.4,-0.4,0
Marko Dano,COL,8,0,0,0,0,0.3,7,2,3,55.1,-0.1,0
Samuel Morin,PHI,5,0,0,0,0,0.1,2,5,1,61.9,-0.3,0
Joel Hanley,DAL,16,0,0,0,0,0.44,2,9,3,219.1,0.2,0
Jake Chelios,DET,5,0,0,0,0,0.14,2,4,1,86,-0.2,0
Nicolas Roy,CAR,6,0,0,0,-,0.12,2,1,3,41.7,-0.1,0
Dennis Gilbert,CHI,1,0,0,0,-,0,2,0,0,12.8,0,0
Gabriel Carlsson,CBJ,1,0,0,0,-,0.01,2,0,0,9.3,0,0
Colton White,N.J,3,0,0,0,0,0.01,2,1,0,42.7,0,0
Riley Stillman,FLA,1,0,0,0,0,0.01,2,1,0,11.4,0,0
Jake Bean,CAR,2,0,0,0,-,0.02,2,0,1,16.9,-0.1,0
Patrick Russell,EDM,6,0,0,0,-,0.81,2,2,3,52.7,-0.1,0
Jakub Jerabek,STL,1,0,0,0,-,0.02,2,0,0,7.9,0,0
Evan Bouchard,EDM,7,0,0,0,0,0.36,2,2,3,86.5,-0.2,0
Jason Pominville,BUF,73,15,13,28,68.29,9.2,4,19,13,909.9,1.8,1.84635675
Mikkel Boedker,OTT,71,5,22,27,69.23,6.37,4,21,25,995.6,0.2,1.6271596
Anthony Cirelli,T.B,82,11,15,26,57.78,10.29,24,13,29,1217.4,3,1.2814194
Jesper Bratt,N.J,51,6,17,23,82.14,5.74,4,16,15,773.5,0.5,1.78409827
Rickard Rakell,ANA,69,9,13,22,61.11,11.25,19,50,31,1275,1,1.03529418
Devin Shore,"ANA, DAL",76,6,15,21,70,6.67,4,17,22,525.5,0.6,2.39771652
John Klingberg,DAL,64,4,15,19,41.3,4.08,4,66,21,1570,1.8,0.726114631
Markus Nutivaara,CBJ,80,5,13,18,33.33,4.38,4,23,23,1414.4,1,0.76357466
Josh Archibald,ARI,68,9,8,17,58.62,7.68,4,8,13,922.4,0.9,1.10581088
Jack Roslovic,WPG,77,4,13,17,62.96,4.54,4,18,22,750.2,1.1,1.35963738
Samuel Girard,COL,82,4,13,17,28.81,4.03,4,39,24,1631.2,1.7,0.625306547
Anton Stralman,T.B,47,2,13,15,37.5,1.88,4,15,20,964.6,0.4,0.933029234
Alexander Wennberg,CBJ,75,0,15,15,46.88,4.6,4,23,24,N/A,N/A,N/A
Ryan Donato,"BOS, MIN",56,6,9,15,78.95,8.09,6,15,26,425.2,0.1,2.11665082
Trevor Lewis,L.A,44,3,9,12,66.67,5.93,9,12,10,617,0,1.16693676
Jean-Gabriel Pageau,OTT,39,4,8,12,85.71,5.69,4,20,17,696,-0.9,1.03448272
Nick Schmaltz,"ARI, CHI",40,1,10,11,64.71,3.98,4,21,32,306.4,0.6,2.154047
Ty Rattie,EDM,50,4,6,10,62.5,7.4,4,11,21,567.3,0.1,1.05764151
Christian Djoos,WSH,45,1,9,10,35.71,1.26,4,21,9,610.7,-0.1,0.9824791
Justin Schultz,PIT,29,1,8,9,47.37,1.5,4,23,4,594.5,-0.1,0.9083263
Mirco Mueller,N.J,53,1,8,9,36,1.32,9,33,17,957.8,0.3,0.56379205
Matt Luff,L.A,33,6,3,9,69.23,3.36,4,12,4,366.8,-0.1,1.47219193
Christoffer Ehn,DET,60,2,6,8,66.67,3.47,4,14,5,637,-0.6,0.7535322
Antti Suomela,S.J,27,3,5,8,100,4.98,4,7,5,305.6,-0.8,1.57068062
Sam Steel,ANA,22,4,3,7,58.33,1.88,4,8,7,329.2,0,1.27582014
Egor Yakovlev,N.J,25,2,5,7,50,1.23,4,18,3,391.8,0.4,1.07197559
Jamie McGinn,FLA,19,3,3,6,85.71,1.91,4,4,4,202.9,-0.4,1.774273
Michael Grabner,ARI,41,2,4,6,60,5.36,4,16,24,590,0,0.6101695
Casey Nelson,BUF,38,1,5,6,30,1.1,4,18,5,585.5,0.6,0.6148591
Drake Batherson,OTT,20,1,5,6,60,1.05,4,9,6,268.3,0.6,1.34178162
Carl Dahlstrom,CHI,38,0,5,5,14.71,1.09,4,26,8,707,0.7,0.424328148
Alan Quine,CGY,13,2,2,4,100,0.67,4,5,3,123.5,-0.1,1.9433198
Peter Cehlarik,BOS,20,2,2,4,57.14,3.06,4,4,13,251.9,-0.1,0.952759
Carl Grundstrom,L.A,15,4,0,4,66.67,3.39,4,3,8,224.5,0.2,1.06904233
Matt Hendricks,"MIN, WPG",26,0,3,3,60,1.06,9,9,3,197.6,-0.5,0.91093117
Patrik Berglund,BUF,23,1,2,3,75,2.2,4,4,4,300,-0.1,0.6
Kevin Gravel,EDM,36,0,3,3,18.75,1.28,4,16,7,529.5,0.6,0.339943349
Jordan Kyrou,STL,16,1,2,3,75,1.03,4,3,3,154.6,-0.4,1.164295
Alexander Nylander,BUF,12,1,2,3,75,0.94,4,4,1,N/A,N/A,N/A
Luke Schenn,"ANA, VAN",26,0,2,2,28.57,0.96,9,9,2,95.8,-0.5,1.25260961
Jordan Nolan,STL,14,0,2,2,28.57,0.86,4,0,1,111.1,0.3,1.080108
Chad Ruhwedel,PIT,18,1,1,2,33.33,0.56,4,10,7,293,-0.1,0.4095563
Joshua Ho-Sang,NYI,10,1,1,2,66.67,0.71,4,4,3,145.2,0.3,0.8264463
Josh Mahura,ANA,17,1,1,2,33.33,0.59,4,8,6,243.2,-0.8,0.493421048
Martin Hanzal,DAL,7,0,1,1,50,0.44,4,1,2,90,-0.2,0.6666667
Mark Barberio,COL,12,1,0,1,25,0.37,4,8,2,182.7,-0.2,0.328407228
Max McCormick,OTT,14,1,0,1,100,1.09,4,3,1,105,-0.5,0.5714286
Kurtis MacDermid,L.A,11,0,1,1,25,0.37,4,12,0,102.8,0.1,0.583657563
John Quenneville,N.J,19,1,0,1,16.67,1.22,4,3,4,215,-0.2,0.279069781
Brendan Guhle,"ANA, BUF",8,0,1,1,50,0.8,4,0,1,96.8,-0.3,0.619834661
Alex Formenton,OTT,9,1,0,1,33.33,1.45,4,5,4,105,0.2,0.5714286
Joel L'Esperance,DAL,18,1,0,1,100,2.2,4,7,6,220.5,-0.6,0.272108853
Marc Methot,DAL,9,0,0,0,0,0.11,4,2,0,152.5,-0.2,0
David Schlemko,MTL,18,0,0,0,0,0.56,4,15,2,357.2,0,0
Justin Falk,OTT,10,0,0,0,0,0.22,4,2,1,129.2,-0.4,0
Jason Garrison,EDM,17,0,0,0,0,0.35,4,5,2,215.8,-0.3,0
Joseph Blandisi,"ANA, PIT",9,0,0,0,0,0.78,4,0,3,32,-0.2,0
Andrej Sustr,ANA,5,0,0,0,0,0.1,4,0,0,60.2,-0.4,0
Luke Johnson,CHI,15,0,0,0,0,1.28,4,1,6,162.2,-0.5,0
Kevin Stenlund,CBJ,4,0,0,0,-,0.18,4,1,3,43.9,-0.1,0
Ryan Lindgren,NYR,5,0,0,0,0,0.37,6,2,0,72.9,-0.4,0
Janne Kuokkanen,CAR,7,0,0,0,0,0.36,4,0,2,76.4,-0.1,0
Libor Sulak,DET,6,0,0,0,0,0.3,4,9,2,116.3,-0.4,0
Aleksander Barkov,FLA,82,18,30,48,68.57,13.26,6,46,75,1833,4.5,1.57119477
Evgenii Dadonov,FLA,82,16,28,44,69.84,13.93,6,43,43,N/A,N/A,N/A
Alex DeBrincat,CHI,82,24,20,44,66.67,12.68,6,41,44,N/A,N/A,N/A
Ryan O'Reilly,STL,82,18,25,43,70.49,15.54,6,27,68,1701.7,4.1,1.51613092
Alex Tuch,VGK,74,14,28,42,75,12.51,6,40,68,1237.8,3.2,2.03587
Gustav Nyquist,"DET, S.J",81,16,25,41,68.33,13.36,6,61,39,1123.4,2,2.189781
Teuvo Teravainen,CAR,82,11,29,40,74.07,9.88,6,49,44,1469.2,1.9,1.63354206
Vladimir Tarasenko,STL,76,19,18,37,74,16.3,6,25,29,1397.2,2,1.5888921
Dominik Kahun,CHI,82,11,22,33,64.71,10.13,6,23,31,1160.3,1,1.70645511
Joonas Donskoi,S.J,80,13,19,32,61.54,11.53,6,36,22,1073.4,2.3,1.78870869
Oliver Bjorkstrand,CBJ,77,19,13,32,78.05,10.92,6,13,30,950,1.7,2.0210526
Jaden Schwartz,STL,69,7,22,29,74.36,11.39,6,24,41,1249.5,0.4,1.392557
Nico Hischier,N.J,69,11,17,28,62.22,11.28,6,25,27,1249.2,2.9,1.34486079
Nikolaj Ehlers,WPG,62,16,11,27,72.97,10.46,6,17,28,977.2,1,1.65779781
Anthony Beauvillier,NYI,81,17,8,25,59.52,13.53,6,26,33,1186,1,1.26475549
Ryan Murray,CBJ,56,0,24,24,41.38,3.22,6,25,18,1200.6,2,1.19940031
Pavel Buchnevich,NYR,64,11,11,22,68.75,8.77,11,35,25,971.1,0.7,1.35928333
Ilya Kovalchuk,L.A,64,9,12,21,80.77,7.34,6,34,19,1038.9,-0.6,1.21282125
Luke Glendening,DET,78,9,11,20,48.78,9.66,6,20,16,1231.2,0.7,0.9746589
Travis Boyd,WSH,53,5,13,18,69.23,3.86,6,11,11,520.9,0.9,2.07333446
Carter Rowney,ANA,62,5,13,18,94.74,5.25,6,23,17,778.2,0.4,1.387818
Josh Leivo,"TOR, VAN",76,11,6,17,47.22,9.63,11,24,34,284.4,0.3,3.586498
Magnus Paajarvi,OTT,80,8,7,15,62.5,8.3,6,15,16,1077.5,-0.3,0.8352668
Sven Andrighetto,COL,64,6,9,15,62.5,5.62,6,18,22,708.4,0.5,1.27046859
Austin Czarnik,CGY,54,5,9,14,63.64,5.52,6,12,23,612,0.5,1.372549
Filip Chytil,NYR,75,6,8,14,63.64,11.88,6,42,25,1034,-0.6,0.8123791
Rocco Grimaldi,NSH,53,5,8,13,92.86,6.27,6,15,27,530.3,0.1,1.47086561
Ryan Carpenter,VGK,68,3,10,13,52,8.07,6,14,26,857.3,-0.3,0.9098332
Andrew Mangiapane,CGY,44,8,5,13,59.09,5.67,6,11,16,463.9,1.2,1.68139684
David Backes,BOS,70,5,7,12,57.14,7.4,21,21,32,912,1.1,0.7894737
Brandon Pirri,VGK,31,9,3,12,57.14,5.88,6,9,12,447.9,1.1,1.60750175
Jordan Oesterle,ARI,71,3,9,12,30,2.58,6,48,20,1341.6,1.2,0.536672652
Nathan Beaulieu,"BUF, WPG",48,3,8,11,31.43,1.76,16,20,7,441,0.3,1.4965986
Pierre-Edouard Bellemare,VGK,76,4,7,11,47.83,8.79,6,18,29,944.7,0.1,0.6986345
Michael Amadio,L.A,43,6,5,11,57.89,3.44,6,12,18,438.9,1.2,1.50375938
Chris Kunitz,CHI,56,5,5,10,66.67,4.34,11,18,13,507.3,0.2,1.18273211
Victor Mete,MTL,71,0,10,10,20,4.04,6,53,9,1261.8,0.5,0.475511163
Lukas Radil,S.J,36,6,4,10,58.82,4.69,6,9,14,384.6,0.9,1.56006241
Michael Del Zotto,"ANA, STL, VAN",42,1,8,9,36,2.3,6,20,6,211.2,-0.5,2.55681825
Tobias Rieder,EDM,67,0,9,9,90,6.56,6,9,31,847.1,-1.3,0.637469053
Kevin Rooney,N.J,41,5,4,9,60,3.54,6,7,9,517.1,0.7,1.04428554
Garrett Wilson,PIT,50,2,6,8,66.67,5.42,16,5,5,380.8,0.3,1.26050425
Devante Smith-Pelly,WSH,54,4,4,8,57.14,5.72,6,8,6,586.1,-0.9,0.8189729
Dmitrij Jaskin,WSH,37,2,6,8,61.54,5.29,6,6,12,373.1,-0.1,1.28651834
Saku Maenalanen,CAR,34,4,4,8,61.54,3.52,6,8,12,320.6,0.2,1.49719274
Christian Wolanin,OTT,30,3,5,8,28.57,1.12,6,22,13,519.8,1.4,0.9234321
Radim Simek,S.J,41,1,7,8,27.59,1.34,6,21,14,623.9,1.1,0.769354045
Sean Walker,L.A,39,2,6,8,34.78,1.94,6,15,14,601.8,0.6,0.7976072
Bogdan Kiselevich,FLA,32,0,8,8,57.14,0.63,6,9,4,475.3,0.2,1.00988853
Carl Gunnarsson,STL,25,3,3,6,28.57,1.3,6,6,6,398.3,1.3,0.9038414
Gabriel Bourque,COL,55,1,5,6,42.86,2.5,6,5,6,535.6,-0.1,0.6721434
Matt Roy,L.A,25,2,4,6,31.58,1.29,6,15,3,428.3,0.2,0.840532362
Lawrence Pilut,BUF,33,1,5,6,28.57,1.07,16,13,7,574.8,0.8,0.6263048
John Hayden,CHI,54,3,2,5,41.67,4.07,21,7,14,494.7,-0.3,0.606428146
Caleb Jones,EDM,17,1,4,5,45.45,0.56,6,13,10,336.6,0.1,0.8912656
Dean Kukan,CBJ,25,0,5,5,38.46,0.68,6,5,4,336.6,0.5,0.8912656
Joey Anderson,N.J,34,2,3,5,50,3.18,6,3,9,438.6,-0.6,0.683994532
Korbinian Holzer,ANA,22,1,3,4,25,0.77,6,11,6,353.5,0.6,0.678925037
Ross Johnston,NYI,17,1,3,4,57.14,1.52,16,5,2,134.6,0.1,1.78306079
Juho Lammikko,FLA,40,0,4,4,57.14,2.99,6,11,9,437.3,-0.3,0.548822343
Jonas Siegenthaler,WSH,26,0,4,4,28.57,0.59,6,19,3,368,0.4,0.652173936
Clark Bishop,CAR,20,1,2,3,37.5,1.4,6,5,5,189.1,0.2,0.9518773
Michael McLeod,N.J,21,0,3,3,100,1.76,6,8,11,256.1,-0.5,0.702850461
Andrej Sekera,EDM,24,0,2,2,13.33,0.73,6,11,3,395.7,0.4,0.303260028
Danick Martel,T.B,9,0,2,2,50,1.07,6,1,3,91.6,0.1,1.31004369
Gavin Bayreuther,DAL,19,1,1,2,18.18,1.07,6,10,3,345.6,-0.1,0.3472222
Blake Pietila,N.J,19,0,1,1,25,1.34,6,1,8,252,-0.3,0.238095239
Eric Gryba,N.J,10,0,0,0,0,0.29,6,6,4,152.9,-0.2,0
Artemi Panarin,CBJ,79,19,40,59,75.64,10.35,8,50,29,1568.7,3.1,2.25664568
Sean Monahan,CGY,78,20,29,49,75.38,14.06,8,50,65,1486.3,2.3,1.97806633
David Krejci,BOS,81,12,35,47,82.46,9.56,8,37,44,1431.9,3,1.96941125
Tomas Hertl,S.J,77,17,28,45,71.43,13.8,8,34,33,1464.5,2.6,1.8436327
Sam Reinhart,BUF,82,17,26,43,72.88,13.74,8,37,36,1554.5,2,1.65969765
Josh Bailey,NYI,82,12,26,38,74.51,9.03,13,61,38,1379.9,1.3,1.65229356
Kevin Hayes,"NYR, WPG",71,10,26,36,80,10.46,8,43,50,992.2,2,2.1769805
Artem Anisimov,CHI,78,13,16,29,72.5,12.45,8,10,38,1274.7,-1.1,1.36502707
Vinnie Hinostroza,ARI,72,11,18,29,90.63,12.66,8,28,27,1099.3,1,1.58282542
Nick Bonino,NSH,81,13,13,26,59.09,6.05,8,33,21,1320.7,2,1.1811918
Derek Stepan,ARI,72,9,16,25,71.43,11.34,8,30,32,1384.1,0.3,1.08373678
Jordan Eberle,NYI,78,12,12,24,58.54,11.38,8,28,31,1289.1,0,1.1170584
Mats Zuccarello,"DAL, NYR",48,9,14,23,71.88,7.29,18,21,25,32,0.1,43.125
Tyler Toffoli,L.A,82,6,16,22,62.86,15.05,13,19,38,1411.4,1.5,0.9352416
Colin Wilson,COL,65,7,13,20,74.07,6.78,8,8,16,881.6,0.9,1.36116159
Matt Nieto,COL,64,3,16,19,70.37,6.36,8,9,16,881.3,0.9,1.2935437
Daniel Sprong,"ANA, PIT",63,11,6,17,77.27,7.9,8,26,17,616.1,-0.5,1.65557551
David Kampf,CHI,63,4,13,17,73.91,5.9,8,6,23,877,0.3,1.1630559
Marcus Johansson,"BOS, N.J",58,9,7,16,61.54,7.71,8,27,26,134.1,-0.2,7.15883636
Zemgus Girgensons,BUF,72,5,11,16,69.57,7.21,13,9,15,980,0.2,0.979591846
Josh Morrissey,WPG,59,1,15,16,34.04,3.55,8,23,28,1321.9,1.5,0.7262274
Rasmus Andersson,CGY,79,1,14,15,31.25,2.43,13,41,19,1266.9,2,0.710395455
Casey Mittelstadt,BUF,77,9,6,15,46.88,7.08,8,36,31,1035.8,0.6,0.868893564
Ryan Callahan,T.B,52,5,9,14,63.64,5.93,8,8,20,579.2,1,1.45027626
Will Butcher,N.J,78,3,11,14,26.92,3.82,8,29,15,1503.1,2.4,0.558845043
Frederik Gauthier,TOR,70,3,11,14,58.33,3.95,8,12,12,585.6,0.8,1.43442631
Pavel Zacha,N.J,61,7,7,14,53.85,6.33,8,25,19,980.9,0.4,0.8563564
Alec Martinez,L.A,60,4,9,13,28.89,3,8,62,11,1281.8,0.7,0.608519256
Nate Schmidt,VGK,61,4,9,13,22.81,3.22,8,32,38,1339,2.6,0.5825243
Tyler Motte,VAN,74,6,6,12,57.14,8.84,8,12,27,945.3,-0.2,0.76166296
Greg McKegg,CAR,41,6,5,11,68.75,3.49,8,10,14,437.1,0.1,1.509952
Joakim Nordstrom,BOS,70,6,5,11,44,6.18,8,19,21,943.6,0.5,0.699448943
Kiefer Sherwood,ANA,50,6,5,11,57.89,5.32,8,21,17,568.5,0,1.16094983
Tim Heed,S.J,37,1,9,10,34.48,1.13,8,22,10,531.6,1.3,1.12866819
Dryden Hunt,FLA,31,2,7,9,64.29,3.56,8,7,10,342.9,0.6,1.57480323
Rudolfs Balcers,OTT,36,2,7,9,90,4.5,8,12,11,444.8,-0.4,1.21402884
Boo Nieves,NYR,43,4,4,8,72.73,2.39,8,19,10,415.2,0,1.15606928
Phil Varone,PHI,47,3,4,7,58.33,2.81,8,11,5,371.6,-0.1,1.13024759
Tom Kuhnhackl,NYI,36,4,3,7,50,2.61,8,15,7,456.6,-0.4,0.9198423
Victor Rask,"CAR, MIN",49,3,4,7,53.85,2.98,8,15,11,312.8,-0.7,1.34271109
Andrew MacDonald,PHI,47,0,6,6,20.69,1.63,8,25,3,770.5,0.8,0.467229068
Erik Haula,VGK,15,2,4,6,75,2.78,8,4,11,248.8,0.2,1.44694531
