Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Andrej Meszaros,BUF,60,1074.38,7,3,4,14,3.42,18,8,-0.3,0.7818463
Andrej Nestrasil,CAR,41,577.2,7,7,4,18,8.2,12,27,1.3,1.87110186
Andrej Nestrasil,DET,13,143.78,0,2,0,2,1.94,1,4,1.3,0.834608436
Andrej Sekera,CAR,57,1297.78,2,5,12,19,4.49,46,42,0.4,0.878423154
Andrej Sekera,L.A,16,307.33,1,2,1,4,0.78,10,1,0.4,0.780919552
Andrej Sustr,T.B,72,1274.57,0,5,8,13,2.07,28,17,0.4,0.61197114
Andrew Agozzino,COL,1,9.75,0,0,1,1,0.08,0,1,0,6.15384626
Andrew Campbell,ARI,33,578.72,0,0,1,1,1.21,6,2,-0.6,0.103677087
Andrew Cogliano,ANA,82,1195.28,15,12,2,29,15.11,33,30,1.2,1.45572579
Andrew Copp,WPG,1,13.27,0,1,0,1,0.24,0,0,0,4.52147675
Andrew Desjardins,CHI,13,155.98,0,0,2,2,1.31,2,4,-0.1,0.7693294
Andrew Desjardins,S.J,56,585.02,5,0,3,8,3.39,16,10,-0.1,0.820484757
Andrew Ebbett,PIT,24,216.13,1,3,2,6,1.29,3,6,0,1.6656642
Andrew Ference,EDM,70,1321.38,3,0,11,14,2.34,38,12,-0.5,0.635699034
Andrew Ladd,WPG,81,1625.87,24,24,14,62,25.72,50,26,0.5,2.28800583
Andrew MacDonald,PHI,58,1160.78,2,4,6,12,2.91,25,12,0.2,0.6202726
Andrew MacWilliam,TOR,12,184.83,0,0,2,2,0.18,4,2,-0.2,0.649245262
Andrew Miller,EDM,9,123.75,1,3,2,6,1.07,6,3,-0.3,2.909091
Andrew Shaw,CHI,79,1180.87,15,4,7,26,18.94,16,17,-0.1,1.32106
Andy Andreoff,L.A,18,154.23,2,0,1,3,2.25,4,7,-0.6,1.16708815
Andy Greene,N.J,82,1930.63,3,7,12,22,3.71,39,21,1,0.6837146
Anthony Bitetto,NSH,7,82.45,0,0,0,0,0.16,3,1,-0.4,0
Anthony Duclair,NYR,18,218.82,1,4,2,7,2.33,6,5,0,1.91938579
Anthony Peluso,WPG,49,287.97,1,1,0,2,3.04,11,4,-0.1,0.416710079
Antoine Roussel,DAL,80,1161.75,13,6,6,25,14.7,38,31,-0.5,1.29115558
Antoine Vermette,ARI,63,1195.82,13,14,8,35,9.91,31,25,-0.3,1.75611722
Antoine Vermette,CHI,19,267.22,0,1,2,3,2.36,5,5,-0.3,0.6736023
Anton Lander,EDM,38,570.45,6,6,8,20,7.63,18,8,0.1,2.10360241
Anton Stralman,T.B,82,1799.58,9,15,15,39,7.7,40,23,3.4,1.30030346
Anton Volchenkov,NSH,46,606.2,0,1,6,7,1.18,13,3,0.8,0.692840636
Anze Kopitar,L.A,79,1530.32,16,30,18,64,13.97,48,29,2.3,2.50927925
Artem Anisimov,CBJ,52,851.8,7,15,5,27,10.42,21,24,0.4,1.90185487
B.J. Crombeen,ARI,58,469.48,3,1,2,6,3.58,5,7,-0.6,0.7668058
Barclay Goodrow,S.J,60,664.3,4,7,1,12,6.2,24,27,0.7,1.08384764
Barret Jackman,STL,80,1345.28,2,6,7,15,2.43,30,17,0.9,0.6690057
Beau Bennett,PIT,49,611.88,4,6,2,12,6.56,17,9,0.3,1.17670131
Ben Chiarot,WPG,40,680.25,2,4,2,8,1.6,25,8,0.7,0.7056229
Ben Lovejoy,ANA,40,741.55,1,4,6,11,1.83,15,10,-0.4,0.890027642
Ben Lovejoy,PIT,20,424.33,1,0,2,3,1.34,7,5,-0.4,0.424198151
Ben Smith,CHI,61,828.7,5,4,0,9,10.03,10,17,0.7,0.651623
Ben Smith,S.J,19,215.47,2,1,2,5,1.76,6,5,0.7,1.39230514
Ben Street,COL,3,34.78,0,0,0,0,0.11,2,1,0,0
Benoit Pouliot,EDM,58,964.08,19,11,4,34,12.96,36,40,0.4,2.11600685
Blair Jones,PHI,4,27.67,0,0,0,0,0.01,1,1,-0.1,0
Blake Comeau,PIT,61,932.33,16,10,5,31,12.98,19,16,-0.3,1.99500167
Blake Wheeler,WPG,79,1553.27,26,24,11,61,26.66,35,35,2.9,2.35631919
Bo Horvat,VAN,68,833.93,13,7,5,25,12.38,10,13,-0.5,1.79871213
Bobby Farnham,PIT,11,78.93,0,0,0,0,0.64,1,0,0.1,0
Bobby Robins,BOS,3,22.75,0,0,0,0,0,1,0,0,0
Bobby Ryan,OTT,78,1362.87,18,18,18,54,19.99,41,59,1.2,2.377336
Bogdan Yakimov,EDM,1,11.32,0,0,0,0,0.2,0,0,0,0
Boone Jenner,CBJ,31,566.37,9,6,2,17,9.78,17,18,1.1,1.8009429
Borna Rendulic,COL,11,103.42,1,1,0,2,0.75,1,5,0.2,1.16031718
Boyd Gordon,EDM,68,906.13,6,3,4,13,6.51,19,21,0.5,0.8608036
Brad Boyes,FLA,78,1220.73,14,18,6,38,15.78,31,41,1.5,1.86773491
Brad Hunt,EDM,11,214.33,1,2,0,3,1.06,6,6,-0.1,0.8398264
Brad Malone,CAR,65,659.78,7,5,3,15,6.24,19,16,0.4,1.364091
Brad Marchand,BOS,77,1301.33,24,14,4,42,16.2,45,52,1.7,1.9364804
Brad Richards,CHI,76,1131.48,12,15,10,37,12.71,31,22,1.3,1.96203208
Brad Richardson,VAN,45,651.22,8,6,7,21,7.58,6,12,-0.1,1.93483007
Brad Stuart,COL,65,1321,3,4,6,13,2.74,22,15,0,0.5904618
Brandon Bollig,CGY,62,533.12,1,1,3,5,3.66,16,15,-1,0.562725067
Brandon Davidson,EDM,12,181.65,1,0,0,1,0.44,4,0,0.4,0.330305547
Brandon Defazio,VAN,2,11.88,0,0,0,0,0.14,0,1,0,0
Brandon Dubinsky,CBJ,47,848.88,13,11,12,36,9.77,19,19,0.7,2.5445292
Brandon Gormley,ARI,27,413.7,2,1,1,4,1.22,7,6,0.2,0.5801305
Brandon Kozun,TOR,20,158.22,2,1,1,4,0.4,4,7,-0.1,1.51687527
Brandon Manning,PHI,11,188.78,0,2,1,3,0.34,6,0,0.4,0.953490853
Brandon McMillan,ARI,50,518.93,1,0,2,3,5.9,1,15,-0.3,0.3468676
Brandon McMillan,VAN,8,88.22,0,0,1,1,0.62,1,0,-0.3,0.6801179
Brandon Pirri,FLA,49,723.72,22,1,1,24,13.27,12,18,0.7,1.98971987
Brandon Prust,MTL,82,1063.23,4,11,3,18,8.26,27,15,0.5,1.0157727
Brandon Saad,CHI,82,1415.38,23,16,13,52,22.13,29,46,2.1,2.204355
Brandon Sutter,PIT,80,1385.92,21,6,6,33,17.52,33,41,0,1.42865384
Brayden McNabb,L.A,71,1128.83,2,8,14,24,3.11,45,12,1.4,1.27565718
Brayden Schenn,PHI,82,1400.57,18,21,8,47,23.57,31,28,0.8,2.01346612
Braydon Coburn,PHI,39,789.3,1,4,4,9,2.08,19,8,0.2,0.6841505
Braydon Coburn,T.B,4,68.1,0,0,2,2,0.01,3,2,0.2,1.76211452
Brendan Gallagher,MTL,82,1360.2,24,16,7,47,32.53,18,43,1.1,2.07322454
Brendan Ranford,DAL,1,9.32,0,0,0,0,0.02,0,0,0,0
Brendan Shinnimin,ARI,12,132.42,0,0,1,1,0.64,4,4,-0.1,0.453103781
Brendan Smith,DET,76,1359.72,4,3,6,13,3.7,47,19,0.5,0.5736475
Brendan Woods,CAR,2,12.07,0,0,0,0,0.15,0,0,0,0
Brenden Dillon,DAL,20,412.3,0,0,1,1,1.14,14,4,-0.7,0.145525113
Brenden Dillon,S.J,60,1153.38,2,3,4,9,2.81,37,11,-0.7,0.46818915
Brenden Morrow,T.B,70,652.93,3,4,1,8,4.53,20,11,0.1,0.7351477
Brent Burns,S.J,82,1964.37,17,24,19,60,15.64,101,46,1.8,1.83264863
Brent Seabrook,CHI,82,1818.7,8,10,13,31,7.98,65,27,0.5,1.02270854
Brett Bellemore,CAR,49,802.48,2,5,3,10,1.54,28,9,1,0.7476822
Brett Connolly,BOS,5,71.82,0,0,2,2,0.5,0,1,-0.1,1.67084384
Brett Connolly,T.B,50,596.6,12,2,1,15,7.78,6,8,-0.1,1.5085485
Brett Kulak,CGY,1,19.52,0,0,0,0,0,1,0,0,0
Brett Ritchie,DAL,31,433.57,6,1,2,9,8.56,10,9,-0.2,1.24547362
Brett Sutter,MIN,6,55.85,0,3,0,3,0.26,0,0,0.1,3.22291851
Brian Boyle,T.B,82,1065.43,15,7,2,24,12.22,14,33,0.9,1.35156691
Brian Campbell,FLA,82,1903.08,3,13,11,27,5.46,34,16,1,0.851251662
Brian Dumoulin,PIT,8,125.37,1,0,0,1,0.08,3,0,0.2,0.4785834
Brian Ferlin,BOS,7,61.57,0,1,0,1,0.55,0,1,0,0.9745006
Brian Flynn,BUF,54,857.85,5,8,4,17,6.85,11,10,1.6,1.18901908
Brian Flynn,MTL,9,81.62,0,0,0,0,0.74,6,2,1.6,0
Brian Gibbons,CBJ,25,345.58,0,3,2,5,2.26,5,7,0.2,0.8681058
Brian Gionta,BUF,69,1245.75,13,12,10,35,14.11,20,31,0.6,1.68573153
Brian Lashoff,DET,11,146.13,0,0,2,2,0.19,2,3,0.1,0.8211866
Brian McGrattan,CGY,8,53.1,0,0,0,0,0.4,0,3,-0.2,0
Brian Strait,NYI,52,955.25,2,0,5,7,2.55,24,14,-1.3,0.43967548
Brock Nelson,NYI,82,1302.42,20,10,12,42,25.62,37,53,2.1,1.93485963
Brody Sutter,CAR,4,29.75,0,0,0,0,0.05,1,0,0,0
Brooks Laich,WSH,66,971.73,7,7,6,20,11.55,25,25,-0.1,1.234911
Brooks Orpik,WSH,78,1699.03,0,7,12,19,1.72,37,11,-0.3,0.6709711
Bryan Allen,ANA,6,109.25,0,1,0,1,0.27,4,0,0.2,0.5491991
Bryan Allen,MTL,5,63.7,0,0,1,1,0.02,4,0,0.2,0.9419152
Bryan Bickell,CHI,80,966.02,14,6,8,28,10.37,20,26,0.5,1.73909438
Bryan Lerg,S.J,2,25.2,1,0,0,1,0.74,1,0,0.1,2.38095236
Bryan Little,WPG,70,1394.37,24,15,13,52,19.66,22,25,0.5,2.23756957
Bryan Rust,PIT,14,168.37,1,0,1,2,2.59,6,2,-0.1,0.712716043
Bryce Salvador,N.J,15,277.53,0,2,0,2,0.35,7,1,-0.2,0.432385683
Cal Clutterbuck,NYI,76,967.33,7,8,1,16,11.9,24,25,-0.7,0.9924224
Calle Jarnkrok,NSH,74,950.85,7,5,6,18,9.1,10,18,0.9,1.13582587
Calvin De Haan,NYI,65,1235.67,1,5,7,13,3.44,44,19,0.1,0.6312365
Cam Atkinson,CBJ,78,1325.3,22,9,9,40,24.6,22,40,-1.2,1.8109107
Cam Fowler,ANA,80,1690.47,7,11,16,34,5.72,52,23,1.8,1.206765
Cameron Schilling,WSH,4,45.5,0,0,0,0,0.09,0,0,0.1,0
Carl Gunnarsson,STL,61,1101.95,2,4,6,12,2.53,13,11,1.5,0.6533872
Carl Hagelin,NYR,82,1249.02,17,10,8,35,19.83,43,51,1,1.68131816
Carl Klingberg,WPG,2,6.62,0,0,0,0,0,1,0,0,0
Carl Soderberg,BOS,82,1378.42,13,19,12,44,18.02,27,33,1.6,1.91523623
Carlo Colaiacovo,PHI,33,544,2,4,2,8,2.52,18,10,-0.1,0.882352948
Carter Ashton,TOR,7,43.57,0,0,0,0,0.34,1,2,-0.1,0
Casey Bailey,TOR,6,54.22,1,0,0,1,0.52,1,1,0.1,1.10660267
Casey Cizikas,NYI,70,876.18,9,4,5,18,11.23,22,42,0,1.23262346
Cedric Paquette,T.B,64,871.08,12,4,3,19,10.12,23,24,-0.2,1.30872023
Chad Ruhwedel,BUF,4,49.85,0,1,0,1,0.07,0,0,0.3,1.2036109
Charlie Coyle,MIN,82,1193.37,11,13,11,35,13.48,20,24,2,1.75972247
Chris Brown,WSH,5,32.3,1,0,0,1,0.23,2,0,-0.1,1.85758519
Chris Butler,STL,33,567.3,3,3,3,9,2.24,9,5,2,0.951877356
Chris Conner,WSH,2,17.63,0,0,0,0,0.26,0,1,0,0
Chris Higgins,VAN,77,1215.92,12,16,8,36,16.38,19,28,1.8,1.77643263
Chris Kelly,BOS,80,1211.27,7,9,12,28,10.21,16,28,0.9,1.386974
Chris Kreider,NYR,80,1256.92,21,16,9,46,21.44,46,25,1.1,2.1958437
Chris Kunitz,PIT,74,1324.32,17,16,7,40,17.98,24,31,1.3,1.81225085
Chris Mueller,NYR,7,73.17,1,0,1,2,1.03,2,1,0.1,1.64001644
Chris Neil,OTT,38,369.97,4,2,1,7,3.35,2,4,0.2,1.1352272
Chris Phillips,OTT,36,752.27,0,2,1,3,0.74,26,7,-0.8,0.239275783
Chris Porter,STL,24,229.3,1,1,0,2,2.33,1,1,-0.3,0.5233319
Chris Stewart,BUF,61,976.2,11,11,3,25,13.46,26,12,-0.9,1.53657031
Chris Stewart,MIN,20,310.13,3,6,2,11,2.97,7,9,-0.9,2.12813973
Chris Summers,ARI,17,233.15,0,2,1,3,0.35,5,1,-0.8,0.7720352
Chris Summers,NYR,3,51.77,0,0,0,0,0.01,1,0,-0.8,0
Chris Tanev,VAN,70,1475.67,2,7,11,20,3.34,49,26,2.1,0.8131899
Chris Terry,CAR,57,725.15,11,7,2,20,7.65,20,21,0.5,1.65483
Chris Thorburn,WPG,81,655.02,7,2,5,14,5.72,12,9,-0.2,1.28240359
Chris Tierney,S.J,43,526.65,6,10,5,21,5.1,20,19,1,2.39248061
Chris Vandevelde,PHI,72,844.53,9,3,3,15,6.58,5,13,0.4,1.06568146
Chris Wagner,ANA,9,79.1,0,0,0,0,0.34,0,1,-0.1,0
Christian Ehrhoff,PIT,49,1066.18,3,6,5,14,5.01,21,12,0.6,0.78785944
Christian Folin,MIN,40,608,2,5,3,10,1.2,16,9,0.9,0.9868421
Christian Thomas,MTL,18,163.72,1,0,0,1,2.17,0,5,-0.1,0.366479367
Clarke MacArthur,OTT,62,1054.28,16,13,7,36,16.06,36,31,0.3,2.04879165
Claude Giroux,PHI,81,1665.77,25,20,28,73,21.8,36,40,1.8,2.62941456
Clayton Stoner,ANA,69,1214.23,1,7,0,8,1.98,40,10,0.4,0.39531225
Cody Ceci,OTT,81,1562.48,5,9,7,21,5.11,41,14,-0.1,0.8064103
Cody Eakin,DAL,78,1341.08,19,6,15,40,16.11,41,68,0.6,1.78960252
Cody Franson,NSH,23,354.77,1,2,1,4,1.19,15,10,0,0.676494658
Cody Franson,TOR,55,1176.23,6,11,15,32,4.09,54,36,0,1.63233387
Cody Goloubef,CBJ,36,560.35,0,5,4,9,1.28,14,3,1.1,0.9636834
Cody Hodgson,BUF,78,1002.03,6,5,2,13,10.32,16,24,-0.8,0.7784198
Cody McCormick,BUF,33,386.55,1,3,0,4,2.32,10,3,-0.2,0.620877
Cody McLeod,COL,82,917.07,7,1,4,12,8.99,6,11,-0.4,0.7851091
Colby Robak,ANA,5,76.28,0,0,1,1,0.06,7,1,0.3,0.7865758
Colby Robak,FLA,7,90.73,0,0,0,0,0.51,1,1,0.3,0
Colin Fraser,STL,1,4.7,0,0,0,0,0.01,0,0,0,0
Colin Greening,OTT,26,255.37,1,0,0,1,3.27,6,8,-0.6,0.23495321
Colin McDonald,NYI,18,189.13,2,4,2,8,3.11,5,2,0,2.53793669
Colin Smith,COL,1,6.1,0,0,0,0,0.01,1,0,0,0
Colin Wilson,NSH,77,1248.28,20,17,5,42,21.27,32,29,2.2,2.01877785
Colton Orr,TOR,1,6.1,0,0,0,0,0,0,0,0,0
Colton Sceviour,DAL,71,902.87,9,5,12,26,12.81,21,24,1.7,1.7278235
Connor Murphy,ARI,73,1226.45,4,1,2,7,2.97,25,8,0.2,0.3424518
Conor Allen,NYR,4,48.8,0,0,0,0,0.04,3,0,0,0
Corban Knight,CGY,2,12.8,0,0,0,0,0.04,0,0,0,0
Corey Perry,ANA,67,1212.75,33,15,7,55,25.75,46,25,2.6,2.72108841
Corey Potter,CGY,6,57.97,0,0,0,0,0.09,4,1,0,0
Corey Tropp,CBJ,61,533.97,1,4,3,8,3.25,10,12,-1.2,0.898927
Cory Conacher,NYI,15,202.2,1,0,2,3,2.14,3,6,0.1,0.8902077
Craig Adams,PIT,70,682.18,1,3,3,7,3.94,7,6,-0.4,0.6156733
Craig Cunningham,ARI,19,210.63,1,2,1,4,2.1,1,2,-0.2,1.13943875
Craig Cunningham,BOS,32,323.5,2,1,0,3,1.55,1,6,-0.2,0.556414247
Craig Smith,NSH,82,1290.25,23,9,12,44,23.71,53,41,1.6,2.04611516
Curtis Glencross,CGY,53,884.1,9,11,8,28,9.86,42,29,0.1,1.90023756
Curtis Glencross,WSH,18,226.92,4,1,2,7,2.7,10,5,0.1,1.85087252
Curtis Hamilton,EDM,1,8.02,0,0,0,0,0,0,0,-0.1,0
Curtis Lazar,OTT,67,864.08,6,7,2,15,9.82,13,24,1,1.04157019
Curtis McKenzie,DAL,36,415.2,4,1,0,5,4.5,13,10,-1.2,0.722543359
Dainius Zubrus,N.J,74,1084.77,4,4,2,10,6.72,19,19,-1.3,0.5531126
Dale Weise,MTL,79,962.35,10,15,4,29,9.27,12,26,2.2,1.808074
Dalton Prout,CBJ,63,1160.17,0,4,4,8,2.18,18,3,-0.5,0.413732469
Damien Brunner,N.J,17,257.5,2,3,2,7,2.64,6,6,-0.3,1.631068
Damon Severson,N.J,51,1120.12,5,2,10,17,4.24,38,14,0.1,0.9106167
Dan Boyle,NYR,65,1315.88,9,3,8,20,7.91,33,20,0.8,0.911937237
Dan Carcillo,CHI,39,319.38,4,3,1,8,3.15,5,6,0.6,1.50291193
Dan Girardi,NYR,82,1860.75,4,9,7,20,6.22,60,33,0.7,0.6449013
Dan Hamhuis,VAN,59,1270.37,1,10,12,23,3.68,47,18,1.1,1.08629775
Dana Tyrell,CBJ,3,20.82,0,0,0,0,0.02,0,0,-0.1,0
Daniel Briere,COL,57,690.95,8,1,3,12,6.51,9,23,-0.9,1.04204357
Daniel Cleary,DET,17,155.27,1,0,1,2,0.71,1,2,-0.2,0.7728473
Daniel Paille,BOS,71,817.43,6,6,1,13,8.04,26,29,-0.9,0.954210162
Daniel Sedin,VAN,82,1504.37,20,35,21,76,20.19,36,19,1.6,3.03116918
Daniel Winnik,PIT,21,338.28,2,5,2,9,3.34,7,6,0.8,1.59631073
Daniel Winnik,TOR,58,976.42,7,13,5,25,5.96,18,38,0.8,1.53622425
Daniil Tarasov,S.J,5,37.85,0,0,1,1,0.21,0,1,0.1,1.58520484
Danny Biega,CAR,10,161.42,0,0,2,2,0.36,7,1,0,0.7434023
Danny Dekeyser,DET,80,1674.2,2,10,19,31,3.57,38,14,2,1.11097836
Dany Heatley,ANA,6,72.75,0,0,0,0,0.98,0,1,-0.2,0
Darnell Nurse,EDM,2,33.98,0,0,0,0,0.03,0,0,-0.1,0
Darren Helm,DET,75,1187.52,15,13,5,33,16.23,22,33,2.4,1.66734028
Dave Bolland,FLA,53,866.63,6,11,6,23,8.85,10,26,0.4,1.592375
David Backes,STL,80,1491.28,26,18,14,58,19.26,29,38,2.7,2.33356571
David Booth,TOR,59,704.53,7,5,1,13,8.83,12,27,-0.1,1.107121
David Clarkson,CBJ,3,36.9,0,0,0,0,0.58,0,0,-0.2,0
David Clarkson,TOR,58,804.88,10,1,4,15,10.77,12,11,-0.2,1.11817908
David Desharnais,MTL,82,1414.42,14,16,18,48,12.84,20,27,2.1,2.03617024
David Jones,CGY,67,960.73,14,10,6,30,13.06,26,24,0.7,1.87357533
David Krejci,BOS,47,853.85,7,12,12,31,7.68,21,20,0.7,2.17836857
David Legwand,OTT,80,1111.75,9,11,7,27,9.59,25,30,0,1.45716214
David Moss,ARI,60,774.85,4,5,3,12,11.02,10,18,-0.3,0.929212153
David Musil,EDM,4,79.22,0,1,1,2,0.06,2,1,-0.2,1.514769
David Pastrnak,BOS,46,642.77,10,8,9,27,8.01,30,25,1.6,2.52034163
David Perron,EDM,38,645.87,5,8,6,19,7.19,21,13,0.7,1.76506114
David Perron,PIT,43,757.7,12,6,4,22,11.3,14,22,0.7,1.74211431
David Rundblad,CHI,49,627.17,3,7,4,14,1.79,29,10,1.3,1.33934987
David Savard,CBJ,82,1881.4,11,10,15,36,4.7,22,14,0.9,1.14808118
David Schlemko,ARI,20,362.3,1,0,3,4,0.58,7,1,0.2,0.662434459
David Schlemko,CGY,19,240.22,0,0,0,0,0.43,9,3,0.2,0
David Schlemko,DAL,5,72.05,0,0,0,0,0.32,3,2,0.2,0
David Van Der Gulik,L.A,1,5.25,0,0,0,0,0.1,1,0,0,0
David Warsofsky,BOS,4,71.03,0,0,1,1,0.2,1,0,0.1,0.8447135
David Wolf,CGY,3,28.15,0,0,0,0,0.2,0,1,-0.1,0
Dennis Everberg,COL,55,649.05,3,4,5,12,5.83,11,20,0.2,1.10931361
Dennis Seidenberg,BOS,82,1812.27,3,3,8,14,3.08,24,8,0.6,0.4635071
Dennis Wideman,CGY,80,1971.4,15,15,26,56,10.52,92,51,2.4,1.70437253
Derek Dorsett,VAN,79,951.58,7,10,8,25,9.28,12,18,0.3,1.57632565
Derek MacKenzie,FLA,82,1020.97,5,2,4,11,8.5,12,26,-0.8,0.6464441
Derek Roy,EDM,46,777.1,11,8,3,22,10.83,18,28,0.6,1.69862318
Derek Roy,NSH,26,351.27,1,7,2,10,4.12,16,14,0.6,1.7080878
Derek Stepan,NYR,68,1236.3,16,26,13,55,13.58,32,46,0.8,2.669255
Derick Brassard,NYR,80,1391.6,19,16,25,60,16.53,38,42,2.1,2.5869503
Derrick Pouliot,PIT,34,596.58,2,3,2,7,3.46,18,11,-0.9,0.7040129
Deryk Engelland,CGY,76,1093.18,2,3,6,11,1.5,38,20,-1.2,0.6037432
Devante Smith-Pelly,ANA,54,790.13,5,4,8,17,7.49,20,16,-0.5,1.29092681
Devante Smith-Pelly,MTL,20,265.92,1,1,1,3,1.62,6,2,-0.5,0.676895261
Devin Setoguchi,CGY,12,145.78,0,0,0,0,1.65,1,0,-0.5,0
Dion Phaneuf,TOR,70,1660.23,3,14,12,29,8.21,43,30,0.4,1.04804754
Dmitrij Jaskin,STL,54,727.27,13,2,3,18,10.57,11,16,1.6,1.4850055
Dmitry Kulikov,FLA,73,1555.73,3,7,12,22,3.96,26,17,0.2,0.8484763
Dominic Moore,NYR,82,1132.4,10,9,8,27,11.44,19,30,0.7,1.43058991
Dominik Uher,PIT,2,12.92,0,0,0,0,0,0,0,0,0
Dougie Hamilton,BOS,72,1536.18,10,11,21,42,7.99,45,24,1.2,1.64043272
Drayson Bowman,MTL,3,19.53,0,0,0,0,0.05,0,0,0,0
Drew Doughty,L.A,82,2377.67,7,21,18,46,11.1,80,12,1,1.16080034
Drew Miller,DET,82,1102.07,5,5,3,13,8.3,11,24,-0.9,0.7077591
Drew Shore,CGY,11,117.3,1,2,0,3,0.73,1,1,0,1.53452682
Drew Stafford,BUF,50,799.12,9,8,7,24,8.56,13,9,-0.5,1.80198216
Drew Stafford,WPG,26,454.78,9,5,5,19,6.3,4,12,-0.5,2.50670648
Duncan Keith,CHI,80,2045.12,10,19,16,45,9.75,63,43,1.8,1.320216
Duncan Siemens,COL,1,14,0,0,0,0,0,0,0,0,0
Dustin Brown,L.A,82,1354.38,11,12,4,27,17.53,46,29,1,1.19611931
Dustin Byfuglien,WPG,69,1564.8,18,8,19,45,18.89,56,47,0.6,1.72546
Dwight King,L.A,81,1166.03,13,9,4,26,14.37,23,20,-0.9,1.33787286
Dylan McIlrath,NYR,1,8.03,0,0,0,0,0,1,0,0,0
Dylan Olsen,FLA,44,699.73,2,2,4,8,1.26,9,9,-0.3,0.6859789
Dylan Reese,ARI,1,19.97,0,0,0,0,0.07,1,2,0,0
Elias Lindholm,CAR,81,1330.3,17,13,9,39,18.65,42,36,0.2,1.75900161
Emerson Etem,ANA,45,550.97,5,3,2,10,7.37,11,12,-0.4,1.08898854
Emile Poirier,CGY,6,47.9,0,0,1,1,0.13,0,3,0,1.25260961
Eriah Hayes,S.J,4,39.88,0,0,0,0,0.6,1,1,-0.2,0
Eric Boulton,NYI,10,71.97,2,0,0,2,0.99,1,1,-0.1,1.66736138
Eric Brewer,ANA,9,155.38,1,0,1,2,0.32,4,3,-0.2,0.7723001
Eric Brewer,T.B,17,303.27,0,2,2,4,0.66,5,0,-0.2,0.791374
Eric Brewer,TOR,18,363.48,2,1,2,5,0.63,7,5,-0.2,0.8253549
