Player,Team,GP,TOI,G,A1,A2,Points,ixG,GIVE,TAKE,WAR,p/60
Aaron Ekblad,FLA,81,1766.62,12,10,17,39,8.97,41,26,2.6,1.32456326
Aaron Volpatti,WSH,2,19.23,0,0,0,0,0.07,1,0,0,0
Adam Burish,S.J,20,222.9,1,2,0,3,1.31,2,4,-0.7,0.807537
Adam Clendening,CHI,4,52.68,1,0,1,2,0.15,2,0,0.2,2.27790427
Adam Clendening,VAN,17,296.7,0,1,1,2,0.63,12,2,0.2,0.404448926
Adam Cracknell,CBJ,17,169.1,0,1,0,1,1.09,3,5,-0.5,0.354819626
Adam Henrique,N.J,75,1330.78,16,16,11,43,14.87,21,31,1.1,1.9387126
Adam Larsson,N.J,64,1341.63,3,9,12,24,3.18,30,21,0.7,1.07332122
Adam Lowry,WPG,80,1100.25,11,9,3,23,13.5,14,25,0.5,1.25426042
Adam McQuaid,BOS,63,1161.47,1,2,4,7,1.57,22,7,-0.3,0.36161074
Adam Pardy,WPG,55,826.03,0,5,4,9,1.28,35,10,0.2,0.65372926
Alec Martinez,L.A,56,1115.4,6,9,7,22,5.12,38,11,1.7,1.183432
Aleksander Barkov,FLA,71,1242.42,16,9,11,36,11.68,27,42,0.7,1.73854244
Ales Hemsky,DAL,76,1036.68,11,8,13,32,10.9,37,30,0.6,1.85206616
Alex Biega,VAN,7,110.57,1,0,0,1,0.34,3,1,0,0.542642653
Alex Bolduc,ARI,3,31.98,0,0,0,0,0.15,0,0,-0.1,0
Alex Burrows,VAN,70,1083.42,18,9,6,33,16.23,24,33,0.6,1.827546
Alex Chiasson,OTT,76,1016.6,11,9,6,26,13.07,9,22,-0.6,1.534527
Alex Edler,VAN,74,1774.45,8,8,15,31,7.57,72,24,1.5,1.04821217
Alex Galchenyuk,MTL,80,1314.3,20,15,11,46,19.02,28,24,1.5,2.099977
Alex Goligoski,DAL,81,1928.72,4,17,15,36,6.87,83,30,2.2,1.1199137
Alex Khokhlachev,BOS,3,24.6,0,0,0,0,0.02,1,0,0,0
Alex Killorn,T.B,71,1201.75,15,13,10,38,14.67,39,29,1.5,1.89723325
Alex Ovechkin,WSH,81,1646.4,53,21,7,81,39.9,58,45,3.2,2.951895
Alex Petrovic,FLA,33,536.57,0,0,3,3,0.75,12,4,-0.4,0.33546415
Alex Pietrangelo,STL,81,2058.12,7,16,23,46,12.58,38,33,0.2,1.34102964
Alex Semin,CAR,57,907.65,6,7,6,19,9.47,34,48,0.9,1.25599074
Alex Steen,STL,74,1478.57,24,29,11,64,20.3,32,39,2.9,2.597104
Alex Tanguay,COL,80,1452.87,22,19,14,55,13.61,33,34,0.1,2.27136636
Alex Wennberg,CBJ,68,1062.47,4,9,7,20,8.13,11,25,-0.5,1.12944365
Alexei Emelin,MTL,68,1347.57,3,3,8,14,1.4,56,16,0.5,0.623344243
Alexey Marchenko,DET,13,200.6,1,0,1,2,0.25,4,4,0,0.5982054
Anders Lee,NYI,76,1093.88,25,9,7,41,27.05,23,23,1.2,2.24887562
Andre Benoit,BUF,59,1069.38,1,3,5,9,1.9,20,10,-1,0.5049655
Andre Burakovsky,WSH,53,684.8,9,6,7,22,6.35,17,18,2.2,1.9275701
Andrei Markov,MTL,81,2017.73,10,24,16,50,8.27,79,46,2.8,1.48681939
