Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Mike Hoffman,FLA,69,14,14,28,80,7,18,35,26
Matt Duchene,NSH,66,8,20,28,68.29,9.17,18,25,29
Mats Zuccarello,MIN,65,11,17,28,71.79,6.49,10,13,29
Ondrej Palat,T.B,69,11,17,28,54.9,10,12,30,33
Jonathan Marchessault,VGK,66,13,15,28,71.79,13.56,16,40,35
Jaccob Slavin,CAR,68,5,23,28,43.08,4.5,8,35,63
Zach Sanford,STL,58,14,14,28,68.29,8.83,22,16,17
Dylan Strome,CHI,58,8,20,28,77.78,6.51,10,23,25
Cale Makar,COL,57,8,20,28,49.12,4.29,8,29,30
Alex Iafallo,L.A,70,8,20,28,68.29,8.15,8,9,15
Sidney Crosby,PIT,41,9,18,27,90,6.5,11,22,23
T.J. Oshie,WSH,69,13,14,27,56.25,9.19,20,38,35
David Perron,STL,71,11,16,27,60,7.98,34,25,32
Lars Eller,WSH,69,10,17,27,72.97,11.86,30,37,30
Tyler Ennis,"EDM, OTT",70,11,16,27,75,13.32,12,16,25
Charlie Coyle,BOS,70,12,15,27,69.23,9.71,14,25,38
Brett Connolly,FLA,69,15,12,27,67.5,7.37,18,18,26
Brandon Saad,CHI,58,16,11,27,77.14,11.65,12,17,25
Anthony Duclair,OTT,66,14,13,27,77.14,10.17,12,31,14
Oliver Bjorkstrand,CBJ,49,18,9,27,72.97,10.47,10,24,28
Bo Horvat,VAN,69,6,21,27,75,10.97,19,21,24
Max Domi,MTL,71,12,15,27,58.7,10.85,16,48,33
Kasperi Kapanen,TOR,69,10,17,27,79.41,7.29,8,26,25
Warren Foegele,CAR,68,10,17,27,67.5,12.65,24,25,37
Brock Boeser,VAN,57,10,17,27,57.45,10.13,12,17,17
Conor Garland,ARI,68,16,11,27,72.97,9.43,14,23,26
Clayton Keller,ARI,70,14,13,27,84.38,11.42,24,27,32
Dominik Kahun,"BUF, PIT",56,10,17,27,75,5.6,6,7,18
Ryan Suter,MIN,69,5,21,26,41.27,2.56,6,23,13
Ryan Getzlaf,ANA,69,9,17,26,66.67,8.27,29,63,43
Claude Giroux,PHI,69,11,15,26,57.78,9.7,14,26,28
Kevin Shattenkirk,T.B,70,7,19,26,45.61,3.74,24,30,26
Jakob Silfverberg,ANA,66,13,13,26,66.67,8.96,8,22,34
Victor Hedman,T.B,66,7,19,26,40.63,5.62,19,28,32
Jason Zucker,"MIN, PIT",60,10,16,26,68.42,7.32,17,23,25
Joonas Donskoi,COL,65,10,16,26,61.9,8.6,14,18,23
