Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Blake Wheeler,WPG,82,15,22,37,71.15,13.23,25,29,30
Phil Kessel,PIT,82,14,23,37,71.15,10.92,8,37,14
Josh Bailey,NYI,82,9,28,37,61.67,11.39,10,44,48
Gustav Nyquist,DET,76,10,27,37,69.81,11.39,6,25,28
Tyler Bozak,TOR,78,11,26,37,64.91,10.46,20,42,46
Anders Lee,NYI,81,24,13,37,67.27,13.73,31,23,21
Tyler Seguin,DAL,82,14,23,37,72.55,15.32,20,31,35
Mikael Granlund,MIN,81,11,26,37,64.91,10.75,6,21,36
Eric Staal,MIN,82,18,18,36,66.67,13.4,30,21,40
John Tavares,NYI,77,15,21,36,63.16,16.82,26,65,47
Chris Kreider,NYR,75,19,17,36,78.26,14.85,43,26,17
T.J. Oshie,WSH,68,23,12,35,68.63,9.86,22,25,38
Patrick Maroon,EDM,81,24,11,35,56.45,16.95,53,43,29
Erik Karlsson,OTT,77,11,24,35,58.33,6.49,18,81,48
Tomas Tatar,DET,82,19,16,35,66.04,12.75,24,31,32
Rickard Rakell,ANA,71,26,9,35,71.43,12.57,10,33,20
Jeff Carter,L.A,82,15,19,34,75.56,13.14,28,30,17
Paul Byron,MTL,81,19,15,34,70.83,9.23,21,19,31
Jakob Silfverberg,ANA,79,16,18,34,70.83,14.53,16,30,33
Jaden Schwartz,STL,78,13,21,34,65.38,12.15,12,25,51
J.T. Miller,NYR,82,13,21,34,73.91,9.37,8,43,38
Sean Monahan,CGY,82,14,20,34,75.56,13.32,10,34,41
Bo Horvat,VAN,81,14,20,34,75.56,13.12,16,18,31
Jaromir Jagr,FLA,82,8,25,33,62.26,13,40,34,40
Radim Vrbata,ARI,81,13,20,33,82.5,8.85,8,23,27
Scott Hartnell,CBJ,78,11,22,33,78.57,7.82,39,23,15
Thomas Vanek,"DET, FLA",68,12,21,33,84.62,8.82,16,28,15
Ryan Kesler,ANA,82,12,21,33,68.75,14.69,39,31,12
Lee Stempniak,CAR,82,13,20,33,66,10.68,28,42,55
David Krejci,BOS,82,13,20,33,73.33,11.28,22,42,48
Jordan Staal,CAR,75,11,22,33,75,13.73,8,34,40
Jonathan Toews,CHI,72,12,21,33,70.21,12.41,21,30,34
Jamie Benn,DAL,77,11,22,33,86.84,11.07,31,46,45
Jordan Eberle,EDM,82,14,19,33,73.33,14.37,10,35,35
Mark Stone,OTT,71,14,19,33,67.35,9.21,14,32,87
Vincent Trocheck,FLA,82,17,16,33,71.74,14.77,20,54,51
Dougie Hamilton,CGY,81,10,23,33,56.9,6.04,40,46,13
Phillip Danault,MTL,82,12,21,33,76.74,12.09,24,31,42
Kyle Turris,OTT,78,17,15,32,78.05,9.73,22,30,18
Mike Hoffman,OTT,74,13,19,32,59.26,8.93,35,43,38
Marcus Johansson,WSH,82,14,18,32,57.14,8,4,35,31
Evander Kane,BUF,70,23,9,32,84.21,14.39,63,27,27
Richard Panik,CHI,82,16,16,32,64,11.97,35,22,26
Brock Nelson,NYI,81,16,16,32,76.19,10.79,28,36,38
Ondrej Palat,T.B,75,11,21,32,71.11,10.46,26,34,45
Nathan MacKinnon,COL,82,10,22,32,64,13.64,12,28,31
Matthew Tkachuk,CGY,76,9,23,32,71.11,10.93,53,22,39
Henrik Sedin,VAN,82,11,20,31,79.49,6.91,24,39,28
Corey Perry,ANA,82,13,18,31,72.09,16.3,49,27,30
Alexander Radulov,MTL,76,8,23,31,59.62,12.2,48,48,38
Artem Anisimov,CHI,64,14,17,31,72.09,8.71,16,14,28
Derek Stepan,NYR,81,9,22,31,65.96,10.25,16,44,40
Ryan Johansen,NSH,82,7,24,31,60.78,8.77,28,30,30
Aleksander Barkov,FLA,61,15,16,31,75.61,8.29,4,21,37
William Nylander,TOR,81,11,20,31,79.49,11.02,28,23,54
Patrick Eaves,"ANA, DAL",79,16,14,30,68.18,13.99,12,12,25
Taylor Hall,N.J,72,8,22,30,78.95,14.46,28,37,40
Victor Rask,CAR,82,11,19,30,63.83,9.4,8,36,33
Jonathan Marchessault,FLA,75,20,10,30,71.43,9.18,20,35,58
Jason Chimera,NYI,82,17,12,29,65.91,8.11,31,25,16
Travis Zajac,N.J,80,6,23,29,64.44,7,16,18,33
Andrew Cogliano,ANA,82,11,18,29,72.5,11.5,16,24,12
Derick Brassard,OTT,81,9,20,29,58,11.09,12,27,31
Michael Grabner,NYR,76,21,8,29,67.44,11.98,8,20,35
Sam Gagner,CBJ,81,9,20,29,74.36,8.91,12,23,17
Logan Couture,S.J,73,12,17,29,72.5,9.27,10,56,28
Cam Atkinson,CBJ,82,16,13,29,69.05,13.72,16,15,25
Kyle Palmieri,N.J,80,15,14,29,69.05,10.06,24,24,23
Boone Jenner,CBJ,82,14,15,29,59.18,15.32,29,17,32
Alexander Wennberg,CBJ,80,8,21,29,64.44,6.25,14,22,36
Anthony Mantha,DET,60,13,16,29,76.32,10.37,17,30,22
Patrick Marleau,S.J,82,18,10,28,59.57,15.05,20,38,40
Daniel Sedin,VAN,82,9,19,28,70,10.04,26,21,26
Mikko Koivu,MIN,80,13,15,28,51.85,8.19,32,19,30
Valtteri Filppula,"PHI, T.B",79,9,19,28,70,6.33,14,24,24
Zach Parise,MIN,69,12,16,28,63.64,14.64,20,9,25
Dustin Byfuglien,WPG,80,10,18,28,41.79,9.23,59,59,50
Brandon Dubinsky,CBJ,80,8,20,28,62.22,8.59,52,26,32
Nick Foligno,CBJ,79,13,15,28,63.64,11.79,28,24,40
Mikael Backlund,CGY,81,13,15,28,65.12,12.11,22,34,37
Colin Wilson,NSH,70,6,22,28,60.87,8.64,18,17,22
Victor Hedman,T.B,79,7,21,28,48.28,6.1,29,57,28
Ryan Dzingel,OTT,81,12,16,28,68.29,11.8,25,23,20
Jean-Gabriel Pageau,OTT,82,10,18,28,71.79,13.56,18,24,18
Sven Baertschi,VAN,68,16,12,28,71.79,8.01,8,22,33
Brady Skjei,NYR,80,5,23,28,45.16,3.89,32,44,14
Andre Burakovsky,WSH,64,9,19,28,82.35,7.03,12,27,32
Elias Lindholm,CAR,72,8,20,28,71.79,10.81,10,27,41
Jack Eichel,BUF,61,11,17,28,75.68,11.21,20,32,33
Jason Spezza,DAL,68,11,16,27,67.5,8.06,20,38,28
Alexander Steen,STL,76,9,18,27,65.85,7.97,28,11,19
Dustin Brown,L.A,80,8,19,27,69.23,12.71,18,21,18
Michael Frolik,CGY,82,11,16,27,61.36,11.38,32,28,36
Jakub Voracek,PHI,82,8,19,27,75,10,17,39,18
Ryan Nugent-Hopkins,EDM,82,10,17,27,77.14,11.64,16,22,39
Sean Couturier,PHI,66,13,14,27,61.36,11.29,22,25,31
Tanner Pearson,L.A,80,18,9,27,72.97,12.74,6,17,17
Radek Faksa,DAL,80,11,16,27,67.5,13.12,28,30,32
Josh Anderson,CBJ,78,16,11,27,67.5,11.34,56,16,24
Jake Guentzel,PIT,40,15,12,27,72.97,9.14,8,9,15
Max Domi,ARI,59,6,21,27,77.14,5.87,25,28,24
Sebastian Aho,CAR,82,14,13,27,65.85,15.61,20,46,35
Brian Gionta,BUF,82,11,15,26,81.25,10.69,14,20,19
Patrice Bergeron,BOS,79,11,15,26,59.09,16.23,12,16,40
David Backes,BOS,74,12,14,26,56.52,11.38,34,33,27
Anze Kopitar,L.A,76,7,19,26,66.67,10.64,20,24,18
Martin Hanzal,"ARI, MIN",71,14,12,26,70.27,10.82,32,18,21
Matt Niskanen,WSH,78,4,22,26,44.07,4.61,26,58,25
Patric Hornqvist,PIT,70,11,15,26,55.32,15.12,12,8,28
Bryan Little,WPG,59,12,14,26,68.42,9.14,8,12,27
Mathieu Perreault,WPG,65,9,17,26,63.41,9.31,20,17,28
Jared Spurgeon,MIN,76,6,20,26,36.62,4.46,12,17,19
Craig Smith,NSH,78,10,16,26,61.9,13.76,28,31,31
Kevin Hayes,NYR,76,13,13,26,63.41,9.28,12,61,44
Scott Wilson,PIT,78,8,18,26,76.47,10.26,22,10,19
Jaccob Slavin,CAR,82,4,22,26,37.68,2.75,10,33,72
Ryan Hartman,CHI,76,14,12,26,68.42,12.61,43,29,36
Sam Reinhart,BUF,79,6,20,26,66.67,11.69,8,20,22
Mikko Rantanen,COL,75,15,11,26,57.78,9.5,16,26,46
Paul Martin,S.J,81,4,21,25,44.64,1.46,20,53,34
Duncan Keith,CHI,80,4,21,25,40.98,3.98,10,57,22
Alexandre Burrows,"OTT, VAN",75,11,14,25,67.57,9.55,22,16,30
David Perron,STL,82,13,12,25,60.98,10.07,30,14,42
Roman Josi,NSH,72,5,20,25,41.67,5.35,12,29,13
Tyler Johnson,T.B,66,11,14,25,71.43,8.77,16,23,20
Ryan O'Reilly,BUF,72,11,14,25,65.79,10.28,6,18,49
Matt Duchene,COL,77,11,14,25,78.13,12.36,8,38,47
Tyson Barrie,COL,74,6,19,25,56.82,5.38,14,41,15
John Klingberg,DAL,80,4,21,25,36.76,4.7,28,78,35
Jacob Trouba,WPG,60,6,19,25,50,6.37,14,48,29
Nick Ritchie,ANA,77,12,13,25,75.76,13.65,43,23,14
Nick Schmaltz,CHI,61,6,19,25,78.13,5.01,6,20,45
Christian Dvorak,ARI,78,13,12,25,65.79,8.15,16,14,12
Marian Hossa,CHI,73,14,10,24,75,9.84,8,18,40
Rick Nash,NYR,67,14,10,24,61.54,13.21,20,30,36
Mike Green,DET,72,9,15,24,51.06,4.12,26,42,20
Paul Stastny,STL,66,12,12,24,61.54,7.87,28,5,18
James Neal,NSH,70,15,9,24,68.57,11.51,16,23,35
Nick Holden,NYR,80,6,18,24,40,4.69,24,53,19
Alex Pietrangelo,STL,80,6,18,24,35.29,4.91,16,16,41
Zack Kassian,EDM,79,7,17,24,64.86,8.47,50,33,20
Nick Leddy,NYI,81,7,17,24,40,4.16,12,38,21
Dmitry Orlov,WSH,82,5,19,24,33.33,4.84,38,47,30
Zach Hyman,TOR,82,6,18,24,54.55,13.02,20,20,28
Brendan Gallagher,MTL,64,9,15,24,77.42,14.57,27,20,30
Devin Shore,DAL,82,11,13,24,70.59,11.82,6,21,24
Connor Brown,TOR,82,14,10,24,54.55,10.13,8,19,25
Jonathan Drouin,T.B,73,9,15,24,68.57,8.84,10,44,36
Seth Jones,CBJ,75,8,16,24,45.28,3.95,14,37,24
Zdeno Chara,BOS,75,6,17,23,35.38,3.98,48,45,26
Joe Thornton,S.J,79,3,20,23,52.27,4.54,25,58,56
Frans Nielsen,DET,79,11,12,23,65.71,8.72,16,15,19
Ryan Suter,MIN,82,4,19,23,28.05,4.32,20,32,28
Milan Lucic,EDM,82,10,13,23,52.27,10.46,29,40,24
Alex Killorn,T.B,81,13,10,23,63.89,10.7,48,34,19
Nick Bonino,PIT,80,11,12,23,76.67,9.49,8,20,24
Kevin Shattenkirk,"STL, WSH",80,5,18,23,48.94,3.76,32,33,23
Jay Beagle,WSH,81,11,12,23,69.7,8.05,14,20,6
Mikkel Boedker,S.J,81,8,15,23,58.97,10.78,6,28,25
Jake Gardiner,TOR,82,4,19,23,32.39,3.01,28,65,39
Justin Schultz,PIT,78,7,16,23,32.39,5.13,24,30,19
Adam Henrique,N.J,82,10,13,23,65.71,9.51,34,18,30
Antoine Roussel,DAL,60,11,12,23,63.89,6.77,48,35,12
Erik Haula,MIN,72,14,9,23,62.16,9.31,10,16,19
Tobias Rieder,ARI,80,10,13,23,79.31,9.9,6,13,22
Markus Granlund,VAN,69,15,8,23,74.19,10.02,6,10,30
Gabriel Landeskog,COL,72,9,14,23,79.31,7.73,45,27,46
Alex Galchenyuk,MTL,61,7,16,23,67.65,7.17,14,27,12
Andreas Athanasiou,DET,64,15,8,23,82.14,8.29,8,15,12
Artturi Lehkonen,MTL,73,15,8,23,69.7,12.44,8,19,24
Brayden Point,T.B,68,11,12,23,57.5,8.86,10,19,27
Anthony Beauvillier,NYI,66,9,14,23,63.89,7.81,10,28,17
Matt Cullen,PIT,72,8,14,22,75.86,9.13,18,23,14
Andrei Markov,MTL,62,5,17,22,48.89,2.32,14,57,19
Joel Ward,S.J,78,7,15,22,66.67,10.71,24,48,28
Chris Kunitz,PIT,71,8,14,22,64.71,10.76,22,24,23
Alex Goligoski,ARI,82,4,18,22,40.74,3.39,16,44,10
Trevor Lewis,L.A,82,11,11,22,66.67,12.91,22,11,14
Ian Cole,PIT,81,4,18,22,31.88,4.28,40,42,24
Brandon Sutter,VAN,81,10,12,22,68.75,8.99,6,12,23
Zack Smith,OTT,74,10,12,22,73.33,8.9,31,23,21
Brayden Schenn,PHI,79,4,18,22,61.11,8.66,25,31,17
Calle Jarnkrok,NSH,81,12,10,22,57.89,9.84,12,17,17
Brett Connolly,WSH,66,14,8,22,66.67,5.51,32,12,14
Brett Ritchie,DAL,78,15,7,22,64.71,12.34,29,22,15
William Karlsson,CBJ,81,5,17,22,59.46,8.25,10,19,28
Mika Zibanejad,NYR,56,8,14,22,62.86,8.73,14,20,34
Teuvo Teravainen,CAR,81,8,14,22,59.46,8.66,12,56,43
Colton Parayko,STL,81,0,22,22,40.74,5.05,24,31,32
Travis Konecny,PHI,70,6,16,22,61.11,8.97,18,22,26
Mike Fisher,NSH,72,8,13,21,63.64,7.63,24,16,11
Dennis Seidenberg,NYI,73,5,16,21,32.81,2.74,32,30,9
Andrej Sekera,EDM,80,6,15,21,42,4.57,14,85,29
Patrik Berglund,STL,82,15,6,21,65.63,12.25,26,19,36
P.K. Subban,NSH,66,6,15,21,44.68,2.9,25,42,21
Reilly Smith,FLA,80,7,14,21,63.64,9.72,8,22,37
Casey Cizikas,NYI,59,8,13,21,77.78,6.76,22,23,24
David Savard,CBJ,74,6,15,21,31.82,5.28,36,34,17
Bryan Rust,PIT,57,10,11,21,63.64,8.69,8,14,16
Ryan Strome,NYI,69,11,10,21,77.78,8.07,14,24,27
Dylan Larkin,DET,80,9,12,21,67.74,9.09,35,42,44
Shane Doan,ARI,74,3,17,20,66.67,8.35,24,29,23
Mike Cammalleri,N.J,61,8,12,20,66.67,6.44,12,24,20
Matt Stajan,CGY,81,6,14,20,74.07,4.94,38,19,24
Andrew Ladd,NYI,78,15,5,20,62.5,10.84,29,34,31
Kris Versteeg,CGY,69,6,14,20,76.92,4.64,37,22,32
Daniel Winnik,WSH,72,9,11,20,76.92,5.76,31,27,18
Jeff Petry,MTL,80,6,14,20,33.9,5.02,18,85,15
Wayne Simmonds,PHI,82,11,9,20,58.82,11.96,39,22,23
Alex Chiasson,CGY,81,11,9,20,64.52,7.49,28,19,29
Ryan Ellis,NSH,71,10,10,20,36.36,3.33,6,30,23
Marcus Foligno,BUF,80,10,10,20,57.14,8.1,32,34,25
Radko Gudas,PHI,67,5,15,20,41.67,3.53,37,36,16
Jesper Fast,NYR,68,6,14,20,62.5,6.94,12,20,23
Micheal Ferland,CGY,76,13,7,20,64.52,8.41,13,37,34
Andrew Shaw,MTL,68,9,11,20,60.61,11.14,33,25,26
Oscar Klefbom,EDM,82,9,11,20,30.77,5.64,6,55,24
Vladislav Namestnikov,T.B,74,6,14,20,54.05,8.79,18,19,12
Torey Krug,BOS,81,2,18,20,46.51,5.25,21,47,17
Chris Tierney,S.J,80,9,11,20,58.82,8.77,0,50,32
Melker Karlsson,S.J,67,9,11,20,76.92,8.17,14,23,15
Sam Bennett,CGY,81,8,12,20,74.07,9.61,58,21,35
Zach Werenski,CBJ,78,5,15,20,36.36,5.53,10,33,26
Ivan Provorov,PHI,82,6,14,20,50,4.46,30,64,17
Nikita Zaitsev,TOR,82,2,18,20,35.09,2.97,36,42,27
PA Parenteau,"N.J, NSH",67,9,10,19,70.37,7.92,18,23,19
Brent Seabrook,CHI,79,1,18,19,36.54,3.63,20,74,15
Brian Boyle,"T.B, TOR",75,10,9,19,63.33,9.49,44,12,18
Matt Hunwick,TOR,72,1,18,19,44.19,1.99,12,35,18
Jannik Hansen,"S.J, VAN",43,7,12,19,61.29,6.62,8,13,17
Tom Pyatt,OTT,82,8,11,19,63.33,8.64,10,14,25
Kyle Okposo,BUF,65,11,8,19,59.38,9.86,18,25,25
Leo Komarov,TOR,82,9,10,19,41.3,8.03,12,15,35
Chris Stewart,MIN,79,13,6,19,76,6.57,49,15,15
Carl Hagelin,PIT,61,5,14,19,54.29,8.75,10,15,13
Lars Eller,WSH,81,8,11,19,51.35,8.92,26,25,21
Mattias Ekholm,NSH,82,3,16,19,33.33,4.49,22,49,34
Oscar Lindberg,NYR,65,8,11,19,73.08,6.34,24,12,10
Justin Faulk,CAR,75,12,7,19,42.22,5.59,22,35,46
Jimmy Vesey,NYR,80,11,8,19,61.29,10.73,13,29,43
Jordan Martinook,ARI,77,8,11,19,55.88,8.66,30,17,32
Sven Andrighetto,"COL, MTL",46,4,15,19,86.36,3.94,10,4,19
Robby Fabbri,STL,51,6,13,19,76,5.13,16,7,18
Derek Ryan,CAR,67,5,14,19,65.52,5.58,20,29,29
Mike Ribeiro,NSH,46,2,16,18,69.23,2.42,10,15,10
Tomas Plekanec,MTL,78,5,13,18,50,8.73,8,24,19
Bobby Ryan,OTT,62,10,8,18,56.25,7.11,18,23,23
Jack Johnson,CBJ,82,4,14,18,28.57,3.47,26,23,14
Marc-Edouard Vlasic,S.J,75,4,14,18,38.3,4.4,16,46,19
Cal Clutterbuck,NYI,66,5,13,18,62.07,9.3,20,14,23
Claude Giroux,PHI,82,6,12,18,52.94,7.68,30,23,27
Nikolay Kulemin,NYI,72,9,9,18,47.37,7.98,14,15,22
Ryan McDonagh,NYR,77,4,14,18,33.96,4.14,27,44,31
John Carlson,WSH,72,5,13,18,36,5.56,4,66,34
Oliver Ekman-Larsson,ARI,79,3,15,18,33.96,4.04,32,35,12
Calvin de Haan,NYI,82,3,15,18,27.27,3.79,22,47,21
Tyler Toffoli,L.A,63,9,9,18,62.07,10.83,22,26,14
Adam Lowry,WPG,82,9,9,18,54.55,9.82,34,18,21
Jonas Brodin,MIN,68,1,17,18,38.3,2.28,14,24,15
Matt Dumba,MIN,76,4,14,18,28.13,3.41,20,39,15
Tom Wilson,WSH,82,6,12,18,60,7.71,75,18,27
Mikhail Grigorenko,COL,75,9,9,18,69.23,5.29,14,21,28
Damon Severson,N.J,80,3,15,18,50,4.71,44,47,19
Jakob Chychrun,ARI,68,6,12,18,56.25,3.85,26,38,10
Dominic Moore,BOS,82,6,11,17,70.83,6.35,38,24,26
Drew Stafford,"BOS, WPG",58,5,12,17,62.96,6.2,22,27,11
Lauri Korpikoski,"CBJ, DAL",69,8,9,17,60.71,7.65,4,20,11
Mark Letestu,EDM,78,3,14,17,68,4.89,10,15,15
Drew Doughty,L.A,82,5,12,17,30.91,4.33,30,62,19
Ryan Spooner,BOS,78,6,11,17,54.84,6.88,14,33,30
Cam Fowler,ANA,80,4,13,17,29.82,4.31,10,51,20
Adam Larsson,EDM,79,4,13,17,23.94,3.04,38,67,24
Morgan Rielly,TOR,76,3,14,17,33.33,5.13,12,57,24
Brett Pesce,CAR,82,2,15,17,25.37,3.27,16,30,45
Josh Morrissey,WPG,82,5,12,17,26.98,3.29,26,36,13
Jarome Iginla,"COL, L.A",80,7,9,16,59.26,8.54,31,21,22
Marian Gaborik,L.A,56,7,9,16,64,10.11,14,21,7
Deryk Engelland,CGY,81,4,12,16,40,2.93,51,40,14
Johnny Boychuk,NYI,66,3,13,16,37.21,3.52,17,35,11
Shea Weber,MTL,78,5,11,16,34.78,3.05,22,57,7
Keith Yandle,FLA,82,3,13,16,37.21,3.91,18,50,16
Cody Franson,BUF,68,2,14,16,43.24,2.76,28,24,12
Ryan White,"ARI, MIN",65,9,7,16,76.19,4.66,34,10,11
Colton Sceviour,FLA,80,5,11,16,72.73,10.66,16,18,31
Alec Martinez,L.A,82,4,12,16,35.56,4.55,14,45,4
Jason Demers,FLA,81,6,10,16,36.36,3.3,32,29,15
Jori Lehtera,STL,64,6,10,16,51.61,5.66,28,9,21
TJ Brodie,CGY,82,2,14,16,38.1,2.69,14,61,38
John Moore,N.J,63,9,7,16,47.06,3.61,22,33,5
Curtis McKenzie,DAL,53,6,10,16,76.19,6.57,31,9,9
Marcus Kruger,CHI,70,4,12,16,53.33,5.7,24,8,20
Beau Bennett,N.J,65,7,9,16,72.73,7.16,14,12,17
Derek Forbort,L.A,82,2,14,16,34.04,2.87,31,64,8
Matt Read,PHI,63,7,9,16,80,6.73,4,17,18
Zemgus Girgensons,BUF,75,7,9,16,76.19,9.13,14,16,14
Pavel Buchnevich,NYR,41,6,10,16,61.54,4.15,13,18,11
Rasmus Ristolainen,BUF,79,4,12,16,31.37,4.6,38,45,22
Trevor van Riemsdyk,CHI,58,5,11,16,31.37,3.87,29,32,21
Kevin Fiala,NSH,54,11,5,16,76.19,8.21,14,25,39
Kevin Labanc,S.J,55,7,9,16,57.14,6.11,20,24,12
Francois Beauchemin,COL,81,5,10,15,34.09,3.46,20,38,25
Loui Eriksson,VAN,65,6,9,15,48.39,7.65,6,10,31
Alexander Edler,VAN,68,3,12,15,34.88,2.91,32,32,9
Adam Cracknell,DAL,69,9,6,15,57.69,7.06,10,15,19
Jamie McGinn,ARI,72,9,6,15,62.5,9.3,16,24,5
Andrew MacDonald,PHI,73,2,13,15,45.45,2.87,20,39,7
Dwight King,"L.A, MTL",80,9,6,15,48.39,8.87,8,17,13
Michael Del Zotto,PHI,51,6,9,15,44.12,3.5,16,24,9
Austin Watson,NSH,77,5,10,15,62.5,6.19,44,11,22
Mark Pysyk,FLA,82,4,11,15,33.33,3.71,8,33,26
Nick Shore,L.A,70,5,10,15,62.5,7.2,12,13,10
Alan Quine,NYI,61,3,12,15,45.45,5.52,6,17,15
Jonathan Huberdeau,FLA,31,4,11,15,71.43,4.8,11,15,12
Tomas Hertl,S.J,49,7,8,15,75,7.59,10,14,27
Esa Lindell,DAL,73,5,10,15,28.3,2.87,14,42,27
Andrew Copp,WPG,64,8,7,15,65.22,6.59,12,13,14
Brendan Perlini,ARI,57,10,5,15,62.5,5.48,16,7,8
Noah Hanifin,CAR,81,1,14,15,34.88,2.9,18,39,37
Antoine Vermette,ANA,72,2,12,14,48.28,6.86,30,23,11
Patrick Sharp,DAL,48,4,10,14,82.35,8.11,23,15,15
Jussi Jokinen,FLA,69,5,9,14,53.85,6.52,22,44,15
Scottie Upshall,STL,73,6,8,14,66.67,5.58,35,16,12
Jay Bouwmeester,STL,81,1,13,14,22.22,3.88,24,29,8
Kyle Quincey,"CBJ, N.J",73,6,8,14,38.89,3.19,34,35,15
Kyle Brodziak,STL,69,8,6,14,60.87,4.34,15,4,24
Matt Moulson,BUF,81,3,11,14,60.87,8.58,4,10,18
Mark Giordano,CGY,81,2,12,14,23.33,3.59,35,29,29
Blake Comeau,COL,77,5,9,14,53.85,6.52,42,17,29
Torrey Mitchell,MTL,78,6,8,14,58.33,6.65,29,36,34
Rene Bourque,COL,65,8,6,14,56,7.14,24,12,23
Benoit Pouliot,EDM,67,8,6,14,63.64,5.97,30,41,33
Kris Letang,PIT,41,2,12,14,43.75,3.68,16,33,20
Niklas Hjalmarsson,CHI,73,4,10,14,29.17,2.71,18,59,17
Thomas Hickey,NYI,76,2,12,14,29.17,3.33,25,37,14
Paul Postma,WPG,65,1,13,14,51.85,2.08,13,29,10
Jake Muzzin,L.A,82,3,11,14,29.79,3.72,30,54,7
Alex Petrovic,FLA,49,1,13,14,46.67,1.67,53,22,15
Nikita Nesterov,"MTL, T.B",48,3,11,14,50,2.25,20,20,6
Josh Manson,ANA,82,4,10,14,29.17,4.67,54,49,18
Nick Cousins,PHI,60,5,9,14,73.68,7.36,14,13,15
Joel Edmundson,STL,69,3,11,14,37.84,3.15,43,21,6
Connor Murphy,ARI,77,0,14,14,34.15,2.95,35,24,10
Jake McCabe,BUF,76,1,13,14,26.42,3.02,14,40,25
Andrej Sustr,T.B,80,3,11,14,37.84,3.37,39,40,13
Tim Schaller,BOS,59,7,7,14,77.78,7.45,21,17,13
Nate Schmidt,WSH,60,3,11,14,33.33,3.16,14,42,35
Brooks Orpik,WSH,79,0,13,13,24.53,2.48,29,28,5
Dan Hamhuis,DAL,79,0,13,13,28.89,2.43,16,34,13
Ryan Reaves,STL,80,7,6,13,50,6.46,78,4,11
Anton Stralman,T.B,73,3,10,13,26.53,4.41,10,21,17
Travis Hamonic,NYI,49,3,10,13,43.33,2.39,16,30,12
Dale Weise,PHI,64,7,6,13,44.83,6.84,11,13,13
Nic Dowd,L.A,70,4,9,13,81.25,6.44,16,16,18
Shane Prince,NYI,50,4,9,13,65,5.1,14,17,22
Joel Armia,WPG,57,6,7,13,61.9,8.75,12,17,29
Nathan Beaulieu,MTL,74,2,11,13,23.64,2.88,23,68,11
Hampus Lindholm,ANA,66,4,9,13,27.66,3.35,30,50,16
Cody Ceci,OTT,79,2,11,13,29.55,4.14,18,56,19
Brock McGinn,CAR,57,6,7,13,68.42,7.6,0,14,24
Vinnie Hinostroza,CHI,49,6,7,13,72.22,7.44,6,15,27
Anthony Duclair,ARI,58,5,8,13,50,6.44,12,16,29
Oliver Bjorkstrand,CBJ,26,6,7,13,76.47,5.13,6,8,8
Miles Wood,N.J,60,6,7,13,81.25,8.26,46,14,14
