Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Connor McDavid,EDM,82,21,42,63,81.82,20.29,12,39,59
Patrick Kane,CHI,82,23,29,52,80,13.71,22,34,42
Mark Scheifele,WPG,79,17,35,52,74.29,12.24,18,27,55
Sidney Crosby,PIT,75,26,24,50,80.65,15.75,16,47,33
Henrik Zetterberg,DET,82,15,34,49,77.78,9.65,16,29,35
Brent Burns,S.J,82,19,26,45,60,9.14,34,119,44
Artemi Panarin,CHI,82,16,29,45,71.43,11.77,12,44,51
Brad Marchand,BOS,80,19,25,44,78.57,13.72,55,68,49
Nicklas Backstrom,WSH,82,13,31,44,81.48,9.94,22,41,50
Jason Zucker,MIN,79,20,24,44,65.67,13.58,26,21,37
Nikolaj Ehlers,WPG,82,15,29,44,73.33,11.14,26,35,35
Ryan Getzlaf,ANA,74,5,38,43,87.76,8.05,20,43,44
Vladimir Tarasenko,STL,82,23,20,43,82.69,15.78,10,23,25
Brandon Saad,CBJ,82,20,23,43,81.13,16.95,2,25,37
Nikita Kucherov,T.B,74,18,25,43,76.79,12.29,28,46,42
Viktor Arvidsson,NSH,80,20,23,43,70.49,14.95,26,22,28
James van Riemsdyk,TOR,82,23,19,42,75,14.12,20,19,36
Max Pacioretty,MTL,81,22,20,42,79.25,15.31,22,36,34
Jeff Skinner,CAR,79,27,15,42,70,20.29,16,51,56
Conor Sheary,PIT,61,16,26,42,77.78,12.47,16,18,24
Auston Matthews,TOR,82,30,12,42,85.71,22.02,14,38,65
Alex Ovechkin,WSH,82,14,27,41,69.49,14.8,42,38,24
Evgeni Malkin,PIT,62,20,21,41,78.85,11.1,52,37,46
Nino Niederreiter,MIN,82,16,25,41,73.21,11.41,29,22,31
Filip Forsberg,NSH,82,21,20,41,80.39,14.31,24,41,51
Evgeny Kuznetsov,WSH,82,15,25,40,67.8,12.13,32,44,39
Leon Draisaitl,EDM,82,13,27,40,66.67,11.53,14,60,61
Patrik Laine,WPG,73,21,19,40,67.8,8.96,14,46,40
Mats Zuccarello,NYR,80,7,32,39,75,9.46,14,37,56
Justin Williams,WSH,80,19,19,38,74.51,11.92,40,37,30
Nazem Kadri,TOR,82,16,22,38,76,15.41,45,47,54
Charlie Coyle,MIN,82,11,27,38,74.51,11.36,14,29,26
Johnny Gaudreau,CGY,72,11,27,38,92.68,9.67,2,62,37
David Pastrnak,BOS,75,18,20,38,71.7,14.81,24,50,47
Mitchell Marner,TOR,77,15,23,38,69.09,12.08,26,42,59
Jason Pominville,MIN,78,12,25,37,82.22,11.54,2,12,18
Joe Pavelski,S.J,81,16,21,37,74,16.77,18,67,27
