Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Patrick Kane,CHI,82,25,32,57,85.07,13.41,18,28,31
Sidney Crosby,PIT,80,18,33,51,82.26,15.67,24,31,37
Evgeny Kuznetsov,WSH,82,11,40,51,77.27,10.74,24,45,52
Jaromir Jagr,FLA,79,20,30,50,74.63,10.54,36,38,32
Blake Wheeler,WPG,82,16,32,48,80,13.94,26,36,31
Taylor Hall,EDM,82,18,30,48,82.76,19.64,30,58,60
Joe Thornton,S.J,82,8,38,46,70.77,5.91,28,79,65
Erik Karlsson,OTT,82,13,32,45,58.44,6.93,38,72,47
John Tavares,NYI,78,22,23,45,84.91,18.65,16,63,63
Johnny Gaudreau,CGY,79,18,27,45,78.95,11.51,10,67,33
Anze Kopitar,L.A,81,13,31,44,73.33,11.33,12,27,33
Vladimir Tarasenko,STL,80,22,21,43,81.13,16.57,18,29,29
Mark Scheifele,WPG,71,18,25,43,75.44,13.55,28,27,53
Joe Pavelski,S.J,82,23,19,42,64.62,14.08,22,59,36
Jamie Benn,DAL,82,16,26,42,73.68,14.74,35,58,54
Milan Lucic,L.A,81,16,25,41,66.13,11.24,43,46,20
Artemi Panarin,CHI,80,18,23,41,75.93,10.93,24,32,25
Alex Ovechkin,WSH,79,27,13,40,67.8,17.78,35,38,19
Matt Duchene,COL,76,21,19,40,86.96,11.65,20,23,37
Jonathan Huberdeau,FLA,76,13,27,40,70.18,13.31,31,35,26
Mike Hoffman,OTT,78,17,22,39,79.59,10.31,12,31,36
Mats Zuccarello,NYR,81,18,21,39,69.64,9.48,18,31,52
Jeff Skinner,CAR,82,20,19,39,81.25,17.7,18,38,71
Tyler Seguin,DAL,72,22,17,39,68.42,14.95,10,34,17
Jussi Jokinen,FLA,81,11,27,38,71.7,7.19,18,33,20
Max Pacioretty,MTL,82,17,21,38,77.55,18.08,26,27,26
Brandon Saad,CBJ,78,20,18,38,74.51,17.27,8,20,23
Leon Draisaitl,EDM,72,14,24,38,82.61,10.03,12,50,37
Loui Eriksson,BOS,82,16,21,37,74,9.34,6,23,37
David Krejci,BOS,72,11,26,37,75.51,7.25,28,35,29
James Neal,NSH,82,24,13,37,69.81,13.97,38,20,44
Phil Kessel,PIT,82,19,18,37,68.52,14.29,8,47,23
Vincent Trocheck,FLA,76,19,18,37,74,11.85,34,20,38
Tomas Hertl,S.J,81,17,20,37,66.07,16.63,18,37,30
Sean Monahan,CGY,81,19,18,37,66.07,12.91,16,33,52
Brad Marchand,BOS,77,19,17,36,66.67,11.93,54,49,31
Carl Hagelin,"ANA, PIT",80,14,22,36,72,13.26,28,33,21
Tyler Toffoli,L.A,82,20,16,36,65.45,15.51,14,30,22
Alex Galchenyuk,MTL,82,19,17,36,69.23,13.8,14,28,28
Dylan Larkin,DET,80,18,18,36,76.6,13.32,16,27,36
Justin Williams,WSH,82,15,20,35,61.4,15.37,32,39,30
Tomas Plekanec,MTL,82,8,27,35,74.47,8.59,18,38,8
Brent Burns,S.J,82,16,19,35,55.56,8.62,32,79,41
Corey Perry,ANA,82,20,15,35,77.78,14.51,34,44,24
Joe Colborne,CGY,73,13,22,35,79.55,6.25,16,27,23
Nino Niederreiter,MIN,82,16,19,35,71.43,13.58,20,17,31
Aleksander Barkov,FLA,66,17,18,35,70,11.08,4,20,34
Mike Ribeiro,NSH,81,5,29,34,62.96,5.27,28,39,21
