Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Daniel Sedin,VAN,82,16,18,34,73.91,12.85,28,24,21
Jason Spezza,DAL,75,21,13,34,79.07,14,18,43,41
Patric Hornqvist,PIT,82,12,22,34,68,19.03,22,6,22
Kyle Okposo,NYI,79,11,23,34,79.07,14.03,36,48,36
Nicklas Backstrom,WSH,75,13,21,34,77.27,6.93,16,18,35
Derek Stepan,NYR,72,13,21,34,73.91,12.13,14,16,44
Ryan Johansen,"CBJ, NSH",80,10,24,34,73.91,9.93,39,29,35
Mark Stone,OTT,75,12,22,34,75.56,8.6,26,41,106
J.T. Miller,NYR,82,17,17,34,75.56,10.32,27,50,37
Filip Forsberg,NSH,82,21,13,34,62.96,16.26,27,38,59
Scott Hartnell,CBJ,79,10,23,33,73.33,10.76,54,28,18
Jeff Carter,L.A,77,9,24,33,80.49,14.45,12,29,21
Patrice Bergeron,BOS,80,18,15,33,70.21,13.4,41,24,51
Brandon Dubinsky,CBJ,75,11,22,33,78.57,12.81,42,20,34
Jannik Hansen,VAN,67,18,15,33,73.33,7.03,24,22,17
Wayne Simmonds,PHI,81,15,18,33,70.21,15.21,56,25,17
Cam Atkinson,CBJ,81,17,16,33,73.33,18.4,8,11,25
Brayden Schenn,PHI,80,14,19,33,76.74,10.92,10,26,25
Reilly Smith,FLA,82,17,16,33,68.75,11.24,12,21,37
Mika Zibanejad,OTT,81,15,18,33,67.35,13.1,12,35,26
Jiri Hudler,"CGY, FLA",72,12,20,32,71.11,6.68,13,22,19
Lee Stempniak,"BOS, N.J",82,12,20,32,68.09,11.09,26,25,24
Bobby Ryan,OTT,81,12,20,32,69.57,11.69,16,36,47
Craig Smith,NSH,82,19,13,32,64,15.54,28,35,41
Nikita Kucherov,T.B,77,16,16,32,68.09,11.3,20,43,29
Max Domi,ARI,81,13,19,32,71.11,9.05,28,28,23
Chris Kunitz,PIT,80,15,16,31,50.82,11.2,22,31,30
Dustin Byfuglien,WPG,81,14,17,31,43.06,8.67,59,66,51
T.J. Oshie,WSH,80,12,19,31,63.27,11.41,20,33,45
Claude Giroux,PHI,78,13,18,31,77.5,9.79,29,25,29
Derick Brassard,NYR,80,16,15,31,62,11.07,22,35,37
Steven Stamkos,T.B,77,17,14,31,65.96,11.57,24,31,32
Jordan Eberle,EDM,69,16,15,31,77.5,12,8,32,26
Ryan Spooner,BOS,80,7,24,31,81.58,6.56,17,25,24
Brock Nelson,NYI,81,21,10,31,73.81,12.62,22,21,40
Boone Jenner,CBJ,82,19,12,31,75.61,17.3,45,19,35
Gabriel Landeskog,COL,75,13,18,31,77.5,7.91,34,21,31
Anthony Duclair,ARI,81,12,19,31,64.58,7.78,30,16,22
Andre Burakovsky,WSH,79,16,15,31,72.09,10.23,8,26,32
Jonathan Toews,CHI,80,11,19,30,76.92,11.07,30,23,39
Mikael Backlund,CGY,82,12,18,30,63.83,9.84,18,31,49
Kyle Palmieri,N.J,82,16,14,30,88.24,10.79,28,21,37
Chris Kreider,NYR,79,15,15,30,57.69,10.86,33,30,22
Rickard Rakell,ANA,72,14,16,30,69.77,12.42,12,32,23
Henrik Sedin,VAN,74,4,25,29,78.38,5.93,18,37,19
Mikko Koivu,MIN,82,4,25,29,58,7.5,20,33,33
Ales Hemsky,DAL,75,11,18,29,76.32,9.61,20,24,22
Ryan Getzlaf,ANA,77,4,25,29,72.5,8.09,28,51,37
Paul Stastny,STL,64,8,21,29,72.5,9.56,18,3,18
Matt Beleskey,BOS,80,12,17,29,60.42,12.07,42,23,24
Teddy Purcell,"EDM, FLA",76,10,19,29,70.73,9.01,8,24,26
Adam Henrique,N.J,80,18,11,29,63.04,10.62,19,18,27
TJ Brodie,CGY,70,3,26,29,47.54,4.06,14,66,30
Charlie Coyle,MIN,82,15,14,29,74.36,10.02,10,25,33
Kevin Hayes,NYR,79,11,18,29,72.5,9.76,10,35,23
John Klingberg,DAL,76,4,25,29,42.03,7.22,26,61,32
Sean Couturier,PHI,63,8,21,29,76.32,8.19,18,23,16
Sam Reinhart,BUF,79,13,16,29,78.38,12.45,6,18,18
Connor McDavid,EDM,45,12,17,29,80.56,8.26,12,9,24
Jack Eichel,BUF,81,12,17,29,74.36,11.1,18,35,39
PA Parenteau,TOR,77,12,16,28,71.79,9.98,28,18,26
Mark Giordano,CGY,82,10,18,28,45.9,5.76,38,47,32
Alex Killorn,T.B,81,7,21,28,58.33,9.65,26,31,26
Gustav Nyquist,DET,82,8,20,28,71.79,8.75,16,18,26
Marcus Johansson,WSH,74,10,18,28,71.79,8.36,8,32,29
Victor Hedman,T.B,78,7,21,28,46.67,6.07,36,39,39
Michael Raffl,PHI,82,12,16,28,65.12,12.32,22,21,31
Nathan MacKinnon,COL,72,10,18,28,62.22,12.37,16,25,25
Shane Doan,ARI,72,14,13,27,65.85,9.31,28,21,23
Patrick Sharp,DAL,76,12,15,27,60,13.99,21,39,43
Eric Staal,"CAR, NYR",83,10,17,27,61.36,18.24,24,33,54
Zach Parise,MIN,70,15,12,27,81.82,14.79,28,13,31
Carl Soderberg,COL,82,4,23,27,71.05,8.38,22,17,26
Alex Goligoski,DAL,82,4,23,27,35.06,4.07,28,59,12
Kris Versteeg,"CAR, L.A",77,12,15,27,75,12.26,32,30,34
Shawn Matthias,"COL, TOR",71,12,15,27,81.82,9.38,12,8,24
Jakub Voracek,PHI,73,8,19,27,75,8.95,26,34,24
Roman Josi,NSH,81,5,22,27,50,6.13,27,31,15
Joonas Donskoi,S.J,76,8,19,27,67.5,11.07,14,34,29
Vladislav Namestnikov,T.B,80,11,16,27,65.85,8.22,32,12,13
Valeri Nichushkin,DAL,79,8,19,27,64.29,11.74,10,44,33
Sam Bennett,CGY,77,14,13,27,69.23,10.7,26,22,32
Jarome Iginla,COL,82,8,18,26,74.29,8.72,20,15,21
Joel Ward,S.J,79,12,14,26,74.29,11.8,18,42,33
Mike Cammalleri,N.J,42,10,16,26,78.79,6.14,18,13,16
Andrew Ladd,"CHI, WPG",78,11,15,26,68.42,9.94,20,27,22
Andrew Cogliano,ANA,82,5,21,26,78.79,8.69,26,32,21
Jordan Staal,CAR,82,9,17,26,70.27,11.54,16,41,43
Jakob Silfverberg,ANA,82,14,12,26,78.79,13.85,26,35,31
Tomas Tatar,DET,81,13,13,26,65,11.69,12,20,27
Erik Haula,MIN,76,10,16,26,72.22,5.97,18,12,27
Mikael Granlund,MIN,82,8,18,26,76.47,9.92,12,34,43
Ondrej Palat,T.B,62,12,14,26,66.67,7.05,14,24,25
Jean-Gabriel Pageau,OTT,82,8,18,26,61.9,8.63,14,30,23
Victor Rask,CAR,80,14,12,26,61.9,10.42,12,20,38
Tanner Pearson,L.A,79,11,15,26,72.22,10.4,12,16,21
Robby Fabbri,STL,72,15,11,26,72.22,9.75,16,19,26
Alex Tanguay,"ARI, COL",70,7,18,25,62.5,5.6,18,11,24
Brian Gionta,BUF,79,9,16,25,73.53,9.56,6,16,28
Alexander Steen,STL,67,12,13,25,67.57,8.41,24,14,28
Ryan Kesler,ANA,79,10,15,25,75.76,12.2,41,28,25
David Backes,STL,79,8,17,25,71.43,10.72,43,19,26
Evgeni Malkin,PIT,57,13,12,25,78.13,9.44,40,41,49
Troy Brouwer,STL,82,8,17,25,65.79,9.41,25,20,32
Martin Hanzal,ARI,64,9,16,25,71.43,8.57,38,17,19
Justin Abdelkader,DET,82,11,14,25,73.53,9.83,46,22,12
Kris Letang,PIT,71,8,17,25,48.08,4.98,48,51,35
Jamie McGinn,"ANA, BUF",84,13,12,25,71.43,10.27,29,14,13
Michael Frolik,CGY,64,12,13,25,71.43,9.76,18,20,20
P.K. Subban,MTL,68,4,21,25,39.68,2.53,37,79,16
Ryan O'Reilly,BUF,71,9,16,25,69.44,6.82,8,22,37
Dmitry Orlov,WSH,82,8,17,25,41.67,3.86,22,39,33
Mattias Janmark,DAL,73,12,13,25,56.82,10.6,14,34,26
Matt Cullen,PIT,82,13,11,24,80,9.57,14,20,12
Jason Chimera,WSH,82,12,12,24,70.59,10.09,16,28,12
Andrei Markov,MTL,82,1,23,24,42.11,3.14,22,67,27
Jason Pominville,MIN,75,7,17,24,61.54,9.3,4,16,21
Thomas Vanek,MIN,74,10,14,24,72.73,7.6,20,37,19
Brad Richardson,ARI,82,9,15,24,61.54,9.18,31,14,23
Drew Stafford,WPG,78,12,12,24,66.67,10.25,14,29,22
Benoit Pouliot,EDM,55,7,17,24,80,6.35,30,24,26
Bryan Little,WPG,57,12,12,24,72.73,10.56,6,20,15
Artem Anisimov,CHI,77,10,14,24,52.17,9.91,8,13,21
Mathieu Perreault,WPG,71,3,21,24,61.54,7.99,26,19,27
Nick Bonino,PIT,63,5,19,24,80,7.14,20,14,22
Zack Smith,OTT,81,16,8,24,64.86,8.82,36,21,27
Mikkel Boedker,"ARI, COL",80,10,14,24,70.59,9.56,12,20,34
Jori Lehtera,STL,79,7,17,24,52.17,6.56,32,12,21
Mattias Ekholm,NSH,82,4,20,24,41.38,5.04,26,43,21
Casey Cizikas,NYI,80,7,17,24,75,7.09,21,20,44
Cody Eakin,DAL,82,8,16,24,63.16,9.3,26,34,34
Brendan Gallagher,MTL,53,10,14,24,64.86,12.01,10,12,28
Jesper Fast,NYR,79,7,17,24,64.86,7.14,18,16,27
Tobias Rieder,ARI,82,9,15,24,70.59,13.43,4,6,20
Colton Parayko,STL,79,5,19,24,40,5.01,17,15,29
Bo Horvat,VAN,82,10,14,24,68.57,10.15,8,12,22
Nikolaj Ehlers,WPG,72,10,14,24,58.54,10.76,13,27,20
Rick Nash,NYR,60,8,15,23,65.71,10.23,24,30,35
Marc-Edouard Vlasic,S.J,67,6,17,23,41.07,3.98,12,20,9
Ryan McDonagh,NYR,73,7,16,23,34.33,4.41,10,48,26
Alex Pietrangelo,STL,73,5,18,23,44.23,6.22,6,29,30
Josh Bailey,NYI,81,6,17,23,62.16,8.51,20,40,37
Antoine Roussel,DAL,80,10,13,23,67.65,10.48,77,22,25
Tyler Johnson,T.B,69,10,13,23,57.5,10.33,16,13,14
Calle Jarnkrok,NSH,81,11,12,23,57.5,9.27,8,14,24
Oscar Lindberg,NYR,68,10,13,23,79.31,8.57,33,12,13
Devante Smith-Pelly,"MTL, N.J",64,14,9,23,82.14,7.37,16,15,7
Joakim Nordstrom,CAR,71,9,14,23,82.14,9.39,4,32,20
Aaron Ekblad,FLA,78,9,14,23,41.07,5.55,29,36,18
David Pastrnak,BOS,51,14,9,23,79.31,6.64,16,46,33
Zdeno Chara,BOS,80,6,16,22,36.67,3.44,53,74,19
Pavel Datsyuk,DET,66,6,16,22,62.86,11.49,14,21,42
Henrik Zetterberg,DET,82,9,13,22,57.89,12.51,14,32,24
Tomas Fleischmann,"CHI, MTL",76,13,9,22,64.71,9.52,26,12,31
Frans Nielsen,NYI,81,8,14,22,62.86,8.56,6,21,24
Ryan Suter,MIN,82,4,18,22,32.84,4.01,24,34,27
Keith Yandle,NYR,82,2,20,22,43.14,4.77,26,56,23
Darren Helm,DET,77,10,12,22,68.75,11.84,20,14,15
David Desharnais,MTL,65,7,15,22,75.86,6.6,10,19,24
Leo Komarov,TOR,67,10,12,22,84.62,8.31,36,13,34
Lars Eller,MTL,79,11,11,22,59.46,10.24,22,17,35
Jimmy Hayes,BOS,75,9,13,22,70.97,12.24,47,27,24
Matt Calvert,CBJ,73,9,13,22,66.67,9.48,23,9,25
Oliver Ekman-Larsson,ARI,75,8,14,22,34.92,4.69,30,25,35
Dougie Hamilton,CGY,82,6,16,22,48.89,5.35,24,49,14
Torey Krug,BOS,81,3,19,22,40,5.81,27,42,15
Mikhail Grigorenko,COL,74,5,17,22,57.89,5.83,6,16,18
Alexander Wennberg,CBJ,69,6,16,22,61.11,7.87,2,18,38
Patrick Marleau,S.J,82,12,9,21,61.76,13.55,6,44,31
Dustin Brown,L.A,82,8,13,21,75,13.9,24,26,33
Kevin Klein,NYR,69,7,14,21,42,4.02,11,39,14
Blake Comeau,COL,81,6,15,21,67.74,6.84,38,20,26
Ryan Callahan,T.B,73,7,14,21,63.64,9.87,27,18,26
Nick Foligno,CBJ,72,11,10,21,67.74,12.17,25,20,25
Nikolay Kulemin,NYI,81,9,12,21,50,8.5,18,25,21
Jake Muzzin,L.A,82,7,14,21,43.75,5.42,36,55,9
Tyler Myers,WPG,73,8,13,21,48.84,4.69,41,34,31
John Carlson,WSH,56,5,16,21,51.22,3.68,10,37,19
Evander Kane,BUF,65,13,8,21,80.77,12.5,42,21,23
Tyson Barrie,COL,78,9,12,21,36.84,4.85,16,46,26
Andrew Shaw,CHI,78,7,14,21,60,12.37,33,21,20
Ryan Strome,NYI,71,5,16,21,52.5,10.18,20,32,31
Scott Laughton,PHI,71,7,14,21,91.3,6.19,25,20,22
Johnny Boychuk,NYI,70,8,12,20,41.67,4.3,20,42,19
Shea Weber,NSH,78,4,16,20,40,4.11,17,30,8
Travis Zajac,N.J,74,5,15,20,64.52,7.75,14,4,31
Mikhail Grabovski,NYI,58,7,13,20,64.52,7.96,12,32,23
Justin Braun,S.J,80,2,18,20,37.04,3.52,28,36,29
David Perron,"ANA, PIT",71,7,13,20,62.5,10.94,42,17,20
Dale Weise,"CHI, MTL",71,10,10,20,57.14,9.2,20,15,17
Tyler Bozak,TOR,57,7,13,20,74.07,7.36,14,12,25
Nazem Kadri,TOR,76,9,11,20,60.61,16.33,55,33,44
Ryan Ellis,NSH,79,6,14,20,35.09,4.12,29,20,15
William Karlsson,CBJ,81,9,11,20,64.52,9.85,4,17,32
Tom Wilson,WSH,82,7,13,20,54.05,8.87,100,17,14
Teuvo Teravainen,CHI,78,9,11,20,76.92,8.37,16,19,28
Andrej Sustr,T.B,77,4,16,20,42.55,2.71,22,28,13
Elias Lindholm,CAR,82,7,13,20,64.52,10.77,18,24,28
Brian Campbell,FLA,82,3,16,19,27.14,2.88,24,33,17
Francois Beauchemin,COL,82,6,13,19,40.43,2.49,26,31,21
Patrick Maroon,"ANA, EDM",72,7,12,19,65.52,7.77,48,26,10
Colin Wilson,NSH,64,3,16,19,65.52,8.22,6,21,24
Anders Lee,NYI,80,6,13,19,65.52,11.99,32,19,31
Riley Sheahan,DET,81,9,10,19,65.52,9.26,12,18,17
Ryan Nugent-Hopkins,EDM,55,6,13,19,59.38,6.02,16,25,37
Sven Baertschi,VAN,69,12,7,19,76,8,8,18,24
J.T. Brown,T.B,78,7,12,19,55.88,9.76,22,11,18
Cody Ceci,OTT,75,8,11,19,48.72,4.04,18,33,12
Shayne Gostisbehere,PHI,64,7,12,19,42.22,3.44,18,42,24
Jordan Martinook,ARI,81,7,12,19,73.08,9.26,16,12,37
Trevor Daley,"CHI, PIT",82,5,13,18,34.62,5.49,24,24,14
Duncan Keith,CHI,67,4,14,18,43.9,3.1,22,32,17
Cal Clutterbuck,NYI,77,11,7,18,64.29,5.2,16,17,12
Viktor Stalberg,NYR,75,8,10,18,64.29,10.8,18,21,20
Kyle Turris,OTT,57,9,9,18,64.29,8,18,21,14
Drew Doughty,L.A,82,4,14,18,29.51,4.63,34,61,9
Michael Stone,ARI,75,5,13,18,43.9,3.97,38,12,13
Nick Leddy,NYI,81,2,16,18,33.33,3.83,19,41,34
Andrej Nestrasil,CAR,55,5,13,18,64.29,8.48,6,15,28
Jason Zucker,MIN,71,11,7,18,58.06,14.49,18,20,37
Brett Connolly,BOS,71,5,13,18,48.65,7.93,14,19,11
Morgan Rielly,TOR,82,4,14,18,39.13,5.35,20,57,24
Rasmus Ristolainen,BUF,82,4,14,18,40.91,4.2,17,33,14
Melker Karlsson,S.J,65,9,9,18,78.26,9.12,10,12,19
Marian Hossa,CHI,64,6,11,17,68,11.73,18,16,36
Johnny Oduya,DAL,82,3,14,17,36.96,2.37,18,30,20
Valtteri Filppula,T.B,76,5,12,17,62.96,5.03,34,27,23
John Mitchell,COL,71,8,9,17,77.27,7.81,38,13,24
David Jones,"CGY, MIN",75,10,7,17,54.84,9.3,10,8,14
Anton Stralman,T.B,73,7,10,17,41.46,4.26,14,21,22
Erik Johnson,COL,73,6,11,17,42.5,5.25,30,33,24
Logan Couture,S.J,52,9,8,17,65.38,7.48,16,31,31
Colton Sceviour,DAL,71,10,7,17,60.71,9.08,12,22,25
Nick Holden,COL,82,5,12,17,28.81,3.42,18,21,17
Marco Scandella,MIN,73,3,14,17,36.96,4.43,18,34,18
Matt Martin,NYI,80,9,8,17,51.52,7.57,79,14,8
Marcus Foligno,BUF,75,6,11,17,51.52,5.96,37,17,24
David Savard,CBJ,65,3,14,17,39.53,3.14,18,11,10
Nick Bjugstad,FLA,67,9,8,17,58.62,9.83,16,16,18
Alexander Burmistrov,WPG,81,5,12,17,65.38,7.88,28,40,29
Kevan Miller,BOS,71,5,12,17,34,2.22,32,28,10
Shane Prince,"NYI, OTT",62,6,11,17,58.62,6.46,10,24,18
Olli Maatta,PIT,67,6,11,17,28.33,3.94,14,29,6
Seth Jones,"CBJ, NSH",81,2,15,17,40.48,4.94,20,54,23
Antoine Vermette,ARI,76,8,8,16,48.48,7.34,65,19,20
Jay Bouwmeester,STL,72,2,14,16,37.21,3.56,16,26,7
Roman Polak,"S.J, TOR",79,1,15,16,42.11,3.93,43,34,9
Daniel Winnik,"TOR, WSH",76,6,10,16,64,6.98,22,8,29
Karl Alzner,WSH,82,3,13,16,33.33,2.99,20,32,22
James van Riemsdyk,TOR,40,8,8,16,69.57,7.79,2,11,28
Thomas Hickey,NYI,62,4,12,16,42.11,2.54,24,36,14
Jay Beagle,WSH,57,8,8,16,84.21,7.31,22,12,13
Travis Hamonic,NYI,72,4,12,16,30.77,3.91,14,48,32
Brandon Pirri,"ANA, FLA",61,9,7,16,69.57,7.03,18,23,19
Alex Petrovic,FLA,66,2,14,16,36.36,1.92,38,20,8
Micheal Ferland,CGY,71,3,13,16,59.26,10.07,32,24,36
Adam Lowry,WPG,74,7,9,16,66.67,7.45,39,15,24
Luke Glendening,DET,81,5,11,16,57.14,8.35,26,8,13
Nail Yakupov,EDM,60,7,9,16,66.67,8.58,14,32,23
Phillip Di Giuseppe,CAR,41,6,10,16,66.67,5.43,12,5,16
Ben Hutton,VAN,75,1,15,16,51.61,2.49,12,46,25
Ron Hainsey,CAR,81,3,12,15,30,4.19,31,43,23
Brad Boyes,TOR,60,4,11,15,75,5.56,8,14,21
Paul Martin,S.J,78,1,14,15,28.3,1.42,16,44,26
John-Michael Liles,"BOS, CAR",81,4,11,15,34.88,3.31,16,40,14
Jonathan Ericsson,DET,71,3,12,15,36.59,2.72,38,48,9
Dion Phaneuf,"OTT, TOR",71,3,12,15,42.86,3.25,50,23,16
Brent Seabrook,CHI,81,6,9,15,34.09,4.15,24,71,15
Mike Santorelli,ANA,70,8,7,15,83.33,6.67,8,14,5
Marc Staal,NYR,77,2,13,15,34.88,2.96,30,47,17
Riley Nash,CAR,64,7,8,15,75,7.26,12,12,41
Jason Demers,DAL,62,2,13,15,41.67,2.96,28,36,23
Luke Schenn,"L.A, PHI",72,3,12,15,33.33,1.87,35,46,11
Jake Gardiner,TOR,79,5,10,15,35.71,4.47,20,61,30
Matt Bartkowski,VAN,80,5,10,15,37.5,2.96,36,38,15
Justin Faulk,CAR,64,4,11,15,38.46,3.75,16,31,35
Matt Read,PHI,79,6,9,15,60,9.54,18,15,23
Justin Fontaine,MIN,60,5,10,15,55.56,3.9,16,12,10
Nathan Beaulieu,MTL,64,1,14,15,44.12,2.47,28,48,13
Chris Tierney,S.J,79,3,12,15,68.18,8.63,18,34,26
Damon Severson,N.J,72,1,14,15,40.54,3.55,22,28,10
Danny DeKeyser,DET,78,6,9,15,36.59,2.58,30,31,15
Radim Vrbata,VAN,63,8,6,14,70,8.14,12,21,15
Marian Gaborik,L.A,54,8,6,14,73.68,9.54,12,13,12
Dominic Moore,NYR,80,6,8,14,58.33,6.37,18,33,16
Matt Stajan,CGY,80,4,10,14,53.85,5.26,44,31,30
Brian Boyle,T.B,76,8,6,14,56,7.67,28,12,12
Toby Enstrom,WPG,72,2,12,14,29.17,1.6,34,32,5
Torrey Mitchell,MTL,71,10,4,14,70,5.92,45,25,20
Dan Girardi,NYR,74,1,13,14,28.57,3.23,18,50,19
Chris Stewart,ANA,56,6,8,14,63.64,5.15,42,17,12
Brian Dumoulin,PIT,79,0,14,14,27.45,4,12,32,27
Sami Vatanen,ANA,71,5,9,14,38.89,3.31,18,41,26
Emerson Etem,"NYR, VAN",58,6,8,14,58.33,8.3,9,20,19
Josh Manson,ANA,71,4,10,14,35,4.61,36,38,13
Matt Dumba,MIN,81,4,10,14,28.57,3.86,22,40,13
Zemgus Girgensons,BUF,71,5,9,14,60.87,7.16,14,16,13
Nate Schmidt,WSH,72,1,13,14,32.56,4.08,11,37,26
Sven Andrighetto,MTL,44,6,8,14,58.33,5.11,2,11,7
Jared McCann,VAN,69,8,6,14,58.33,6.24,14,23,28
Noah Hanifin,CAR,79,3,11,14,33.33,3.23,16,39,31
Mike Fisher,NSH,70,7,6,13,50,6.08,23,10,15
Shawn Horcoff,ANA,59,5,8,13,68.42,6.11,22,28,8
Mark Streit,PHI,62,4,9,13,37.14,3.34,14,31,11
Vernon Fiddler,DAL,82,6,7,13,59.09,6.81,22,14,16
Alexandre Burrows,VAN,79,5,8,13,72.22,7.95,14,11,25
Matt Moulson,BUF,81,5,8,13,56.52,7.78,14,12,18
Lauri Korpikoski,EDM,71,5,8,13,81.25,6.57,6,10,11
Jack Skille,COL,74,7,6,13,72.22,7.78,11,8,15
Derek Dorsett,VAN,71,4,9,13,59.09,6.92,89,14,10
Michael Grabner,TOR,80,6,7,13,59.09,7.37,8,17,38
Sam Gagner,PHI,53,6,7,13,59.09,4.73,6,10,18
Alec Martinez,L.A,78,5,8,13,29.55,3.68,28,43,4
Tommy Wingels,S.J,68,6,7,13,76.47,9.66,24,24,18
Calvin de Haan,NYI,72,2,11,13,28.26,2.6,16,51,13
Peter Holland,TOR,65,4,9,13,81.25,8.82,26,14,23
Radko Gudas,PHI,76,5,8,13,34.21,3.89,66,45,10
Jaden Schwartz,STL,33,5,8,13,72.22,3.99,6,16,14
Ryan Garbutt,"ANA, CHI",80,6,7,13,61.9,9.27,28,18,9
Dmitrij Jaskin,STL,65,4,9,13,56.52,8.53,22,7,21
Matt Nieto,S.J,67,5,8,13,68.42,7.77,8,23,15
Adam Larsson,N.J,82,1,12,13,31.71,2.8,39,20,19
Connor Murphy,ARI,78,4,9,13,26.53,3.15,42,21,16
Jacob Trouba,WPG,81,5,8,13,23.64,4.83,35,52,20
Erik Gustafsson,CHI,41,0,13,13,48.15,1.38,4,12,7
Andrew Copp,WPG,77,7,6,13,68.42,4.64,2,14,8
Viktor Arvidsson,NSH,56,6,7,13,68.42,8.08,21,17,15
Chris Neil,OTT,80,4,8,12,54.55,7.11,70,12,11
Derek MacKenzie,FLA,64,6,6,12,75,5.05,25,12,15
Marek Zidlicky,NYI,53,4,8,12,44.44,1.65,16,18,5
Brooks Laich,"TOR, WSH",81,2,10,12,66.67,7.18,8,11,25
Josh Gorges,BUF,77,2,10,12,32.43,2.17,40,15,13
Mike Green,DET,74,2,10,12,29.27,3.35,28,33,14
Cody McLeod,COL,82,7,5,12,52.17,6.24,75,2,6
Kris Russell,"CGY, DAL",62,1,11,12,23.08,2.68,8,39,19
Niklas Hjalmarsson,CHI,81,2,10,12,26.09,3.53,22,52,24
Paul Byron,MTL,62,7,5,12,70.59,4.57,7,14,12
Brendan Smith,DET,63,2,10,12,30.77,3.29,41,30,9
Dwight King,L.A,47,6,6,12,75,4.69,22,6,4
Jared Spurgeon,MIN,77,6,6,12,21.82,3.45,14,17,15
Brayden McNabb,L.A,81,2,10,12,25.53,3.48,66,46,16
Nicolas Deslauriers,BUF,70,6,6,12,70.59,6.13,15,8,14
Kevin Connauton,"ARI, CBJ",65,5,7,12,31.58,2.62,43,10,14
Johan Larsson,BUF,74,8,4,12,48,8.46,21,12,19
Tom Kuhnhackl,PIT,42,3,9,12,70.59,4.82,4,6,4
Jyrki Jokipakka,"CGY, DAL",58,2,10,12,34.29,1.45,10,33,13
Reid Boucher,N.J,39,6,6,12,92.31,5.21,6,8,9
Ryan Murray,CBJ,82,3,9,12,21.05,2.29,24,27,12
Jaccob Slavin,CAR,63,2,10,12,32.43,2.97,4,22,42
