Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Matt Duchene,"CBJ, OTT",73,22,23,45,72.58,13.28,0,51,45
Colton Sceviour,FLA,59,4,9,13,56.52,7.65,0,20,12
Chandler Stephenson,WSH,64,4,6,10,71.43,3.11,0,10,15
Valeri Nichushkin,DAL,57,0,9,9,50,4.93,0,30,24
Ryan Spooner,"EDM, NYR, VAN",52,3,5,8,72.73,4.07,0,18,10
Trevor Moore,TOR,25,2,6,8,88.89,2.15,0,9,8
Dylan Sikura,CHI,33,0,7,7,43.75,3.24,0,7,23
Max Comtois,ANA,10,2,5,7,87.5,0.89,0,4,2
Martin Frk,DET,30,0,5,5,71.43,2.16,0,10,2
Paul LaDue,L.A,33,2,3,5,31.25,1.13,0,9,2
Ryan Graves,COL,26,3,2,5,38.46,0.94,0,11,5
Corban Knight,PHI,23,1,3,4,100,1.17,0,1,4
Brendan Gaunce,VAN,3,1,2,3,75,0.09,0,1,0
Gemel Smith,"BOS, DAL",17,2,1,3,75,1,0,2,5
Nic Petan,"TOR, WPG",18,1,2,3,75,0.91,0,3,4
Denis Gurianov,DAL,21,1,2,3,100,1.59,0,4,1
Nathan Bastian,N.J,7,3,0,3,100,1.03,0,0,1
Ryan Poehling,MTL,1,3,0,3,100,0.22,0,0,0
Max Veronneau,OTT,12,1,2,3,100,0.99,0,3,1
Chris Butler,STL,13,1,1,2,28.57,0.38,0,4,3
Tom Pyatt,OTT,37,0,2,2,50,2.51,0,8,4
Andrew Agozzino,COL,11,1,1,2,66.67,0.58,0,4,0
Victor Olofsson,BUF,6,0,2,2,50,1.11,0,1,1
C.J. Smith,BUF,11,2,0,2,66.67,1.21,0,3,2
Adam Johnson,PIT,6,0,2,2,66.67,0.23,0,1,2
Tomas Plekanec,MTL,3,1,0,1,50,0.71,0,0,0
Matt Beleskey,NYR,4,1,0,1,100,0.15,0,2,0
Eric Tangradi,N.J,6,0,1,1,100,0.53,0,1,3
Zac Dalpe,CBJ,1,0,1,1,100,0.03,0,0,0
Matt Donovan,NSH,2,0,1,1,100,0.02,0,0,0
Matt Bartkowski,MIN,2,1,0,1,50,0.03,0,0,0
Stefan Elliott,OTT,3,0,1,1,100,0.04,0,1,0
Justin Dowling,DAL,11,0,1,1,50,1.06,0,2,5
Brandon Davidson,CHI,10,0,1,1,33.33,0.35,5,2,2
Kyle Rau,MIN,6,0,1,1,100,0.49,0,1,1
Cameron Schilling,WPG,4,0,1,1,50,0.04,0,3,0
Jordan Schmaltz,STL,20,0,1,1,20,0.37,0,3,1
Dominic Toninato,COL,2,1,0,1,100,0.26,0,1,0
Dillon Heatherington,DAL,5,0,1,1,20,0.33,0,3,0
Daniel Carr,VGK,6,1,0,1,50,0.9,0,2,3
Sonny Milano,CBJ,8,1,0,1,33.33,0.47,0,1,0
Dante Fabbro,NSH,4,1,0,1,100,0.08,0,1,2
Ben Gleason,DAL,4,0,1,1,50,0.02,0,2,3
Jacob MacDonald,FLA,2,1,0,1,100,0.06,0,2,0
Zack MacEwen,VAN,4,0,1,1,100,0.35,0,4,0
Kailer Yamamoto,EDM,17,1,0,1,25,1.38,0,6,3
Jaret Anderson-Dolan,L.A,5,0,1,1,50,0.29,0,2,2
Kristian Vesalainen,WPG,5,0,1,1,100,0.01,0,2,0
Eeli Tolvanen,NSH,4,1,0,1,50,0.36,0,1,3
Alexandre Texier,CBJ,2,1,0,1,33.33,0.63,0,2,0
Calle Rosen,TOR,4,1,0,1,25,0.09,0,3,0
Daniel Brickley,L.A,4,0,1,1,50,0.03,0,2,0
Jimmy Schuldt,VGK,1,0,1,1,50,0.03,0,1,0
Derek MacKenzie,FLA,1,0,0,0,-,0,0,0,0
Chris Thorburn,STL,1,0,0,0,-,0,0,0,0
Patrick Eaves,ANA,7,0,0,0,0,0.9,0,3,1
Lee Stempniak,BOS,2,0,0,0,-,0,0,1,3
Adam Cracknell,ANA,2,0,0,0,-,0.19,0,1,0
Stephen Gionta,NYI,5,0,0,0,-,0.44,0,1,0
Mark Letestu,CBJ,2,0,0,0,-,0.02,0,0,0
Paul Carey,"BOS, OTT",7,0,0,0,0,0.2,0,4,3
Anthony Peluso,CGY,4,0,0,0,-,0.02,5,1,2
Cameron Gaunce,T.B,2,0,0,0,0,0.09,0,2,2
Mark Alt,COL,2,0,0,0,-,0.04,0,0,0
Steven Fogarty,NYR,10,0,0,0,0,0.39,0,3,4
Reid Boucher,VAN,1,0,0,0,-,0,0,0,0
Adam Clendening,CBJ,4,0,0,0,0,0.07,0,0,2
Ryan Murphy,"MIN, N.J",3,0,0,0,0,0.02,0,0,1
Matt Tennyson,BUF,4,0,0,0,0,0.07,0,3,0
Trevor Carrick,CAR,1,0,0,0,-,0.01,5,0,0
Kevin Roy,ANA,3,0,0,0,-,0.27,0,2,1
Danny O'Regan,BUF,1,0,0,0,-,0.31,0,0,0
Anton Blidh,BOS,1,0,0,0,-,0,0,0,1
Tyrell Goulbourne,PHI,2,0,0,0,-,0.14,0,0,1
Laurent Dauphin,ARI,1,0,0,0,-,0.51,0,0,0
Curtis Lazar,CGY,1,0,0,0,-,0,0,0,0
Kerby Rychel,CGY,2,0,0,0,-,0.01,0,0,0
Dakota Mermis,ARI,1,0,0,0,0,0,0,0,0
Andreas Englund,OTT,3,0,0,0,-,0.01,10,2,0
Josh Jacobs,N.J,1,0,0,0,-,0.02,0,3,0
Nicolas Aube-Kubel,PHI,9,0,0,0,0,0.11,0,0,2
Dominic Turgeon,DET,4,0,0,0,-,0.07,0,0,1
Louie Belpedio,MIN,2,0,0,0,0,0,0,0,0
Mark Friedman,PHI,1,0,0,0,-,0.01,0,0,0
Chase De Leo,ANA,1,0,0,0,0,0.25,0,0,0
Nelson Nogier,WPG,1,0,0,0,-,0.02,0,0,0
Anton Lindholm,COL,2,0,0,0,-,0.03,0,0,0
Joe Hicketts,DET,11,0,0,0,0,0.5,0,6,2
Jack Rodewald,OTT,6,0,0,0,-,0.36,0,0,0
Nikita Soshnikov,STL,5,0,0,0,0,0.11,0,1,0
Anthony Richard,NSH,1,0,0,0,-,0,0,0,0
Jakub Zboril,BOS,2,0,0,0,-,0.07,0,2,0
Cooper Marody,EDM,6,0,0,0,-,0.53,0,0,5
Guillaume Brisebois,VAN,8,0,0,0,0,0.17,0,7,2
Kyle Capobianco,ARI,2,0,0,0,-,0.02,0,0,0
Zach Senyshyn,BOS,2,0,0,0,-,0.49,0,1,0
William Borgen,BUF,4,0,0,0,-,0.04,0,0,0
Kole Sherwood,CBJ,2,0,0,0,-,0.09,0,0,1
Ryan Lomberg,CGY,4,0,0,0,-,0.11,0,0,1
Nick Lappin,N.J,11,0,0,0,0,0.57,0,2,3
Brandon Gignac,N.J,1,0,0,0,-,0.02,0,2,0
Timothy Gettinger,NYR,4,0,0,0,0,0.18,0,3,0
Trent Frederic,BOS,15,0,0,0,-,1.56,5,2,5
Logan Brown,OTT,2,0,0,0,-,0.27,0,0,1
Vitaly Abramov,OTT,1,0,0,0,-,0.21,0,2,3
Anthony Greco,FLA,1,0,0,0,-,0.1,0,0,0
Rem Pitlick,NSH,1,0,0,0,-,0,0,0,0
Maxim Mamin,FLA,7,0,0,0,-,0.5,5,0,1
Dylan Gambrell,S.J,8,0,0,0,0,0.39,0,0,5
Urho Vaakanainen,BOS,2,0,0,0,-,0.02,0,1,0
Erik Brannstrom,OTT,2,0,0,0,-,0.07,0,4,1
Justin Kloos,ANA,1,0,0,0,-,0.17,0,0,1
Eric Robinson,CBJ,13,0,0,0,0,1.82,0,5,1
Sheldon Rempal,L.A,7,0,0,0,0,0.24,0,4,0
Filip Zadina,DET,9,0,0,0,0,0.6,0,5,3
Jacob Nilsson,CHI,2,0,0,0,-,0,0,1,1
Logan O'Connor,COL,5,0,0,0,-,0.06,0,0,1
Josh Teves,VAN,1,0,0,0,-,0,0,0,1
Ryan Kuffner,DET,10,0,0,0,-,0.76,0,1,2
Brady Keeper,FLA,1,0,0,0,0,0.06,0,0,0
Nico Sturm,MIN,2,0,0,0,-,0.51,0,0,0
Brogan Rafferty,VAN,2,0,0,0,-,0.05,0,1,1
Blake Lizotte,L.A,1,0,0,0,-,0.12,0,0,1
Paul Byron,MTL,56,11,11,22,66.67,7.89,7,24,9
Andrew Copp,WPG,69,9,13,22,62.86,8.94,2,25,18
Ondrej Kase,ANA,30,10,5,15,71.43,7.09,2,13,13
Trevor van Riemsdyk,CAR,78,3,11,14,38.89,3.99,2,32,22
Tyler Ennis,TOR,51,10,3,13,86.67,5.4,2,15,18
Devon Toews,NYI,48,3,10,13,46.43,3.17,2,23,12
Henrik Borgstrom,FLA,50,5,6,11,55,3.22,2,24,21
Tim Schaller,VAN,47,3,7,10,58.82,4.42,2,7,12
Mason Appleton,WPG,36,3,7,10,58.82,2.34,2,5,4
Tyler Pitlick,DAL,47,6,2,8,57.14,5.63,2,16,11
Matthew Peca,MTL,39,3,5,8,133.33,2.42,2,12,7
Sven Baertschi,VAN,26,6,1,7,63.64,3.65,2,6,8
Michael Dal Colle,NYI,28,3,4,7,53.85,3.18,2,11,7
Jakob Forsbacka Karlsson,BOS,28,2,5,7,77.78,2.21,2,4,9
Markus Hannikainen,CBJ,44,4,3,7,77.78,4.72,2,1,12
Troy Terry,ANA,32,2,5,7,46.67,2.46,2,7,11
Robby Fabbri,STL,32,2,4,6,40,3.48,2,4,4
Christian Dvorak,ARI,20,1,5,6,66.67,3,2,12,11
Josh Currie,EDM,21,2,3,5,71.43,1.51,2,2,2
Noah Juulsen,MTL,21,1,4,5,27.78,0.57,2,15,5
Dillon Dube,CGY,25,1,4,5,55.56,2.41,2,6,6
