Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Alexandre Fortin,CHI,24,2,3,5,71.43,2.7,2,3,8
Karson Kuhlman,BOS,11,3,2,5,55.56,0.88,2,2,3
Taro Hirose,DET,10,1,4,5,83.33,0.82,2,6,4
Brandon Sutter,VAN,26,2,2,4,50,2.1,2,4,6
Connor Brickley,NYR,14,1,3,4,80,1.75,2,5,3
Fredrik Claesson,NYR,37,2,2,4,23.53,1.64,7,27,6
Frederick Gaudreau,NSH,55,3,1,4,30.77,4.3,2,9,13
Sammy Blais,STL,32,2,2,4,40,2.66,4,11,11
Sami Niku,WPG,30,1,3,4,28.57,1,2,11,3
Ilya Lyubushkin,ARI,41,0,4,4,26.67,1.27,7,22,6
Ben Street,ANA,21,3,0,3,100,1.29,2,4,2
Scott Wilson,BUF,15,0,3,3,100,1.68,4,4,3
Xavier Ouellet,MTL,19,0,3,3,37.5,1.35,7,9,5
Jonny Brodzinski,L.A,13,2,1,3,60,1.55,2,0,3
Valentin Zykov,"CAR, EDM, VGK",28,2,1,3,75,2.88,2,15,8
Anders Bjork,BOS,20,1,2,3,75,1.36,2,9,11
Joseph Gambardella,EDM,15,0,3,3,50,0.68,2,2,5
Matt Hunwick,BUF,14,0,2,2,66.67,0.39,2,3,2
Darren Archibald,"OTT, VAN",12,1,1,2,66.67,0.6,7,3,1
Tomas Hyka,VGK,17,1,1,2,28.57,1.61,2,4,9
Tyler Lewington,WSH,2,1,1,2,66.67,0.09,2,3,0
Nick Paul,OTT,20,1,1,2,50,2.68,2,3,5
Mikhail Vorobyev,PHI,15,1,1,2,33.33,0.94,2,4,4
Philippe Myers,PHI,21,1,1,2,22.22,0.82,2,12,6
Martin Necas,CAR,7,1,1,2,100,0.2,2,6,2
Isac Lundestrom,ANA,15,0,2,2,33.33,0.9,2,5,1
Erik Condra,DAL,6,1,0,1,100,0.48,2,5,0
Karl Alzner,MTL,9,0,1,1,25,0.15,2,6,1
Luca Sbisa,NYI,9,0,1,1,33.33,0.16,2,3,0
Brian Lashoff,DET,4,0,1,1,50,0.03,2,0,0
Wade Megan,DET,11,0,1,1,50,1.14,2,3,2
Justin Holl,TOR,11,0,1,1,16.67,0.15,2,6,2
Sam Carrick,ANA,6,0,1,1,100,0.41,2,1,1
Matt Read,MIN,12,1,0,1,20,0.8,2,4,3
Ashton Sautner,VAN,17,0,1,1,14.29,0.64,2,10,3
Remi Elie,BUF,16,0,1,1,100,0.9,2,3,2
Justin Bailey,PHI,11,0,1,1,50,0.38,2,2,3
Nathan Walker,WSH,3,0,1,1,100,0.17,2,1,0
Haydn Fleury,CAR,20,0,1,1,7.69,0.67,2,6,3
Nikita Scherbak,L.A,8,1,0,1,50,1.08,2,1,0
Michael Bunting,ARI,5,1,0,1,100,0.63,2,0,0
Rourke Chartier,S.J,13,1,0,1,50,1.42,2,1,0
Jacob Middleton,S.J,3,0,1,1,50,0.02,2,1,1
Jeremy Lauzon,BOS,16,1,0,1,33.33,0.33,2,4,4
Filip Chlapik,OTT,5,1,0,1,50,0.85,2,2,2
Tanner Fritz,NYI,8,0,1,1,100,0.77,2,1,1
Kalle Kossila,ANA,8,1,0,1,100,0.53,2,2,0
Libor Hajek,NYR,5,1,0,1,33.33,0.27,2,4,4
Quinn Hughes,VAN,5,0,1,1,50,0.12,2,2,2
Brad Malone,EDM,16,0,0,0,0,0.95,2,1,0
Cody Goloubef,OTT,5,0,0,0,0,0.1,2,2,0
Nate Prosser,MIN,15,0,0,0,0,0.18,2,1,1
Dylan McIlrath,DET,7,0,0,0,0,0.06,2,2,1
Zach Trotman,PIT,13,0,0,0,0,0.35,2,5,2
Erik Burgdoerfer,OTT,4,0,0,0,-,0.04,2,2,0
Cory Conacher,T.B,1,0,0,0,-,0.02,2,1,0
Colin Blackwell,NSH,6,0,0,0,-,0.63,2,3,2
Matt Puempel,DET,8,0,0,0,-,0.81,2,2,0
John Gilmour,NYR,5,0,0,0,0,0.27,2,3,1
Marko Dano,COL,8,0,0,0,0,0.3,7,2,3
Samuel Morin,PHI,5,0,0,0,0,0.1,2,5,1
Joel Hanley,DAL,16,0,0,0,0,0.44,2,9,3
Jake Chelios,DET,5,0,0,0,0,0.14,2,4,1
Nicolas Roy,CAR,6,0,0,0,-,0.12,2,1,3
Dennis Gilbert,CHI,1,0,0,0,-,0,2,0,0
Gabriel Carlsson,CBJ,1,0,0,0,-,0.01,2,0,0
Colton White,N.J,3,0,0,0,0,0.01,2,1,0
Riley Stillman,FLA,1,0,0,0,0,0.01,2,1,0
Jake Bean,CAR,2,0,0,0,-,0.02,2,0,1
Patrick Russell,EDM,6,0,0,0,-,0.81,2,2,3
Jakub Jerabek,STL,1,0,0,0,-,0.02,2,0,0
Evan Bouchard,EDM,7,0,0,0,0,0.36,2,2,3
Jason Pominville,BUF,73,15,13,28,68.29,9.2,4,19,13
Mikkel Boedker,OTT,71,5,22,27,69.23,6.37,4,21,25
Anthony Cirelli,T.B,82,11,15,26,57.78,10.29,24,13,29
Jesper Bratt,N.J,51,6,17,23,82.14,5.74,4,16,15
Rickard Rakell,ANA,69,9,13,22,61.11,11.25,19,50,31
Devin Shore,"ANA, DAL",76,6,15,21,70,6.67,4,17,22
John Klingberg,DAL,64,4,15,19,41.3,4.08,4,66,21
Markus Nutivaara,CBJ,80,5,13,18,33.33,4.38,4,23,23
Josh Archibald,ARI,68,9,8,17,58.62,7.68,4,8,13
Jack Roslovic,WPG,77,4,13,17,62.96,4.54,4,18,22
Samuel Girard,COL,82,4,13,17,28.81,4.03,4,39,24
Anton Stralman,T.B,47,2,13,15,37.5,1.88,4,15,20
Alexander Wennberg,CBJ,75,0,15,15,46.88,4.6,4,23,24
Ryan Donato,"BOS, MIN",56,6,9,15,78.95,8.09,6,15,26
Trevor Lewis,L.A,44,3,9,12,66.67,5.93,9,12,10
Jean-Gabriel Pageau,OTT,39,4,8,12,85.71,5.69,4,20,17
Nick Schmaltz,"ARI, CHI",40,1,10,11,64.71,3.98,4,21,32
Ty Rattie,EDM,50,4,6,10,62.5,7.4,4,11,21
Christian Djoos,WSH,45,1,9,10,35.71,1.26,4,21,9
Justin Schultz,PIT,29,1,8,9,47.37,1.5,4,23,4
Mirco Mueller,N.J,53,1,8,9,36,1.32,9,33,17
Matt Luff,L.A,33,6,3,9,69.23,3.36,4,12,4
Christoffer Ehn,DET,60,2,6,8,66.67,3.47,4,14,5
Antti Suomela,S.J,27,3,5,8,100,4.98,4,7,5
Sam Steel,ANA,22,4,3,7,58.33,1.88,4,8,7
Egor Yakovlev,N.J,25,2,5,7,50,1.23,4,18,3
Jamie McGinn,FLA,19,3,3,6,85.71,1.91,4,4,4
Michael Grabner,ARI,41,2,4,6,60,5.36,4,16,24
Casey Nelson,BUF,38,1,5,6,30,1.1,4,18,5
Drake Batherson,OTT,20,1,5,6,60,1.05,4,9,6
Carl Dahlstrom,CHI,38,0,5,5,14.71,1.09,4,26,8
Alan Quine,CGY,13,2,2,4,100,0.67,4,5,3
Peter Cehlarik,BOS,20,2,2,4,57.14,3.06,4,4,13
Carl Grundstrom,L.A,15,4,0,4,66.67,3.39,4,3,8
Matt Hendricks,"MIN, WPG",26,0,3,3,60,1.06,9,9,3
Patrik Berglund,BUF,23,1,2,3,75,2.2,4,4,4
Kevin Gravel,EDM,36,0,3,3,18.75,1.28,4,16,7
Jordan Kyrou,STL,16,1,2,3,75,1.03,4,3,3
Alexander Nylander,BUF,12,1,2,3,75,0.94,4,4,1
Luke Schenn,"ANA, VAN",26,0,2,2,28.57,0.96,9,9,2
Jordan Nolan,STL,14,0,2,2,28.57,0.86,4,0,1
Chad Ruhwedel,PIT,18,1,1,2,33.33,0.56,4,10,7
Joshua Ho-Sang,NYI,10,1,1,2,66.67,0.71,4,4,3
Josh Mahura,ANA,17,1,1,2,33.33,0.59,4,8,6
Martin Hanzal,DAL,7,0,1,1,50,0.44,4,1,2
Mark Barberio,COL,12,1,0,1,25,0.37,4,8,2
Max McCormick,OTT,14,1,0,1,100,1.09,4,3,1
Kurtis MacDermid,L.A,11,0,1,1,25,0.37,4,12,0
John Quenneville,N.J,19,1,0,1,16.67,1.22,4,3,4
Brendan Guhle,"ANA, BUF",8,0,1,1,50,0.8,4,0,1
Alex Formenton,OTT,9,1,0,1,33.33,1.45,4,5,4
Joel L'Esperance,DAL,18,1,0,1,100,2.2,4,7,6
Marc Methot,DAL,9,0,0,0,0,0.11,4,2,0
David Schlemko,MTL,18,0,0,0,0,0.56,4,15,2
Justin Falk,OTT,10,0,0,0,0,0.22,4,2,1
Jason Garrison,EDM,17,0,0,0,0,0.35,4,5,2
Joseph Blandisi,"ANA, PIT",9,0,0,0,0,0.78,4,0,3
Andrej Sustr,ANA,5,0,0,0,0,0.1,4,0,0
Luke Johnson,CHI,15,0,0,0,0,1.28,4,1,6
Kevin Stenlund,CBJ,4,0,0,0,-,0.18,4,1,3
Ryan Lindgren,NYR,5,0,0,0,0,0.37,6,2,0
Janne Kuokkanen,CAR,7,0,0,0,0,0.36,4,0,2
Libor Sulak,DET,6,0,0,0,0,0.3,4,9,2
Aleksander Barkov,FLA,82,18,30,48,68.57,13.26,6,46,75
Evgenii Dadonov,FLA,82,16,28,44,69.84,13.93,6,43,43
Alex DeBrincat,CHI,82,24,20,44,66.67,12.68,6,41,44
Ryan O'Reilly,STL,82,18,25,43,70.49,15.54,6,27,68
Alex Tuch,VGK,74,14,28,42,75,12.51,6,40,68
Gustav Nyquist,"DET, S.J",81,16,25,41,68.33,13.36,6,61,39
Teuvo Teravainen,CAR,82,11,29,40,74.07,9.88,6,49,44
Vladimir Tarasenko,STL,76,19,18,37,74,16.3,6,25,29
Dominik Kahun,CHI,82,11,22,33,64.71,10.13,6,23,31
Joonas Donskoi,S.J,80,13,19,32,61.54,11.53,6,36,22
Oliver Bjorkstrand,CBJ,77,19,13,32,78.05,10.92,6,13,30
Jaden Schwartz,STL,69,7,22,29,74.36,11.39,6,24,41
Nico Hischier,N.J,69,11,17,28,62.22,11.28,6,25,27
Nikolaj Ehlers,WPG,62,16,11,27,72.97,10.46,6,17,28
Anthony Beauvillier,NYI,81,17,8,25,59.52,13.53,6,26,33
Ryan Murray,CBJ,56,0,24,24,41.38,3.22,6,25,18
Pavel Buchnevich,NYR,64,11,11,22,68.75,8.77,11,35,25
Ilya Kovalchuk,L.A,64,9,12,21,80.77,7.34,6,34,19
Luke Glendening,DET,78,9,11,20,48.78,9.66,6,20,16
Travis Boyd,WSH,53,5,13,18,69.23,3.86,6,11,11
Carter Rowney,ANA,62,5,13,18,94.74,5.25,6,23,17
Josh Leivo,"TOR, VAN",76,11,6,17,47.22,9.63,11,24,34
Magnus Paajarvi,OTT,80,8,7,15,62.5,8.3,6,15,16
Sven Andrighetto,COL,64,6,9,15,62.5,5.62,6,18,22
Austin Czarnik,CGY,54,5,9,14,63.64,5.52,6,12,23
Filip Chytil,NYR,75,6,8,14,63.64,11.88,6,42,25
Rocco Grimaldi,NSH,53,5,8,13,92.86,6.27,6,15,27
Ryan Carpenter,VGK,68,3,10,13,52,8.07,6,14,26
Andrew Mangiapane,CGY,44,8,5,13,59.09,5.67,6,11,16
David Backes,BOS,70,5,7,12,57.14,7.4,21,21,32
Brandon Pirri,VGK,31,9,3,12,57.14,5.88,6,9,12
Jordan Oesterle,ARI,71,3,9,12,30,2.58,6,48,20
Nathan Beaulieu,"BUF, WPG",48,3,8,11,31.43,1.76,16,20,7
Pierre-Edouard Bellemare,VGK,76,4,7,11,47.83,8.79,6,18,29
Michael Amadio,L.A,43,6,5,11,57.89,3.44,6,12,18
Chris Kunitz,CHI,56,5,5,10,66.67,4.34,11,18,13
Victor Mete,MTL,71,0,10,10,20,4.04,6,53,9
Lukas Radil,S.J,36,6,4,10,58.82,4.69,6,9,14
Michael Del Zotto,"ANA, STL, VAN",42,1,8,9,36,2.3,6,20,6
Tobias Rieder,EDM,67,0,9,9,90,6.56,6,9,31
Kevin Rooney,N.J,41,5,4,9,60,3.54,6,7,9
Garrett Wilson,PIT,50,2,6,8,66.67,5.42,16,5,5
Devante Smith-Pelly,WSH,54,4,4,8,57.14,5.72,6,8,6
Dmitrij Jaskin,WSH,37,2,6,8,61.54,5.29,6,6,12
Saku Maenalanen,CAR,34,4,4,8,61.54,3.52,6,8,12
Christian Wolanin,OTT,30,3,5,8,28.57,1.12,6,22,13
Radim Simek,S.J,41,1,7,8,27.59,1.34,6,21,14
Sean Walker,L.A,39,2,6,8,34.78,1.94,6,15,14
Bogdan Kiselevich,FLA,32,0,8,8,57.14,0.63,6,9,4
Carl Gunnarsson,STL,25,3,3,6,28.57,1.3,6,6,6
Gabriel Bourque,COL,55,1,5,6,42.86,2.5,6,5,6
Matt Roy,L.A,25,2,4,6,31.58,1.29,6,15,3
Lawrence Pilut,BUF,33,1,5,6,28.57,1.07,16,13,7
John Hayden,CHI,54,3,2,5,41.67,4.07,21,7,14
Caleb Jones,EDM,17,1,4,5,45.45,0.56,6,13,10
Dean Kukan,CBJ,25,0,5,5,38.46,0.68,6,5,4
Joey Anderson,N.J,34,2,3,5,50,3.18,6,3,9
Korbinian Holzer,ANA,22,1,3,4,25,0.77,6,11,6
Ross Johnston,NYI,17,1,3,4,57.14,1.52,16,5,2
Juho Lammikko,FLA,40,0,4,4,57.14,2.99,6,11,9
Jonas Siegenthaler,WSH,26,0,4,4,28.57,0.59,6,19,3
Clark Bishop,CAR,20,1,2,3,37.5,1.4,6,5,5
Michael McLeod,N.J,21,0,3,3,100,1.76,6,8,11
Andrej Sekera,EDM,24,0,2,2,13.33,0.73,6,11,3
Danick Martel,T.B,9,0,2,2,50,1.07,6,1,3
Gavin Bayreuther,DAL,19,1,1,2,18.18,1.07,6,10,3
Blake Pietila,N.J,19,0,1,1,25,1.34,6,1,8
Eric Gryba,N.J,10,0,0,0,0,0.29,6,6,4
Artemi Panarin,CBJ,79,19,40,59,75.64,10.35,8,50,29
Sean Monahan,CGY,78,20,29,49,75.38,14.06,8,50,65
David Krejci,BOS,81,12,35,47,82.46,9.56,8,37,44
Tomas Hertl,S.J,77,17,28,45,71.43,13.8,8,34,33
Sam Reinhart,BUF,82,17,26,43,72.88,13.74,8,37,36
Josh Bailey,NYI,82,12,26,38,74.51,9.03,13,61,38
Kevin Hayes,"NYR, WPG",71,10,26,36,80,10.46,8,43,50
Artem Anisimov,CHI,78,13,16,29,72.5,12.45,8,10,38
Vinnie Hinostroza,ARI,72,11,18,29,90.63,12.66,8,28,27
Nick Bonino,NSH,81,13,13,26,59.09,6.05,8,33,21
Derek Stepan,ARI,72,9,16,25,71.43,11.34,8,30,32
Jordan Eberle,NYI,78,12,12,24,58.54,11.38,8,28,31
Mats Zuccarello,"DAL, NYR",48,9,14,23,71.88,7.29,18,21,25
Tyler Toffoli,L.A,82,6,16,22,62.86,15.05,13,19,38
Colin Wilson,COL,65,7,13,20,74.07,6.78,8,8,16
Matt Nieto,COL,64,3,16,19,70.37,6.36,8,9,16
Daniel Sprong,"ANA, PIT",63,11,6,17,77.27,7.9,8,26,17
David Kampf,CHI,63,4,13,17,73.91,5.9,8,6,23
Marcus Johansson,"BOS, N.J",58,9,7,16,61.54,7.71,8,27,26
Zemgus Girgensons,BUF,72,5,11,16,69.57,7.21,13,9,15
Josh Morrissey,WPG,59,1,15,16,34.04,3.55,8,23,28
Rasmus Andersson,CGY,79,1,14,15,31.25,2.43,13,41,19
Casey Mittelstadt,BUF,77,9,6,15,46.88,7.08,8,36,31
Ryan Callahan,T.B,52,5,9,14,63.64,5.93,8,8,20
Will Butcher,N.J,78,3,11,14,26.92,3.82,8,29,15
Frederik Gauthier,TOR,70,3,11,14,58.33,3.95,8,12,12
Pavel Zacha,N.J,61,7,7,14,53.85,6.33,8,25,19
Alec Martinez,L.A,60,4,9,13,28.89,3,8,62,11
Nate Schmidt,VGK,61,4,9,13,22.81,3.22,8,32,38
Tyler Motte,VAN,74,6,6,12,57.14,8.84,8,12,27
Greg McKegg,CAR,41,6,5,11,68.75,3.49,8,10,14
Joakim Nordstrom,BOS,70,6,5,11,44,6.18,8,19,21
Kiefer Sherwood,ANA,50,6,5,11,57.89,5.32,8,21,17
Tim Heed,S.J,37,1,9,10,34.48,1.13,8,22,10
Dryden Hunt,FLA,31,2,7,9,64.29,3.56,8,7,10
Rudolfs Balcers,OTT,36,2,7,9,90,4.5,8,12,11
Boo Nieves,NYR,43,4,4,8,72.73,2.39,8,19,10
Phil Varone,PHI,47,3,4,7,58.33,2.81,8,11,5
Tom Kuhnhackl,NYI,36,4,3,7,50,2.61,8,15,7
Victor Rask,"CAR, MIN",49,3,4,7,53.85,2.98,8,15,11
Andrew MacDonald,PHI,47,0,6,6,20.69,1.63,8,25,3
Erik Haula,VGK,15,2,4,6,75,2.78,8,4,11
Lukas Sedlak,CBJ,47,4,2,6,50,4.26,8,8,5
Jean-Sebastien Dea,"N.J, PIT",23,4,2,6,85.71,2.52,8,6,13
Martin Marincin,TOR,24,1,4,5,35.71,1.1,8,23,9
Miikka Salomaki,NSH,37,1,4,5,45.45,4.19,8,5,6
Mackenzie MacEachern,STL,29,3,2,5,83.33,3.01,8,0,6
Michael Stone,CGY,14,0,4,4,50,0.41,8,6,5
Brandon Manning,"CHI, EDM",39,2,2,4,25,1.34,13,13,6
Andy Welinski,ANA,26,1,3,4,30.77,1.32,8,14,5
Phillip Di Giuseppe,"CAR, NSH",24,1,3,4,57.14,2.44,8,5,9
Jaycob Megna,ANA,28,1,3,4,33.33,0.85,8,21,11
Andreas Martinsen,CHI,24,1,3,4,80,1.7,8,7,3
Zac Rinaldo,NSH,23,1,2,3,75,0.77,13,2,4
Brad Hunt,"MIN, VGK",42,1,2,3,21.43,2.15,8,14,16
Vladislav Kamenev,COL,23,0,3,3,60,1.19,8,5,2
Oscar Fantenberg,"CGY, L.A",61,2,1,3,10.34,2.28,8,35,12
Luke Witkowski,DET,34,0,2,2,16.67,0.6,23,20,2
Dalton Prout,CGY,20,1,1,2,18.18,0.53,8,9,3
