Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Sidney Crosby,PIT,116,32,61,93,80.17,24.4,56,51,48
Phil Kessel,TOR,130,41,45,86,79.63,27.22,25,100,55
Taylor Hall,EDM,120,28,58,86,96.63,22.7,45,101,90
Ryan Getzlaf,ANA,121,29,56,85,79.44,17.7,32,69,57
Corey Perry,ANA,125,40,42,82,76.64,29.1,60,61,41
Jonathan Toews,CHI,123,38,42,80,73.39,22.89,34,36,80
Eric Staal,CAR,127,28,51,79,82.29,23.86,88,66,103
Chris Kunitz,PIT,126,33,43,76,67.86,20.21,51,47,36
Martin St. Louis,"NYR, T.B",129,30,45,75,75,21.22,12,68,92
Tyler Seguin,"BOS, DAL",128,34,41,75,72.82,27.09,14,56,72
Jamie Benn,DAL,122,33,41,74,75.51,25.53,44,77,82
Matt Duchene,COL,118,26,46,72,83.72,24.21,14,47,66
Thomas Vanek,"BUF, MTL, NYI",116,26,45,71,77.17,23.27,50,64,57
Patrick Kane,CHI,116,29,42,71,76.34,22.49,24,40,70
Kyle Okposo,NYI,119,23,46,69,74.19,20.89,30,64,74
David Krejci,BOS,127,23,45,68,70.1,19.94,34,59,52
Andrew Ladd,WPG,126,28,39,67,74.44,21.73,33,40,41
Blake Wheeler,WPG,130,28,39,67,77.91,22.62,30,41,52
Brad Marchand,BOS,127,27,40,67,77.91,16.97,73,73,63
James van Riemsdyk,TOR,128,31,36,67,67.68,25.54,48,54,43
Joe Thornton,S.J,130,12,53,65,71.43,11.03,34,100,97
Jordan Eberle,EDM,128,29,36,65,77.38,23.25,22,79,67
John Tavares,NYI,107,33,32,65,75.58,23.5,32,79,70
Nazem Kadri,TOR,126,23,42,65,76.47,16.98,66,74,56
Claude Giroux,PHI,130,22,42,64,72.73,17,40,38,46
Jaromir Jagr,"BOS, DAL, N.J",127,21,42,63,75,23.26,42,67,50
Anze Kopitar,L.A,129,28,35,63,69.23,18.52,26,47,57
Bryan Little,WPG,130,16,46,62,68.13,19.02,26,30,50
Milan Lucic,BOS,126,24,38,62,67.39,16.6,101,91,48
Derek Stepan,NYR,130,24,38,62,73.81,21.56,18,38,67
Patrice Bergeron,BOS,122,25,36,61,72.62,22.91,34,42,56
Jason Pominville,"BUF, MIN",129,30,30,60,73.17,17.11,12,19,64
Jakub Voracek,PHI,130,25,35,60,71.43,16.26,20,40,46
Joe Pavelski,S.J,130,33,26,59,77.63,21.48,28,57,71
Max Pacioretty,MTL,117,33,26,59,72.84,22.27,35,24,45
Gabriel Landeskog,COL,117,23,36,59,75.64,20.07,68,35,70
Henrik Sedin,VAN,118,14,44,58,74.36,12.17,42,33,35
Patrick Sharp,CHI,110,25,33,58,68.24,19.87,34,26,48
Jarome Iginla,"BOS, CGY, PIT",122,28,29,57,64.77,20.48,35,35,41
