Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Justin Williams,L.A,130,21,36,57,74.03,25,44,90,36
Rick Nash,NYR,109,35,22,57,74.03,24.21,32,58,62
Alex Ovechkin,WSH,126,35,22,57,80.28,26.16,54,50,48
Bobby Ryan,"ANA, OTT",116,24,33,57,74.03,20.51,28,45,63
Alexander Semin,CAR,109,19,36,55,63.22,20.71,56,68,77
Matt Moulson,"BUF, MIN, NYI",122,19,36,55,73.33,25.56,22,21,46
Kyle Turris,OTT,130,23,32,55,65.48,18.26,37,47,56
David Perron,"EDM, STL",126,25,30,55,79.71,19.84,82,43,68
Brendan Gallagher,MTL,125,23,32,55,67.9,24.48,69,28,54
Patrick Marleau,S.J,130,25,29,54,69.23,27.82,18,67,56
Marian Hossa,CHI,112,25,29,54,70.13,20.26,30,31,86
Brad Richards,NYR,128,23,31,54,75,20.64,20,52,57
Daniel Sedin,VAN,120,19,35,54,72.97,20.73,28,35,38
Jiri Hudler,CGY,117,18,36,54,75,10.41,34,46,46
David Backes,STL,122,16,38,54,72.97,16.72,86,22,48
Nicklas Backstrom,WSH,130,15,39,54,75,16.29,52,35,68
Logan Couture,S.J,113,27,27,54,75,22,18,45,60
Steven Stamkos,T.B,85,29,25,54,77.14,18.11,40,30,36
Brandon Saad,CHI,124,21,33,54,61.36,19.46,26,32,61
Matt Cullen,"MIN, NSH",119,16,37,53,68.83,16.27,28,47,38
David Desharnais,MTL,127,18,35,53,65.43,13.89,38,27,50
Tyler Bozak,TOR,104,17,36,53,60.23,10.13,12,44,64
Jaden Schwartz,STL,125,23,30,53,72.6,16.57,22,19,72
Alexander Steen,STL,108,27,25,52,72.22,19.51,50,17,39
Evander Kane,WPG,111,28,24,52,69.33,27.26,79,43,37
Brad Boyes,"FLA, NYI",126,26,25,51,67.11,21.13,30,55,50
Ryan O'Reilly,COL,109,22,29,51,72.86,14.33,2,30,93
Pascal Dupuis,PIT,87,21,29,50,64.94,17.96,24,20,34
Joel Ward,WSH,121,20,30,50,72.46,14.91,32,27,45
PA Parenteau,COL,103,20,30,50,74.63,13.94,42,38,55
Brent Burns,S.J,99,25,25,50,67.57,21.37,30,45,42
Clarke MacArthur,"OTT, TOR",119,20,30,50,68.49,16.44,64,54,38
Evgeni Malkin,PIT,91,19,31,50,72.46,16.17,52,58,49
Andrew Cogliano,ANA,130,24,26,50,76.92,16.99,22,42,25
Jiri Tlusty,CAR,116,28,22,50,64.94,20.61,30,31,42
Carl Hagelin,NYR,120,21,29,50,69.44,22.99,46,44,31
Jason Chimera,WSH,129,17,32,49,72.06,18.05,58,44,33
Frans Nielsen,NYI,128,18,31,49,83.05,14.98,10,31,54
Duncan Keith,CHI,126,4,45,49,41.53,7.48,30,79,50
Jeff Carter,L.A,120,29,20,49,74.24,24.16,32,58,44
Zach Parise,MIN,115,21,28,49,71.01,26.89,32,25,54
James Neal,PIT,99,25,24,49,69.01,18.57,46,18,33
Victor Hedman,T.B,119,11,38,49,50.52,7.54,63,65,37
Mike Ribeiro,"PHX, WSH",128,18,30,48,75,10.68,52,41,38
Mikkel Boedker,PHX,130,15,33,48,72.73,15.74,16,25,52
Matt Read,PHI,117,24,24,48,80,17.09,12,25,41
Shane Doan,PHX,117,22,25,47,65.28,18.68,43,25,63
David Legwand,"DET, NSH",131,17,30,47,68.12,14.93,48,54,57
Mike Fisher,NSH,113,23,24,47,71.21,14.05,43,30,41
Paul Stastny,COL,111,22,25,47,71.21,19.77,24,26,47
Michael Frolik,"CHI, WPG",126,17,30,47,62.67,17.59,8,24,76
Ryan Johansen,CBJ,122,27,20,47,78.33,17.95,34,32,47
Cory Conacher,"BUF, OTT, T.B",126,13,34,47,68.12,12.97,56,26,32
Pavel Datsyuk,DET,92,14,32,46,71.88,12.91,16,39,93
Henrik Zetterberg,DET,91,16,30,46,69.7,14.88,28,39,44
Mikko Koivu,MIN,113,15,31,46,76.67,15.72,38,27,60
Matt Stajan,CGY,106,14,32,46,70.77,10.57,50,53,58
Nick Foligno,CBJ,115,18,28,46,69.7,13.74,63,23,55
Mathieu Perreault,"ANA, WSH",108,17,29,46,75.41,12.7,40,19,27
Mike Cammalleri,CGY,107,27,18,45,78.95,16.34,34,42,43
Jussi Jokinen,"CAR, PIT",124,23,22,45,65.22,15,22,49,42
Valtteri Filppula,"DET, T.B",116,22,23,45,72.58,12.38,14,34,57
Chris Higgins,VAN,119,22,23,45,73.77,19.65,30,27,47
Lee Stempniak,"CGY, PIT",120,14,31,45,67.16,20.28,18,56,55
T.J. Oshie,STL,109,15,30,45,75,13.54,26,26,61
Artem Anisimov,CBJ,116,26,19,45,84.91,13.76,24,17,44
Teddy Purcell,T.B,129,15,30,45,60.81,13.53,14,43,48
Lars Eller,MTL,123,15,30,45,80.36,16.94,66,37,37
Cody Hodgson,BUF,120,19,26,45,78.95,16.02,26,42,36
Kyle Palmieri,ANA,113,21,24,45,75,17.33,28,21,27
Craig Smith,NSH,123,17,28,45,69.23,19.61,38,55,66
Vladimir Tarasenko,STL,102,18,27,45,78.95,17.94,16,21,43
Wayne Simmonds,PHI,127,19,25,44,74.58,17.48,69,36,39
Erik Karlsson,OTT,99,16,28,44,51.76,9.32,28,102,72
Cody Eakin,DAL,129,14,30,44,77.19,14.63,38,42,56
Jeff Skinner,CAR,113,26,18,44,75.86,26.54,30,46,78
Matt Cooke,"MIN, PIT",130,16,27,43,79.63,13.04,62,35,35
Antoine Vermette,PHX,130,21,22,43,66.15,17.43,50,18,48
Travis Zajac,N.J,128,19,24,43,65.15,19.57,32,26,53
Daniel Winnik,ANA,124,10,33,43,74.14,14.45,32,34,35
Mason Raymond,"TOR, VAN",128,16,27,43,67.19,13.37,26,45,33
Benoit Pouliot,"NYR, T.B",114,15,28,43,68.25,16.2,36,45,47
Devin Setoguchi,"MIN, WPG",123,15,28,43,75.44,16.9,40,43,38
Alex Killorn,T.B,120,16,27,43,59.72,16.2,50,40,38
Mats Zuccarello,NYR,92,17,26,43,74.14,15.16,22,32,44
Ondrej Palat,T.B,95,17,26,43,68.25,12.46,18,33,37
Alex Galchenyuk,MTL,113,17,26,43,75.44,14.23,38,24,34
Vincent Lecavalier,"PHI, T.B",108,15,27,42,77.78,12.43,25,24,23
Brian Gionta,MTL,129,20,22,42,73.68,20.21,22,27,50
Radim Vrbata,PHX,114,18,24,42,67.74,19,22,18,52
Tomas Plekanec,MTL,128,22,20,42,72.41,18.34,34,45,40
Brandon Dubinsky,CBJ,105,10,32,42,73.68,13.76,74,22,25
Jamie McGinn,COL,126,21,21,42,57.53,19.42,44,28,47
Jordan Staal,CAR,130,19,23,42,70,22.34,38,47,62
Josh Bailey,NYI,115,17,25,42,70,14.37,14,50,57
Tyler Ennis,BUF,127,22,20,42,71.19,20.35,30,30,50
Cam Atkinson,CBJ,114,22,20,42,75,21.29,16,17,41
Brayden Schenn,PHI,129,20,22,42,66.67,17.99,36,25,51
Reilly Smith,"BOS, DAL",119,15,27,42,64.62,14.56,20,47,44
Ryan Nugent-Hopkins,EDM,120,13,29,42,56.76,16.94,20,44,65
Saku Koivu,ANA,112,12,29,41,80.39,9.75,48,44,27
Patrik Elias,N.J,113,18,23,41,83.67,12.83,16,33,35
Michael Ryder,"DAL, MTL, N.J",128,20,21,41,73.21,16.16,32,26,38
Joffrey Lupul,TOR,85,21,20,41,73.21,15.16,44,47,28
John Mitchell,COL,122,16,25,41,70.69,11.24,42,37,51
Ryan Callahan,"NYR, T.B",110,16,25,41,63.08,24.14,14,30,42
Patric Hornqvist,NSH,100,15,26,41,68.33,19.78,16,13,53
Chris Stewart,"BUF, STL",111,21,20,41,64.06,13.86,77,19,23
Derick Brassard,"CBJ, NYR",128,17,24,41,64.06,15.15,34,36,42
Sam Gagner,EDM,115,13,28,41,68.33,13.89,34,49,40
Alex Pietrangelo,STL,128,7,34,41,38.68,8.44,22,46,46
Gustav Nyquist,DET,79,24,17,41,85.42,13.91,14,17,48
Andrew Shaw,CHI,128,21,20,41,55.41,17.69,61,27,31
Nathan MacKinnon,COL,82,15,26,41,73.21,13.97,20,17,49
Olli Jokinen,WPG,127,21,19,40,70.18,19.77,46,38,27
Dustin Byfuglien,WPG,121,13,27,40,46.51,14.95,70,98,64
Drew Stafford,BUF,116,19,21,40,78.43,16.27,29,39,37
Jannik Hansen,VAN,118,17,23,40,67.8,11.97,24,28,40
Brenden Morrow,"DAL, PIT, STL",115,19,20,39,69.64,9.18,81,26,20
Jason Spezza,OTT,80,13,26,39,76.47,11.93,36,56,38
Tomas Fleischmann,FLA,128,15,24,39,69.64,14.87,30,43,51
Eric Fehr,WSH,114,17,22,39,65,14.91,28,22,60
Loui Eriksson,"BOS, DAL",109,16,23,39,65,14.6,10,32,49
Jonathan Huberdeau,FLA,117,16,23,39,67.24,15.86,41,39,46
Ales Hemsky,"EDM, OTT",113,15,23,38,69.09,14.48,36,42,55
Alex Goligoski,DAL,128,6,32,38,38,7.36,36,96,16
Martin Hanzal,PHX,104,15,23,38,74.51,15.01,67,26,44
Patrik Berglund,STL,126,17,21,38,62.3,13.84,28,15,46
Shawn Matthias,"FLA, VAN",125,22,16,38,67.86,16.64,26,16,39
Nikolay Kulemin,TOR,118,15,23,38,64.41,11.7,32,24,45
Tommy Wingels,S.J,119,17,21,38,69.09,16.73,39,49,35
Antoine Roussel,DAL,120,18,20,38,77.55,15.16,117,28,29
Tyler Johnson,T.B,96,16,22,38,67.86,12.66,20,35,21
Ryan Garbutt,DAL,111,17,21,38,73.08,14.9,78,22,42
Mika Zibanejad,OTT,111,14,24,38,71.7,14.08,14,18,36
Sean Couturier,PHI,128,15,23,38,69.09,15.14,24,45,52
Nail Yakupov,EDM,111,17,21,38,76,13.24,32,46,29
Daniel Alfredsson,"DET, OTT",115,16,21,37,68.52,12.1,27,49,44
Mark Streit,"NYI, PHI",130,7,30,37,44.05,5.69,48,65,27
Marian Gaborik,"CBJ, L.A, NYR",88,18,19,37,66.07,17.15,20,25,27
David Moss,PHX,124,11,26,37,66.07,18.44,26,20,27
Jay Bouwmeester,"CGY, STL",129,8,29,37,35.92,7.53,34,37,21
Shea Weber,NSH,127,11,26,37,38.14,9.3,61,73,37
Bryan Bickell,CHI,107,19,18,37,78.72,11.17,28,19,31
Matt Niskanen,PIT,121,10,27,37,39.78,4.65,47,46,27
Keith Yandle,PHX,130,9,28,37,41.11,9.92,54,61,43
Viktor Stalberg,"CHI, NSH",117,17,20,37,75.51,16.92,45,31,52
Mark Letestu,CBJ,128,13,24,37,77.08,10.69,26,18,38
Nick Bonino,ANA,104,18,19,37,72.55,10.25,22,28,37
Marcus Johansson,WSH,114,5,32,37,61.67,9.19,6,52,40
Tomas Tatar,DET,91,19,18,37,71.15,11.9,24,12,43
Scott Hartnell,PHI,110,14,22,36,64.29,16.88,93,48,24
Derek Roy,"DAL, STL, VAN",117,10,26,36,69.23,13.17,10,29,46
Dustin Penner,"ANA, L.A, WSH",100,11,25,36,58.06,12.37,38,40,37
Ryan McDonagh,NYR,124,9,27,36,38.71,9.28,40,66,62
Colin Wilson,NSH,106,13,23,36,70.59,11.62,17,35,42
Zack Kassian,VAN,112,18,18,36,66.67,11.92,77,42,28
Charlie Coyle,MIN,107,16,20,36,69.23,12.81,47,31,44
Martin Erat,"NSH, PHX, WSH",115,5,30,35,72.92,9.64,46,40,32
Milan Michalek,OTT,105,15,20,35,56.45,15.03,29,14,33
Brent Seabrook,CHI,129,7,28,35,33.02,6.89,26,80,33
Mike Richards,L.A,130,12,23,35,72.92,16.73,30,49,36
Johan Franzen,DET,95,16,19,35,64.81,13.96,43,38,27
Mikhail Grabovski,"TOR, WSH",106,17,18,35,60.34,12.24,22,48,41
Justin Abdelkader,DET,118,17,18,35,60.34,17.08,45,22,29
Vladimir Sobotka,STL,109,14,21,35,67.31,11.75,65,10,30
Michael Grabner,NYI,109,19,16,35,74.47,15.47,18,39,46
Gabriel Bourque,NSH,108,15,20,35,58.33,13.31,10,23,25
Marcus Kruger,CHI,128,12,23,35,72.92,9.84,46,21,38
Teemu Selanne,ANA,110,12,22,34,69.39,13.44,16,48,33
Ray Whitney,DAL,101,13,21,34,75.56,11.16,10,52,50
Dan Hamhuis,VAN,126,8,26,34,35.05,6.46,20,69,52
Ryan Suter,MIN,130,3,31,34,34.69,5.35,46,39,28
Dustin Brown,L.A,125,21,13,34,55.74,22.33,42,47,34
P.K. Subban,MTL,124,8,26,34,36.56,4.86,92,99,23
Nick Spaling,NSH,118,17,17,34,69.39,11.5,24,13,40
Jakob Silfverberg,"ANA, OTT",100,13,21,34,69.39,16.64,16,22,31
Nick Bjugstad,FLA,87,16,18,34,75.56,13.8,14,23,34
Mikael Granlund,MIN,90,7,27,34,82.93,8.47,22,24,33
Zdeno Chara,BOS,125,11,22,33,35.48,7.36,85,68,23
Steve Ott,"BUF, STL",130,10,23,33,76.74,11.31,70,33,18
Vernon Fiddler,DAL,122,8,25,33,68.75,10.66,44,30,30
Ryan Kesler,VAN,94,16,17,33,58.93,16.03,50,32,40
Matt Carle,T.B,130,3,30,33,35.87,5.1,24,60,30
Carl Soderberg,BOS,79,11,22,33,84.62,8.65,38,11,31
Andrej Sekera,"BUF, CAR",111,7,26,33,40.74,5.93,20,48,55
Rich Peverley,"BOS, DAL",109,9,24,33,86.84,13.34,20,40,32
Dwight King,L.A,124,15,18,33,61.11,15.8,25,41,24
Slava Voynov,L.A,130,7,26,33,42.31,6.1,36,81,17
Oliver Ekman-Larsson,PHX,128,8,25,33,43.42,6.94,54,41,33
Martin Havlat,S.J,88,17,15,32,65.31,12.81,20,44,19
Patrick Dwyer,CAR,121,11,21,32,74.42,19.64,18,33,44
Nathan Horton,"BOS, CBJ",78,13,19,32,65.31,11.72,34,19,18
Kyle Chipchura,PHX,126,9,23,32,71.11,7.3,48,22,42
Mike Green,WSH,105,12,20,32,50,7.31,64,77,35
Troy Brouwer,WSH,129,19,13,32,64,15.04,57,37,41
Roman Josi,NSH,120,12,20,32,35.56,7.65,20,35,32
Dany Heatley,MIN,112,16,15,31,68.89,12.15,14,18,24
Marcel Goc,"FLA, PIT",116,13,18,31,60.78,10.81,12,23,27
Ryane Clowe,"N.J, NYR, S.J",83,5,26,31,72.09,11.91,32,37,21
Scottie Upshall,FLA,103,14,17,31,73.81,13.62,51,21,38
Max Talbot,"COL, PHI",116,10,21,31,62,10.87,42,27,28
Daniel Paille,BOS,118,16,15,31,77.5,9.78,12,21,47
Colin McDonald,NYI,115,13,18,31,70.45,14.74,32,25,22
Niklas Hjalmarsson,CHI,127,5,26,31,34.44,4.93,50,109,35
Kevin Shattenkirk,STL,129,6,25,31,40.26,6.41,38,44,46
Mikael Backlund,CGY,108,13,18,31,60.78,15.99,26,46,82
Adam Henrique,N.J,119,20,11,31,62,15.41,22,26,52
Matt Calvert,CBJ,98,12,19,31,64.58,9.92,26,21,34
Erik Cole,"DAL, MTL",122,21,9,30,60,17.09,30,41,41
Jarret Stoll,L.A,126,10,20,30,65.22,10.83,42,25,12
Tuomo Ruutu,"CAR, N.J",93,9,21,30,71.43,12.08,38,37,43
R.J. Umberger,CBJ,122,13,17,30,56.6,12.96,24,27,47
Mark Giordano,CGY,111,8,22,30,34.48,6.51,66,57,47
Curtis Glencross,CGY,78,17,13,30,81.08,13.5,16,36,31
Cody Franson,TOR,124,5,25,30,35.71,3.04,28,80,52
Matt Beleskey,ANA,97,15,15,30,68.18,12.39,65,22,20
Justin Schultz,EDM,122,13,17,30,40.54,8.06,20,81,25
Marcus Foligno,BUF,121,10,20,30,66.67,11.09,66,27,46
Niklas Kronwall,DET,127,5,24,29,32.95,3.86,68,56,23
Eric Nystrom,"DAL, NSH",127,19,10,29,56.86,13.54,76,23,34
Alexandre Burrows,VAN,96,15,14,29,59.18,17.42,44,18,34
Nathan Gerbe,"BUF, CAR",123,14,15,29,72.5,17.59,18,36,48
Zack Smith,OTT,130,16,13,29,63.04,16.73,104,55,53
Tom Gilbert,"FLA, MIN",116,3,25,28,36.84,4.81,28,37,18
Lauri Korpikoski,PHX,100,12,16,28,80,13.48,20,15,22
Kris Letang,PIT,72,6,22,28,48.28,5.95,10,42,16
Rob Klinkhammer,PHX,94,13,15,28,71.79,12.67,22,14,18
Patrick Maroon,ANA,75,12,16,28,71.79,10.38,32,12,19
Riley Nash,CAR,105,13,15,28,68.29,12,19,17,76
Carl Gunnarsson,TOR,117,4,24,28,34.15,2.97,40,77,30
Justin Faulk,CAR,114,6,22,28,33.73,5.48,27,60,51
Dougie Hamilton,BOS,106,7,21,28,42.42,6.16,42,48,24
Damien Brunner,"DET, N.J",104,15,13,28,62.22,14.93,26,23,33
Valeri Nichushkin,DAL,79,11,17,28,56,10.74,8,53,21
Ryan Smyth,EDM,119,6,21,27,87.1,12.89,46,46,25
Dainius Zubrus,N.J,104,13,14,27,57.45,12.35,50,21,21
Brian Campbell,FLA,130,7,20,27,33.75,5,22,55,40
Fedor Tyutin,CBJ,117,6,21,27,33.33,4.49,50,32,18
Christian Ehrhoff,BUF,126,5,22,27,36,5.45,46,63,39
Kris Versteeg,"CHI, FLA",91,11,16,27,65.85,10.37,24,23,40
Mike Santorelli,"FLA, VAN, WPG",83,10,17,27,72.97,10.95,8,9,24
TJ Galiardi,"CGY, S.J",98,7,20,27,65.85,12.12,20,28,38
Brandon Sutter,PIT,129,12,15,27,67.5,13.13,14,22,28
Nick Leddy,CHI,130,6,21,27,34.62,5.74,18,50,20
Chris Kreider,NYR,89,13,14,27,57.45,13.04,47,22,21
Daniel Briere,"MTL, PHI",103,11,15,26,60.47,14.6,26,23,27
Francois Beauchemin,ANA,118,7,19,26,23.85,5.1,38,63,25
Kyle Brodziak,MIN,129,11,15,26,57.78,13.11,43,38,48
Blake Comeau,"CBJ, CGY",103,10,16,26,65,10.47,47,24,26
John Carlson,WSH,130,10,16,26,30.23,6.41,30,69,50
Alex Chiasson,DAL,86,11,15,26,70.27,10.19,21,21,23
Tyson Barrie,COL,96,5,21,26,44.83,5.42,18,28,32
Tyler Toffoli,L.A,72,10,16,26,72.22,8.55,8,24,21
Nino Niederreiter,MIN,81,11,15,26,66.67,11.84,32,22,36
Marek Zidlicky,N.J,129,5,20,25,38.46,6.55,80,65,26
Trevor Daley,DAL,111,8,17,25,30.12,6.13,40,33,22
James Wisniewski,CBJ,105,4,21,25,36.76,4.51,44,33,21
Marc Methot,OTT,122,6,19,25,29.76,4.4,38,48,19
Nate Thompson,T.B,126,13,12,25,59.52,13.37,22,16,35
Dan Girardi,NYR,127,4,21,25,30.86,5.18,16,59,37
Jake Muzzin,L.A,121,6,19,25,34.25,6.28,54,65,19
TJ Brodie,CGY,128,3,22,25,30.86,7.14,22,80,59
Andrei Loktionov,"CAR, N.J",96,12,13,25,59.52,9.68,14,15,47
Mark Scheifele,WPG,67,11,14,25,60.98,9.41,8,17,29
Hampus Lindholm,ANA,78,5,20,25,32.47,3.6,20,42,20
Alex Tanguay,"CGY, COL",56,10,14,24,72.73,5.44,20,27,23
Andrei Markov,MTL,129,5,19,24,28.92,4.39,32,105,31
Johnny Oduya,CHI,125,6,18,24,28.24,3.87,40,61,25
Gregory Campbell,BOS,130,8,16,24,64.86,12.31,35,13,32
Dion Phaneuf,TOR,128,10,14,24,26.37,5.74,99,72,28
Jan Hejda,COL,124,7,17,24,28.92,4.3,32,52,29
Alexei Emelin,MTL,97,4,20,24,40.68,3.36,51,68,12
Marc-Edouard Vlasic,S.J,129,7,17,24,25.81,7.25,14,65,21
Brendan Smith,DET,105,4,20,24,39.34,4.41,70,70,26
Jason Demers,S.J,97,5,19,24,39.34,4.71,24,68,34
Jason Garrison,VAN,128,7,17,24,30,5.19,50,56,32
Joe Colborne,"CGY, TOR",85,9,15,24,70.59,6.78,22,36,29
Magnus Paajarvi,"EDM, STL",97,12,12,24,68.57,9.77,12,12,20
Sean Monahan,CGY,75,18,6,24,72.73,8.47,6,24,24
Vinny Prospal,CBJ,48,8,15,23,85.19,5.58,26,10,22
Eric Brewer,T.B,125,7,16,23,30.67,6,66,61,25
Andrew Ference,"BOS, EDM",119,5,18,23,33.33,4.5,55,72,13
Barret Jackman,STL,125,5,18,23,29.11,2.83,69,35,27
Chris Kelly,BOS,91,8,15,23,60.53,8.02,36,17,41
Derek MacKenzie,CBJ,114,10,13,23,71.88,7.74,43,19,24
Tomas Kopecky,FLA,96,9,14,23,74.19,10.3,22,19,32
Boyd Gordon,"EDM, PHX",122,8,15,23,60.53,10.85,24,22,30
Sean Bergenheim,FLA,62,12,11,23,69.7,13.7,22,12,23
Johnny Boychuk,BOS,119,6,17,23,24.21,5.35,34,42,17
Brad Richardson,"L.A, VAN",89,8,15,23,60.53,10.13,21,16,25
David Clarkson,"N.J, TOR",108,12,11,23,60.53,17.19,101,33,30
Brandon Prust,MTL,90,11,12,23,60.53,6.31,66,21,17
Jack Johnson,CBJ,126,3,20,23,28.05,6.04,44,37,20
Colin Greening,OTT,123,7,16,23,52.27,14.41,35,33,39
Erik Johnson,COL,111,5,18,23,31.08,5.4,42,52,58
Jeff Petry,EDM,128,6,17,23,30.26,5.63,49,111,39
James Sheppard,S.J,99,5,18,23,67.65,10.36,30,26,47
Joakim Andersson,DET,103,11,12,23,62.16,8.52,16,35,16
Ben Smith,CHI,76,13,10,23,67.65,9.31,2,9,17
Casey Cizikas,NYI,125,9,14,23,71.88,10.91,38,21,41
Sergei Gonchar,"DAL, OTT",121,2,20,22,35.48,4.89,36,47,16
Derek Morris,PHX,102,5,17,22,40,4,46,27,24
Jay McClement,TOR,129,8,14,22,62.86,8.85,30,28,45
Dennis Wideman,CGY,92,4,18,22,32.35,4.6,20,60,21
Kevin Klein,"NSH, NYR",124,5,17,22,36.67,5.48,19,54,39
Maxim Lapierre,"STL, VAN",119,12,10,22,66.67,9.65,71,16,21
Drew Miller,DET,126,10,12,22,61.11,16,19,11,30
Tyler Kennedy,"PIT, S.J",113,8,14,22,57.89,14.12,39,22,44
Jakub Kindl,DET,107,5,17,22,33.85,4.16,38,54,19
Erik Condra,OTT,124,9,13,22,61.11,12.95,40,33,46
Justin Braun,S.J,123,3,19,22,30.56,5.16,20,58,45
Drew Doughty,L.A,126,6,16,22,24.44,9.31,70,78,17
Jared Spurgeon,MIN,106,4,18,22,28.95,4.39,18,24,20
Ryan Ellis,NSH,112,6,16,22,35.48,4.3,32,49,19
Brenden Dillon,DAL,128,7,15,22,24.44,5.81,79,62,16
Christopher Tanev,VAN,102,6,16,22,35.48,3.18,14,22,24
Shawn Horcoff,"DAL, EDM",108,5,16,21,53.85,7.97,54,29,34
Raffi Torres,"PHX, S.J",44,9,12,21,87.5,5.32,6,14,13
Kevin Bieksa,VAN,112,4,17,21,27.63,7.48,84,66,36
Dennis Seidenberg,BOS,80,5,16,21,32.31,2.71,12,24,13
Pierre-Marc Bouchard,"MIN, NYI",71,8,13,21,72.41,7.33,14,23,20
Jonathan Ericsson,DET,93,3,18,21,32.31,2.95,39,51,16
David Jones,"CGY, COL",81,7,14,21,70,11.53,12,15,23
Andrej Meszaros,"BOS, PHI",63,6,15,21,53.85,3.14,24,30,12
Alexander Edler,VAN,108,6,15,21,45.65,6.54,52,43,36
Grant Clitsome,WPG,76,4,17,21,35,2.55,20,43,11
Cody McLeod,COL,119,11,10,21,67.74,11.92,113,1,14
Chris Butler,CGY,126,1,20,21,37.5,4.04,26,70,17
Tom Pyatt,T.B,70,10,11,21,63.64,7.99,12,10,11
Stephen Gionta,N.J,114,7,14,21,72.41,10.72,24,13,34
Ryan Carter,N.J,106,12,9,21,75,11.16,55,17,22
Thomas Hickey,NYI,121,3,18,21,26.92,6.16,34,62,40
Matt Halischuk,"NSH, WPG",82,10,11,21,72.41,10.57,16,17,25
Michael Del Zotto,"NSH, NYR",113,4,17,21,30.88,6.89,24,43,20
Matt Martin,NYI,127,11,10,21,55.26,14.46,82,25,23
Kyle Clifford,L.A,119,10,11,21,55.26,9.97,87,23,20
Cam Fowler,ANA,107,1,20,21,31.34,4.09,14,42,19
Brian Flynn,BUF,105,10,11,21,65.63,9.53,12,15,26
Michael Raffl,PHI,68,9,12,21,70,10.13,20,18,19
Michal Handzus,"CHI, S.J",98,5,15,20,66.67,7.04,24,20,22
Chris Neil,OTT,124,12,8,20,51.28,14.64,172,21,28
Mike Weaver,"FLA, MTL",99,2,18,20,35.71,2.34,26,27,13
Ron Hainsey,"CAR, WPG",129,4,16,20,27.4,4.6,22,63,35
Paul Gaustad,NSH,98,7,13,20,76.92,7.71,45,18,22
Andre Benoit,"COL, OTT",112,7,13,20,31.25,5.05,18,41,22
Steve Bernier,N.J,125,7,13,20,66.67,15.8,23,24,32
Nikita Nikitin,CBJ,104,3,17,20,31.25,2.96,21,32,21
Rene Bourque,MTL,90,9,11,20,66.67,14.26,44,11,17
Anton Stralman,NYR,129,5,15,20,22.22,5.83,34,62,30
